Accession	Sample Name	SPUID	Organism	Tax ID	Breed	Isolate	
SAMN50681511	MD-4-21	MD-4-21	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681512	MD-4-24	MD-4-24	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681513	MD-5-6	MD-5-6	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681514	MD-2-20	MD-2-20	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681515	MD-1-3	MD-1-3	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681516	MD-2-25	MD-2-25	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681517	MD-5-10	MD-5-10	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681518	MD-1	MD-1	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681519	MD-2-23	MD-2-23	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681520	MD-2-22	MD-2-22	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681521	MD-1-24	MD-1-24	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681522	MD-4-26	MD-4-26	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681523	MD-4-2	MD-4-2	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681524	MD-4-19	MD-4-19	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681525	MD-4-13	MD-4-13	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681526	MD-4-22	MD-4-22	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681527	MD-2-18	MD-2-18	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681528	MD-5-26	MD-5-26	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681529	MD-1-26	MD-1-26	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681530	MD-5-13	MD-5-13	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681531	MD-1-18	MD-1-18	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681532	MD-4-15	MD-4-15	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681533	MD-5-7	MD-5-7	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681534	MD-5-21	MD-5-21	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681535	MD-1-16	MD-1-16	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681536	MD-5-24	MD-5-24	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681537	MD-5-14	MD-5-14	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681538	MD-1-5	MD-1-5	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681539	MD-1-11	MD-1-11	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681540	MD-5-25	MD-5-25	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681541	MD-4-9	MD-4-9	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681542	MD-1-21	MD-1-21	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681543	MD-2-5	MD-2-5	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681544	MD-2-12	MD-2-12	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681545	MD-1-13	MD-1-13	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681546	MD-1-19	MD-1-19	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681547	MD-2-14	MD-2-14	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681548	MD-1-15	MD-1-15	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681549	MD-5-15	MD-5-15	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681550	MD-5-19	MD-5-19	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681551	MD-4-18	MD-4-18	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681552	MD-2	MD-2	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681553	MD-5-1	MD-5-1	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681554	MD-5-17	MD-5-17	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681555	MD-4-23	MD-4-23	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681556	MD-1-2	MD-1-2	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681557	MD-1-22	MD-1-22	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681558	MD-4-20	MD-4-20	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681559	MD-2-15	MD-2-15	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681560	MD-1-14	MD-1-14	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681561	MD-5-16	MD-5-16	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681562	MD-2-17	MD-2-17	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681563	MD-2-1	MD-2-1	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681564	MD-4-12	MD-4-12	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681565	MD-2-9	MD-2-9	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681566	MD-1-9	MD-1-9	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681567	MD-2-21	MD-2-21	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681568	MD-5-9	MD-5-9	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681569	MD-5-5	MD-5-5	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681570	MD-4-1	MD-4-1	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681571	MD-5-22	MD-5-22	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681572	MD-2-6	MD-2-6	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681573	MD-2-8	MD-2-8	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681574	MD-1-20	MD-1-20	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681575	MD-2-4	MD-2-4	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681576	MD-2-10	MD-2-10	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681577	MD-4-5	MD-4-5	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681578	MD-2-2	MD-2-2	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681579	MD-1-8	MD-1-8	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681580	MD-2-7	MD-2-7	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681581	MD-2-3	MD-2-3	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681582	MD-5-11	MD-5-11	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681583	MD-2-13	MD-2-13	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681584	MD-4-25	MD-4-25	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681585	MD-4-7	MD-4-7	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681586	MD-1-10	MD-1-10	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681587	MD-2-19	MD-2-19	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681588	MD-1-17	MD-1-17	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681589	MD-4	MD-4	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681590	MD-1-6	MD-1-6	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681591	MD-5	MD-5	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681592	MD-5-4	MD-5-4	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681593	MD-1-25	MD-1-25	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681594	MD-1-12	MD-1-12	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681595	MD-1-4	MD-1-4	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681596	MD-5-18	MD-5-18	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681597	MD-5-20	MD-5-20	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681598	MD-4-10	MD-4-10	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681599	MD-5-3	MD-5-3	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681600	MD-5-23	MD-5-23	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681601	MD-1-7	MD-1-7	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681602	MD-2-24	MD-2-24	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681603	MD-4-4	MD-4-4	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681604	MD-4-6	MD-4-6	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681605	MD-2-26	MD-2-26	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681606	MD-4-16	MD-4-16	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681607	MD-4-17	MD-4-17	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681608	MD-4-3	MD-4-3	Madracis decactis	123769	Not applicable	Coral host	
SAMN50681609	MD-4-11	MD-4-11	Madracis decactis	123769	Not applicable	Coral host	
