Timepoint,Date,Side,Tank_Number,Treatment,Species,Sample.id,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral
2,20240723,NA,1,Heat,Madracis,MD_1_1,230,230,230,106,145,35
2,20240723,NA,1,Heat,Madracis,MD_1_2,230,230,230,152,168,148
2,20240723,NA,1,Heat,Madracis,MD_1_3,230,230,230,49,243,221
2,20240723,NA,1,Heat,Madracis,MD_1_4,230,230,230,69,148,21
2,20240723,NA,1,Heat,Madracis,MD_2_1,230,230,230,59,25,130
2,20240723,NA,1,Heat,Madracis,MD_2_2,230,230,230,87,24,229
2,20240723,NA,1,Heat,Madracis,MD_2_3,230,230,230,186,16,25
2,20240723,NA,1,Heat,Madracis,MD_2_4,230,230,230,206,139,52
2,20240723,NA,1,Heat,Madracis,MD_3_1,230,230,230,151,173,239
2,20240723,NA,1,Heat,Madracis,MD_3_2,230,230,230,149,32,182
2,20240723,NA,1,Heat,Madracis,MD_3_3,230,230,230,142,189,72
2,20240723,NA,1,Heat,Madracis,MD_3_4,230,230,230,26,208,209
2,20240723,NA,1,Heat,Madracis,MD_4_1,230,230,230,133,3,203
2,20240723,NA,1,Heat,Madracis,MD_4_2,230,230,230,128,8,67
2,20240723,NA,1,Heat,Madracis,MD_4_3,230,230,230,103,160,82
2,20240723,NA,1,Heat,Madracis,MD_4_4,230,230,230,205,185,40
2,20240723,NA,1,Heat,Diploria,DL_1_1,230,230,230,179,254,210
2,20240723,NA,1,Heat,Diploria,DL_1_2,230,230,230,87,184,14
2,20240723,NA,1,Heat,Diploria,DL_1_3,230,230,230,213,66,167
2,20240723,NA,1,Heat,Diploria,DL_1_4,230,230,230,165,2,220
2,20240723,NA,1,Heat,Diploria,DL_2_1,230,230,230,127,150,163
2,20240723,NA,1,Heat,Diploria,DL_2_2,230,230,230,21,112,70
2,20240723,NA,1,Heat,Diploria,DL_2_3,230,230,230,198,76,133
2,20240723,NA,1,Heat,Diploria,DL_2_4,230,230,230,115,22,187
2,20240723,NA,1,Heat,Diploria,DL_3_1,230,230,230,87,75,137
2,20240723,NA,1,Heat,Diploria,DL_3_2,230,230,230,156,57,155
2,20240723,NA,1,Heat,Diploria,DL_3_3,230,230,230,159,135,32
2,20240723,NA,1,Heat,Diploria,DL_3_4,230,230,230,222,98,194
2,20240723,NA,1,Heat,Diploria,DL_4_1,230,230,230,121,145,75
2,20240723,NA,1,Heat,Diploria,DL_4_2,230,230,230,83,171,85
2,20240723,NA,1,Heat,Diploria,DL_4_3,230,230,230,224,188,27
2,20240723,NA,1,Heat,Diploria,DL_4_4,230,230,230,234,43,200
2,20240723,NA,1,Heat,Montastraea,MC_1_1,230,230,230,164,90,228
2,20240723,NA,1,Heat,Montastraea,MC_1_2,230,230,230,137,240,189
2,20240723,NA,1,Heat,Montastraea,MC_1_3,230,230,230,58,167,37
2,20240723,NA,1,Heat,Montastraea,MC_1_4,230,230,230,36,45,33
2,20240723,NA,1,Heat,Montastraea,MC_2_1,230,230,230,82,105,38
2,20240723,NA,1,Heat,Montastraea,MC_2_2,230,230,230,192,225,179
2,20240723,NA,1,Heat,Montastraea,MC_2_3,230,230,230,142,238,88
2,20240723,NA,1,Heat,Montastraea,MC_2_4,230,230,230,144,195,46
2,20240723,NA,1,Heat,Montastraea,MC_3_1,230,230,230,199,16,77
2,20240723,NA,1,Heat,Montastraea,MC_3_2,230,230,230,32,21,41
2,20240723,NA,1,Heat,Montastraea,MC_3_3,230,230,230,145,123,142
2,20240723,NA,1,Heat,Montastraea,MC_3_4,230,230,230,186,95,15
2,20240723,NA,1,Heat,Montastraea,MC_4_1,230,230,230,194,144,89
2,20240723,NA,1,Heat,Montastraea,MC_4_2,230,230,230,142,12,122
2,20240723,NA,1,Heat,Montastraea,MC_4_3,230,230,230,180,179,104
2,20240723,NA,1,Heat,Montastraea,MC_4_4,230,230,230,18,208,49
2,20240723,NA,1,pH,Madracis,MD_1_5,230,230,230,106,119,139
2,20240723,NA,1,pH,Madracis,MD_1_6,230,230,230,102,35,228
2,20240723,NA,1,pH,Madracis,MD_1_7,230,230,230,231,58,252
2,20240723,NA,1,pH,Madracis,MD_1_8,230,230,230,110,91,119
2,20240723,NA,1,pH,Madracis,MD_2_5,230,230,230,255,245,248
2,20240723,NA,1,pH,Madracis,MD_2_6,230,230,230,223,186,82
2,20240723,NA,1,pH,Madracis,MD_2_7,230,230,230,107,219,105
2,20240723,NA,1,pH,Madracis,MD_2_8,230,230,230,178,17,45
2,20240723,NA,1,pH,Madracis,MD_3_5,230,230,230,113,156,159
2,20240723,NA,1,pH,Madracis,MD_3_6,230,230,230,244,98,217
2,20240723,NA,1,pH,Madracis,MD_3_7,230,230,230,184,196,18
2,20240723,NA,1,pH,Madracis,MD_3_8,230,230,230,223,169,12
2,20240723,NA,1,pH,Madracis,MD_4_5,230,230,230,221,238,169
2,20240723,NA,1,pH,Madracis,MD_4_6,230,230,230,36,118,118
2,20240723,NA,1,pH,Madracis,MD_4_7,230,230,230,103,33,28
2,20240723,NA,1,pH,Madracis,MD_4_8,230,230,230,2,103,128
2,20240723,NA,1,pH,Diploria,DL_1_5,230,230,230,194,78,131
2,20240723,NA,1,pH,Diploria,DL_1_6,230,230,230,32,183,201
2,20240723,NA,1,pH,Diploria,DL_1_7,230,230,230,18,70,43
2,20240723,NA,1,pH,Diploria,DL_1_8,230,230,230,142,156,202
2,20240723,NA,1,pH,Diploria,DL_2_5,230,230,230,211,249,101
2,20240723,NA,1,pH,Diploria,DL_2_6,230,230,230,244,86,234
2,20240723,NA,1,pH,Diploria,DL_2_7,230,230,230,27,113,63
2,20240723,NA,1,pH,Diploria,DL_2_8,230,230,230,11,44,87
2,20240723,NA,1,pH,Diploria,DL_3_5,230,230,230,8,5,170
2,20240723,NA,1,pH,Diploria,DL_3_6,230,230,230,30,168,135
2,20240723,NA,1,pH,Diploria,DL_3_7,230,230,230,97,203,199
2,20240723,NA,1,pH,Diploria,DL_3_8,230,230,230,245,248,155
2,20240723,NA,1,pH,Diploria,DL_4_5,230,230,230,128,226,178
2,20240723,NA,1,pH,Diploria,DL_4_6,230,230,230,195,213,99
2,20240723,NA,1,pH,Diploria,DL_4_7,230,230,230,224,244,34
2,20240723,NA,1,pH,Diploria,DL_4_8,230,230,230,206,46,251
2,20240723,NA,1,pH,Montastraea,MC_1_5,230,230,230,158,79,38
2,20240723,NA,1,pH,Montastraea,MC_1_6,230,230,230,51,151,122
2,20240723,NA,1,pH,Montastraea,MC_1_7,230,230,230,238,43,54
2,20240723,NA,1,pH,Montastraea,MC_1_8,230,230,230,156,239,65
2,20240723,NA,1,pH,Montastraea,MC_2_5,230,230,230,226,17,138
2,20240723,NA,1,pH,Montastraea,MC_2_6,230,230,230,99,136,165
2,20240723,NA,1,pH,Montastraea,MC_2_7,230,230,230,35,153,93
2,20240723,NA,1,pH,Montastraea,MC_2_8,230,230,230,206,202,163
2,20240723,NA,1,pH,Montastraea,MC_3_5,230,230,230,53,15,142
2,20240723,NA,1,pH,Montastraea,MC_3_6,230,230,230,79,120,240
2,20240723,NA,1,pH,Montastraea,MC_3_7,230,230,230,44,67,251
2,20240723,NA,1,pH,Montastraea,MC_3_8,230,230,230,229,49,201
2,20240723,NA,1,pH,Montastraea,MC_4_5,230,230,230,196,119,245
2,20240723,NA,1,pH,Montastraea,MC_4_6,230,230,230,141,30,86
2,20240723,NA,1,pH,Montastraea,MC_4_7,230,230,230,253,156,95
2,20240723,NA,1,pH,Montastraea,MC_4_8,230,230,230,106,229,181
2,20240723,NA,1,Control,Madracis,MD_1_9,230,230,230,219,135,65
2,20240723,NA,1,Control,Madracis,MD_1_10,230,230,230,142,67,89
2,20240723,NA,1,Control,Madracis,MD_1_11,230,230,230,197,193,120
2,20240723,NA,1,Control,Madracis,MD_1_12,230,230,230,90,53,17
2,20240723,NA,1,Control,Madracis,MD_2_9,230,230,230,178,116,35
2,20240723,NA,1,Control,Madracis,MD_2_10,230,230,230,73,163,240
2,20240723,NA,1,Control,Madracis,MD_2_11,230,230,230,48,7,69
2,20240723,NA,1,Control,Madracis,MD_2_12,230,230,230,253,187,115
2,20240723,NA,1,Control,Madracis,MD_3_9,230,230,230,139,107,144
2,20240723,NA,1,Control,Madracis,MD_3_10,230,230,230,95,44,36
2,20240723,NA,1,Control,Madracis,MD_3_11,230,230,230,14,38,165
2,20240723,NA,1,Control,Madracis,MD_3_12,230,230,230,164,205,164
2,20240723,NA,1,Control,Madracis,MD_4_9,230,230,230,177,229,164
2,20240723,NA,1,Control,Madracis,MD_4_10,230,230,230,176,139,179
2,20240723,NA,1,Control,Madracis,MD_4_11,230,230,230,14,34,213
2,20240723,NA,1,Control,Madracis,MD_4_12,230,230,230,59,5,52
2,20240723,NA,1,Control,Diploria,DL_1_9,230,230,230,64,130,240
2,20240723,NA,1,Control,Diploria,DL_1_10,230,230,230,52,66,64
2,20240723,NA,1,Control,Diploria,DL_1_11,230,230,230,246,90,106
2,20240723,NA,1,Control,Diploria,DL_1_12,230,230,230,185,32,162
2,20240723,NA,1,Control,Diploria,DL_2_9,230,230,230,134,57,107
2,20240723,NA,1,Control,Diploria,DL_2_10,230,230,230,95,185,229
2,20240723,NA,1,Control,Diploria,DL_2_11,230,230,230,72,22,175
2,20240723,NA,1,Control,Diploria,DL_2_12,230,230,230,192,112,101
2,20240723,NA,1,Control,Diploria,DL_3_9,230,230,230,21,68,208
2,20240723,NA,1,Control,Diploria,DL_3_10,230,230,230,74,115,244
2,20240723,NA,1,Control,Diploria,DL_3_11,230,230,230,101,106,197
2,20240723,NA,1,Control,Diploria,DL_3_12,230,230,230,123,174,137
2,20240723,NA,1,Control,Diploria,DL_4_9,230,230,230,174,182,171
2,20240723,NA,1,Control,Diploria,DL_4_10,230,230,230,110,160,201
2,20240723,NA,1,Control,Diploria,DL_4_11,230,230,230,141,235,174
2,20240723,NA,1,Control,Diploria,DL_4_12,230,230,230,251,233,136
2,20240723,NA,1,Control,Montastraea,MC_1_9,230,230,230,230,62,142
2,20240723,NA,1,Control,Montastraea,MC_1_10,230,230,230,26,10,78
2,20240723,NA,1,Control,Montastraea,MC_1_11,230,230,230,202,238,141
2,20240723,NA,1,Control,Montastraea,MC_1_12,230,230,230,209,229,40
2,20240723,NA,1,Control,Montastraea,MC_2_9,230,230,230,220,90,159
2,20240723,NA,1,Control,Montastraea,MC_2_10,230,230,230,1,123,246
2,20240723,NA,1,Control,Montastraea,MC_2_11,230,230,230,118,231,168
2,20240723,NA,1,Control,Montastraea,MC_2_12,230,230,230,194,154,92
2,20240723,NA,1,Control,Montastraea,MC_3_9,230,230,230,3,124,37
2,20240723,NA,1,Control,Montastraea,MC_3_10,230,230,230,182,32,143
2,20240723,NA,1,Control,Montastraea,MC_3_11,230,230,230,150,13,151
2,20240723,NA,1,Control,Montastraea,MC_3_12,230,230,230,20,65,225
2,20240723,NA,1,Control,Montastraea,MC_4_9,230,230,230,23,42,245
2,20240723,NA,1,Control,Montastraea,MC_4_10,230,230,230,132,43,155
2,20240723,NA,1,Control,Montastraea,MC_4_11,230,230,230,159,151,141
2,20240723,NA,1,Control,Montastraea,MC_4_12,230,230,230,58,110,79
