Species,Genotype,Replicate,Zip.Color,Sample.id,Acclimation.Tank,Treatment.Tank,Treament
MD,1,1,Black,MD_1_1,,,
MD,1,2,Black,MD_1_2,,,
MD,1,3,Black,MD_1_3,,,
MD,1,4,Black,MD_1_4,,,
MD,1,5,Black,MD_1_5,,,
MD,1,6,Black,MD_1_6,,,
MD,1,7,Black,MD_1_7,,,
MD,1,8,Black,MD_1_8,,,
MD,1,9,Black,MD_1_9,,,
MD,1,10,Black,MD_1_10,,,
MD,1,11,Black,MD_1_11,,,
MD,1,12,Black,MD_1_12,,,
MD,1,13,Black,MD_1_13,,,
MD,1,14,Black,MD_1_14,,,
MD,1,15,Black,MD_1_15,,,
MD,1,16,Black,MD_1_16,,,
MD,1,17,Black,MD_1_17,,,
MD,1,18,Black,MD_1_18,,,
MD,1,19,Black,MD_1_19,,,
MD,1,20,Black,MD_1_20,,,
MD,1,21,Black,MD_1_21,,,
MD,1,22,Black,MD_1_22,,,
MD,1,23,Black,MD_1_23,,,
MD,1,24,Black,MD_1_24,,,
MD,1,25,Black,MD_1_25,,,
MD,1,26,Black,MD_1_26,,,
MD,1,27,Black,MD_1_27,,,
MD,1,28,Black,MD_1_28,,,
MD,1,29,Black,MD_1_29,,,
MD,1,30,Black,MD_1_30,,,
MD,1,31,Black,MD_1_31,,,
MD,1,32,Black,MD_1_32,,,
MD,1,33,Black,MD_1_33,,,
MD,1,34,Black,MD_1_34,,,
MD,1,35,Black,MD_1_35,,,
MD,1,36,Black,MD_1_36,,,
MD,1,37,Black,MD_1_37,,,
MD,1,38,Black,MD_1_38,,,
MD,1,39,Black,MD_1_39,,,
MD,1,40,Black,MD_1_40,,,
MD,1,41,Black,MD_1_41,,,
MD,1,42,Black,MD_1_42,,,
MD,2,1,Yellow,MD_2_1,,,
MD,2,2,Yellow,MD_2_2,,,
MD,2,3,Yellow,MD_2_3,,,
MD,2,4,Yellow,MD_2_4,,,
MD,2,5,Yellow,MD_2_5,,,
MD,2,6,Yellow,MD_2_6,,,
MD,2,7,Yellow,MD_2_7,,,
MD,2,8,Yellow,MD_2_8,,,
MD,2,9,Yellow,MD_2_9,,,
MD,2,10,Yellow,MD_2_10,,,
MD,2,11,Yellow,MD_2_11,,,
MD,2,12,Yellow,MD_2_12,,,
MD,2,13,Yellow,MD_2_13,,,
MD,2,14,Yellow,MD_2_14,,,
MD,2,15,Yellow,MD_2_15,,,
MD,2,16,Yellow,MD_2_16,,,
MD,2,17,Yellow,MD_2_17,,,
MD,2,18,Yellow,MD_2_18,,,
MD,2,19,Yellow,MD_2_19,,,
MD,2,20,Yellow,MD_2_20,,,
MD,2,21,Yellow,MD_2_21,,,
MD,2,22,Yellow,MD_2_22,,,
MD,2,23,Yellow,MD_2_23,,,
MD,2,24,Yellow,MD_2_24,,,
MD,2,25,Yellow,MD_2_25,,,
MD,2,26,Yellow,MD_2_26,,,
MD,2,27,Yellow,MD_2_27,,,
MD,2,28,Yellow,MD_2_28,,,
MD,2,29,Yellow,MD_2_29,,,
MD,2,30,Yellow,MD_2_30,,,
MD,2,31,Yellow,MD_2_31,,,
MD,2,32,Yellow,MD_2_32,,,
MD,2,33,Yellow,MD_2_33,,,
MD,2,34,Yellow,MD_2_34,,,
MD,2,35,Yellow,MD_2_35,,,
MD,2,36,Yellow,MD_2_36,,,
MD,2,37,Yellow,MD_2_37,,,
MD,2,38,Yellow,MD_2_38,,,
MD,2,39,Yellow,MD_2_39,,,
