Species,Genotype,Replicate,Zip.Color,Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Replicate.Number,Timepoint
Madracis decactis,1,NA,NA,MD-1,NA,NA,NONE,20240620,NA,TP0
Madracis decactis,2,NA,NA,MD-2,NA,NA,NONE,20240620,NA,TP0
Madracis decactis,3,NA,NA,MD-4,NA,NA,NONE,20240620,NA,TP0
Madracis decactis,4,NA,NA,MD-5,NA,NA,NONE,20240620,NA,TP0
Madracis decactis,1,19,Black,MD-1-19,Tank_5,Control,NONE,20240723,R2,TP2
Madracis decactis,1,3,Black,MD-1-3,Tank_5,Control,NONE,20240723,R1,TP2
Madracis decactis,2,22,Yellow,MD-2-22,Tank_4,Control,NONE,20240723,R1,TP2
Madracis decactis,2,5,Yellow,MD-2-5,Tank_5,Control,NONE,20240723,R2,TP2
Madracis decactis,3,1,Green,MD-4-1,Tank_4,Control,NONE,20240723,R1,TP2
Madracis decactis,3,13,Green,MD-4-13,Tank_5,Control,NONE,20240723,R2,TP2
Madracis decactis,4,14,Red,MD-5-14,Tank_4,Control,NONE,20240723,R1,TP2
Madracis decactis,4,5,Red,MD-5-5,Tank_5,Control,NONE,20240723,R2,TP2
Madracis decactis,1,15,Black,MD-1-15,Tank_6,High_Temp,NONE,20240723,R1,TP2
Madracis decactis,1,5,Black,MD-1-5,Tank_7,High_Temp,NONE,20240723,R2,TP2
Madracis decactis,2,1,Yellow,MD-2-1,Tank_7,High_Temp,NONE,20240723,R2,TP2
Madracis decactis,2,23,Yellow,MD-2-23,Tank_3,Low_pH,NONE,20240723,R1,TP2
Madracis decactis,2,4,Yellow,MD-2-4,Tank_6,High_Temp,NONE,20240723,R1,TP2
Madracis decactis,3,4,Green,MD-4-4,Tank_7,High_Temp,NONE,20240723,R2,TP2
Madracis decactis,3,6,Green,MD-4-6,Tank_6,High_Temp,NONE,20240723,R1,TP2
Madracis decactis,4,16,Red,MD-5-16,Tank_6,High_Temp,NONE,20240723,R1,TP2
Madracis decactis,4,8,Red,MD-5-8,Tank_7,High_Temp,NONE,20240723,R2,TP2
Madracis decactis,1,11,Black,MD-1-11,Tank_2,Low_pH,NONE,20240723,R2,TP2
Madracis decactis,1,20,Black,MD-1-20,Tank_3,Low_pH,NONE,20240723,R1,TP2
Madracis decactis,2,25,Yellow,MD-2-25,Tank_2,Low_pH,NONE,20240723,R2,TP2
Madracis decactis,3,12,Green,MD-4-12,Tank_3,Low_pH,NONE,20240723,R1,TP2
Madracis decactis,3,9,Green,MD-4-9,Tank_2,Low_pH,NONE,20240723,R2,TP2
Madracis decactis,4,23,Red,MD-5-23,Tank_3,Low_pH,NONE,20240723,R1,TP2
Madracis decactis,4,26,Red,MD-5-26,Tank_2,Low_pH,NONE,20240723,R2,TP2
Madracis decactis,1,14,Black,MD-1-14,Tank_5,Control,NONE,20240806,R2,TP3
