Sample.ID,Primer,Date.Sampled,Treatment.Tank.x,Inital.Treament.x,Secondary.Treatment.x,Date_extraction.x,Date_prep,RNA_ng_ul_avg,RNA volume input for 12 ng (uL),DNAse free water volume (uL),Total start vol (uL),Total RNA input (ng),Library concentration (ng/uL),Library bp peak,Library volume (uL),Qbit #1 ug/uL,Qbit #2 ug/uL,Qbit avg ug/uL,Concentration in nM,Volume of stock that will be diluted (uL),Volume of Molecular grade water for dilutions,Concentration of final Solution (nM),Desired Volume of final diluted solution (uL)
MD-1-10,78,20240815,Tank_3,Low_pH,Control,20250526,20250624,11.1,1.081081,3.918919,5,12,4.03,462,15,7.1,7.1,7.1,23.28479601,1.717859155,8.282140845,4,10
MD-1-11,19,20240723,Tank_2,Low_pH,NONE,20250529,20250706,12.35,0.97166,4.02834,5,12,7.29,451,15,6.14,6.12,6.13,20.59396627,1.942316476,8.057683524,4,10
MD-1-15,24,20240723,Tank_6,High_Temp,NONE,20250523,20250708,15.15,0.792079,4.207921,5,12,6.07,442,15,6.5,6.1,6.3,21.59605101,1.852190476,8.147809524,4,10
MD-1-16,17,20240815,Tank_6,High_Temp,High_Temp,20250530,20250706,10.4,1.153846,3.846154,5,12,4.83,483,15,3.34,3.34,3.34,10.47744526,3.817724551,6.182275449,4,10
MD-1-17,79,20240815,Tank_6,High_Temp,High_Temp,20250530,20250624,16.7,0.718563,4.281437,5,12,2.02,466,15,1.83,1.83,1.83,5.950058525,6.722622951,3.277377049,4,10
MD-1-19,23,20240723,Tank_5,Control,NONE,20250605,20250708,6.27,1.913876,3.086124,5,12,4.76,439,15,4.54,4.52,4.53,15.63470698,2.558410596,7.441589404,4,10
MD-1-20,67,20240723,Tank_3,Low_pH,NONE,20250527,20250618,10.35,1.15942,3.84058,5,12,8.64,446,15,7.1,7.1,7.1,24.12012502,1.658366197,8.341633803,4,10
MD-1-25,84,20240815,Tank_4,Control,High_Temp,20250602,20250620,10.8,1.111111,3.888889,5,12,5.13,433,20,7.66,7.65,7.655,26.78633914,1.493298498,8.506701502,4,10
MD-1-26,13,20240815,Tank_7,High_Temp,Control,20250603,20250702,9.23,1.300108,3.699892,5,12,2.93,397,20,2.26,2.26,2.26,8.625295779,4.637522124,5.362477876,4,10
MD-1-4,85,20240815,Tank_2,Low_pH,High_Temp,20250526,20250630,13.7,1,4,5,12,9.54,443,15,18.7,18.6,18.65,63.78685273,0.6270884718,9.372911528,4,10
MD-1-6,80,20240806,Tank_2,Low_pH,NONE,20250529,20250624,36.5,0.328767,4.671233,5,12,3.1,386,15,3.76,3.76,3.76,14.75898885,2.710212766,7.289787234,4,10
MD-1-7,88,20240815,Tank_4,Control,High_Temp,20250604,20250630,27.6,0.434783,4.565217,5,12,9.87,423,15,9.18,9.18,9.18,32.88201161,1.216470588,8.783529412,4,10
MD-1-8,72,20240806,Tank_3,Low_pH,NONE,20250529,20250619,23.5,0.510638,4.489362,5,12,9.56,425,20,8.76,8.74,8.75,31.1942959,1.282285714,8.717714286,4,10
MD-2-10,69,20240806,Tank_3,Low_pH,NONE,20250528,20250618,10.6,1.132075,3.867925,5,12,3.45,405,15,4.66,4.66,4.66,17.43359521,2.294420601,7.705579399,4,10
MD-2-12,22,20240806,Tank_7,High_Temp,NONE,20250528,20250706,17.7,0.677966,4.322034,5,12,7.62,451,15,6.5,6.48,6.49,21.80339985,1.834576271,8.165423729,4,10
MD-2-18,12,20240815,Tank_5,Control,Control,20250530,20250702,36.1,0.33241,4.66759,5,12,3.23,466,20,2.42,2.42,2.42,7.868383405,5.083636364,4.916363636,4,10
MD-2-2,71,20240806,Tank_2,Low_pH,NONE,20250528,20250618,10.4,1.153846,3.846154,5,12,2.32,410,15,2.62,2.62,2.62,9.682187731,4.13129771,5.86870229,4,10
MD-2-20,2,20240815,Tank_2,Low_pH,High_Temp,20250527,2.02E+08,19.6,0.612245,4.387755,5,12,1.16,478,20,2.46,2.46,2.46,7.797641689,5.129756098,4.870243902,4,10
MD-2-22,7,20240723,Tank_4,Control,NONE,20250606,2.02E+08,20.2,0.594059,4.405941,5,12,2.56,481,20,1.95,1.94,1.945,6.126756127,6.52874036,3.47125964,4,10
MD-2-24,89,20240815,Tank_4,Control,High_Temp,20250602,20250620,11.2,1.071429,3.928571,5,12,5.15,429,20,7.84,7.82,7.83,27.65416402,1.446436782,8.553563218,4,10
MD-2-26,92,20240815,Tank_7,High_Temp,Control,20250604,20250622,13,0.923077,4.076923,5,12,7.92,425,20,13.9,13.9,13.9,49.5543672,0.8071942446,9.192805755,4,10
MD-2-3,75,20240815,Tank_6,High_Temp,High_Temp,20250531,20250619,14.8,0.810811,4.189189,5,12,6.99,434,20,5.66,5.66,5.66,19.75981008,2.024310954,7.975689046,4,10
MD-2-4,68,20240723,Tank_6,High_Temp,NONE,20250523,20250618,10.5,1.142857,3.857143,5,12,2.72,464,15,1.85,1.84,1.845,6.02468652,6.639349593,3.360650407,4,10
MD-2-6,52,20240815,Tank_5,Control,Control,20250529,20250617,16.05,0.747664,4.252336,5,12,8.29,447,15,8.6,8.58,8.59,29.11667006,1.373783469,8.626216531,4,10
MD-2-7,73,20240815,Tank_7,High_Temp,Control,20250603,20250619,4.6,2.608696,2.391304,5,12,11.8,436,20,5.54,5.52,5.53,19.21740339,2.081446655,7.918553345,4,10
MD-2-8,58,20240806,Tank_5,Control,NONE,20250529,20250630,13.6,0.882353,4.117647,5,12,4.37,441,15,6.08,6.08,6.08,20.88916375,1.914868421,8.085131579,4,10
MD-4-1,50,20240723,Tank_4,Control,NONE,20250526,20250617,24.9,0.481928,4.518072,5,12,7.69,457,15,8.36,8.32,8.34,27.65068629,1.446618705,8.553381295,4,10
MD-4-11,96,20240815,Tank_7,High_Temp,Control,20250603,20250622,7.03,1.70697,3.29303,5,12,3.91,433,20,4.24,4.22,4.23,14.80159563,2.702411348,7.297588652,4,10
MD-4-13,11,20240723,Tank_5,Control,NONE,20250526,20250702,16.55,0.725076,4.274924,5,12,5.16,457,20,4.16,4.16,4.16,13.79218885,2.900192308,7.099807692,4,10
MD-4-16,93,20240815,Tank_7,High_Temp,Control,20250603,20250622,13.3,0.902256,4.097744,5,12,5.48,424,20,8.54,8.5,8.52,30.44596913,1.313802817,8.686197183,4,10
MD-4-17,94,20240815,Tank_4,Control,High_Temp,20250602,20240622,20.6,0.582524,4.417476,5,12,4.13,428,20,8.9,8.9,8.9,31.50665534,1.269573034,8.730426966,4,10
MD-4-24,1,20240815,Tank_3,Low_pH,Control,20250524,2.02E+08,18.3,0.655738,4.344262,5,12,3.46,467,20,5.74,5.68,5.71,18.52572838,2.15915937,7.84084063,4,10
MD-4-25,77,20240806,Tank_3,Low_pH,NONE,20250529,20250624,18.3,0.655738,4.344262,5,12,6.35,440,15,4.54,4.54,4.54,15.63360882,2.558590308,7.441409692,4,10
MD-4-3,95,20240815,Tank_6,High_Temp,High_Temp,20250604,20250622,11.2,1.071429,3.928571,5,12,3.39,389,20,5.82,5.82,5.82,22.66884786,1.764536082,8.235463918,4,10
MD-4-4,90,20240723,Tank_7,High_Temp,NONE,20250605,20250622,11.5,1.043478,3.956522,5,12,14.1,406,20,17.2,17.2,17.2,64.18868488,0.6231627907,9.376837209,4,10
MD-4-5,70,20240806,Tank_2,Low_pH,NONE,20250527,20250618,41.7,0.28777,4.71223,5,12,1.49,494,15,2.66,2.66,2.66,8.158508159,4.902857143,5.097142857,4,10
MD-4-6,91,20240723,Tank_6,High_Temp,NONE,20250523,20250622,10,1.2,3.8,5,12,6-Apr,413,20,22.4,22.4,22.4,82.1777093,0.48675,9.51325,4,10
MD-4-9,20,20240723,Tank_2,Low_pH,NONE,20250527,20250706,15.9,0.754717,4.245283,5,12,4.76,472,15,3.64,3.62,3.63,11.65254237,3.432727273,6.567272727,4,10
MD-5-11,76,20240815,Tank_6,High_Temp,High_Temp,20250531,20250619,16.5,0.727273,4.272727,5,12,8.15,438,20,6.32,6.3,6.31,21.82786772,1.83251981,8.16748019,4,10
MD-5-14,18,20240723,Tank_4,Control,NONE,20240523,20250706,42.8,0.280374,4.719626,5,12,8.6,450,15,7.44,7.42,7.43,25.01683502,1.598923284,8.401076716,4,10
MD-5-19,25,20240815,Tank_4,Control,High_Temp,20250602,20250708,12,1,4,5,12,5.58,459,15,4.62,4.62,4.62,15.25054466,2.622857143,7.377142857,4,10
MD-5-20,86,20240815,Tank_7,High_Temp,Control,20250603,20250630,4.79,2.505219,2.494781,5,12,9.78,426,15,21.2,21.2,21.2,75.40190639,0.530490566,9.469509434,4,10
MD-5-22,51,20240815,Tank_3,Low_pH,Control,20250530,20250617,21,0.571429,4.428571,5,12,6.42,460,15,9.72,9.68,9.7,31.94993412,1.251958763,8.748041237,4,10
MD-5-3,87,20240815,Tank_3,Low_pH,Control,20250530,20250630,43.5,0.275862,4.724138,5,12,9.33,432,15,16.4,16.4,16.4,57.51964085,0.6954146341,9.304585366,4,10
MD-5-4,83,20240815,Tank_7,High_Temp,Control,20250603,20250620,16.5,0.727273,4.272727,5,12,6.95,426,20,14.7,14.6,14.65,52.10556267,0.7676723549,9.232327645,4,10
MD-5-5,49,20240723,Tank_5,Control,NONE,20250527,20250617,11,1.090909,3.909091,5,12,6.13,448,15,5.52,5.5,5.51,18.63501082,2.146497278,7.853502722,4,10
MD-5-7,16,20240815,Tank_6,High_Temp,High_Temp,20250531,20250706,19.2,0.572917,4.427083,5,11,7.61,444,15,6.1,6.08,6.09,20.78214578,1.924729064,8.075270936,4,10
MD-5-9,48,20240815,Tank_5,Control,Control,20250529,20250617,11.4,1.052632,3.947368,5,12,8.06,445,15,8.64,8.64,8.64,29.41777324,1.359722222,8.640277778,4,10
MD-5,82,20240620,NA,NA,NONE,20250605,20250620,38.2,0.314136,4.685864,5,12,7.75,380,15,5.34,5.32,5.33,21.25199362,1.88217636,8.11782364,4,10
Pool2,,,,,,,,,,,,,1.99,474,,1.42,1.41,1.415,4.52307889,,,,
