Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Date_extraction,Date_prep,Initials,RNA_ng_ul_avg,RNA volume input for 12 ng (uL),DNAse free water volume (uL),Total start vol (uL),Total RNA input (ng),Library concentration (ng/uL),Library bp peak,Library volume (uL),Primer,Notebook post,Notes
MD-4-21,Tank_2,Low_pH,High_Temp,20240815,20250524,20250630,JA,15.2,0.7894736842,4.210526316,5,12,12.3,439,15,1,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-30-Zymo-SwitchFree_ENCORE-Priming.md,
MD-4-24,Tank_3,Low_pH,Control,20240815,20250524,202050630,FF,18.3,0.6557377049,4.344262295,5,12,3.46,467,20,1,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md,
MD-5-6,Tank_5,Control,NONE,20240806,20250528,20250630,JA,15.1,0.7947019868,4.205298013,5,12,7.22,430,15,2,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-30-Zymo-SwitchFree_ENCORE-Priming.md,
MD-2-20,Tank_2,Low_pH,High_Temp,20240815,20250527,202050630,FF,19.6,0.612244898,4.387755102,5,12,1.16,478,20,2,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md,
MD-1-3,Tank_5,Control,NONE,20240723,20250527,20250630,FF,16.4,0.7317073171,4.268292683,5,12,7.55,445,20,3,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md,FF prepped on 6/17/2025 and recieved multiple peaks []
MD-2-25,Tank_2,Low_pH,NONE,20240723,20250523,202050630,FF,11.4,1.052631579,3.947368421,5,12,1.52,465,20,4,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md,FF prepped on 6/17/2025 and recieved multiple peaks []
MD-5-10,Tank_7,High_Temp,NONE,20240806,20250525,202050630,FF,34.1,0.3519061584,4.648093842,5,12,3.11,450,20,5,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/1a3974dc339f1d5ae5fb6a7bc7d7c795cb32b65f/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md,
MD-1,NA,NA,NONE,20240620,20250526,202050630,FF,20.7,0.5797101449,4.420289855,5,12,1.77,475,20,6,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/1a3974dc339f1d5ae5fb6a7bc7d7c795cb32b65f/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md,
MD-2-23,Tank_3,Low_pH,NONE,20240723,20250529,20250630,JA,10.15,1.18226601,3.81773399,5,12,1.21,425,15,7,https://github.com/JillAshey/JillAshey_Putnam_Lab_Notebook/blob/344014ad362a63c9d2c0ca85d5de823f3f65aa9e/_posts/2025-06-30-Zymo-SwitchFree_ENCORE-Priming.md,FF prepped on 6/23/2025 and recieved multiple peaks JA redid the sample [ https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/566464902523b6d860269110a02a69c5ae1b8572/_posts/2025-06-13-ENCORE-Priming-Library-Prep.md ]
MD-2-22,Tank_4,Control,NONE,20240723,20250606,202050630,FF,20.2,0.5940594059,4.405940594,5,12,2.56,481,20,7,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/1a3974dc339f1d5ae5fb6a7bc7d7c795cb32b65f/_posts/2025-06-30-ENCORE-Priming-Library-Prep.md,
MD-1-24,Tank_5,Control,Control,20240815,20250528,20250702,FF,19.9,0.6030150754,4.396984925,5,12,3.16,407,20,8,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md,
MD-4-26,Tank_5,Control,Control,20240815,20250529,20250702,FF,11.4,1.052631579,3.947368421,5,12,2.33,460,20,9,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md,
MD-4-2,Tank_5,Control,Control,20240815,20250529,20250702,FF,15.2,0.7894736842,4.210526316,5,12,4.62,459,20,10,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md,
MD-4-19,Tank_4,Control,NONE,20240806,20250606,20250611,FF,40.3,1,4,5,40.3,7.67,434,20,11,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-06-11-ENCORE-Priming-Library-Prep.md,
MD-4-13,Tank_5,Control,NONE,20240723,20250526,20250702,FF,16.55,0.7250755287,4.274924471,5,12,5.16,457,20,11,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/6762b8db36e120441e8ff8e41b50e88e4121f7e8/_posts/2025-07-02-ENCORE-Priming-Library-Prep.md,
MD-4-22,Tank_3,Low_pH,Control,20240815,20250526,20250611,FF,12,1,4,5,12,5.38,462,20,12,https://github.com/flofields/Florence_Putnam_Lab_Notebook/blob/5d35202a07da3c4f82ae47aa86f2966fef6da901/_posts/2025-06-11-ENCORE-Priming-Library-Prep.md,FF prepped on 6/16/25 but sample failed. JA redid on 6/30/25
