Sample.ID,Primer,Date.Sampled,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date_extraction,Date_prep,RNA_ng_ul_avg,RNA volume input for 12 ng (uL),DNAse free water volume (uL),Total start vol (uL),Total RNA input (ng),Library concentration (ng/uL),Library bp peak,Library volume (uL),Qbit #1 ng/uL,Qbit #2 ng/uL,Qbit avg ng/uL,Concentration in nM,Volume of stock that will be diluted (uL),Volume of Molecular grade water for dilutions,Concentration of final Solution (nM),Desired Volume of final diluted solution (uL)
MD-4-21,1,20240815,Tank_2,Low_pH,High_Temp,20250524,20250630,15.2,0.789474,4.210526,5,12,12.3,439,15,19.1,19,19.05,65.7486022,0.6083779528,9.391622047,4,10
MD-5-6,2,20240806,Tank_5,Control,NONE,20250528,20250630,15.1,0.794702,4.205298,5,12,7.22,430,15,17.2,17.1,17.15,60.4298802,0.6619241983,9.338075802,4,10
MD-1-3,3,20240723,Tank_5,Control,NONE,20250527,20250630,16.4,0.731707,4.268293,5,12,7.55,445,20,7.18,7.16,7.17,24.41266599,1.638493724,8.361506276,4,10
MD-2-25,4,20240723,Tank_2,Low_pH,NONE,20250523,2.02E+08,11.4,1.052632,3.947368,5,12,1.52,465,20,1.69,1.68,1.685,5.490387748,5.828367953,2.171632047,4,8
MD-5-10,5,20240806,Tank_7,High_Temp,NONE,20250525,2.02E+08,34.1,0.351906,4.648094,5,12,3.11,450,20,1.75,1.75,1.75,5.892255892,6.788571429,3.211428571,4,10
MD-1,6,20240620,NA,NA,NONE,20250526,2.02E+08,20.7,0.57971,4.42029,5,12,1.77,475,20,1.91,1.89,1.9,6.060606061,6.6,3.4,4,10
MD-2-23,7,20240723,Tank_3,Low_pH,NONE,20250529,20250630,10.15,1.182266,3.817734,5,12,1.21,425,15,1.16,1.16,1.16,4.135472371,5.803448276,0.1965517241,4,6
MD-1-24,8,20240815,Tank_5,Control,Control,20250528,20250702,19.9,0.603015,4.396985,5,12,3.16,407,20,2.58,2.56,2.57,9.567418658,4.180856031,5.819143969,4,10
MD-4-26,9,20240815,Tank_5,Control,Control,20250529,20250702,11.4,1.052632,3.947368,5,12,2.33,460,20,3.2,3.2,3.2,10.54018445,3.795,6.205,4,10
MD-4-2,10,20240815,Tank_5,Control,Control,20250529,20250702,15.2,0.789474,4.210526,5,12,4.62,459,20,4.74,4.72,4.73,15.61365287,2.561860465,7.438139535,4,10
MD-4-19,11,20240806,Tank_4,Control,NONE,20250606,20250611,40.3,1,4,5,40.3,7.67,434,20,6,5.98,5.99,20.91188382,1.91278798,8.08721202,4,10
MD-4-22,12,20240815,Tank_3,Low_pH,Control,20250526,20250611,12,1,4,5,12,5.38,462,20,4.3,4.28,4.29,14.06926407,2.843076923,7.156923077,4,10
