Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Replicate.Number,Timepoint,Date_extraction,Box location after Extraction,Initials,Elution_volume ul,RNA_QBIT_1,RNA_QBIT_2,AVG_RNA_QBIT,Gel_image_name,Link_to_Notebook,Comments,Comments 2
MD-1,NA,NA,NONE,20240620,NA,TP0,20250526,-80 top shelf,FS,80,20.8,20.6,20.7,Gel_DNA_RNA_26May2025,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-2/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-2,NA,NA,NONE,20240620,NA,TP0,20250526,-80 top shelf,FS,80,19.4,19.4,19.4,Gel_DNA_RNA_26May2025,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-2/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-4,NA,NA,NONE,20240620,NA,TP0,20250605,-80 top shelf,FF,100,56.8,58,57.4,GEL_DNA_RNA_05_06_June2025_FF_PP.png,Florence_Putnam_Lab_Notebook/_posts/2025-06-05-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-5,NA,NA,NONE,20240620,NA,TP0,20250605,-80 top shelf,FF,100,37.8,38.6,38.2,GEL_DNA_RNA_05_06_June2025_FF_PP.png,Florence_Putnam_Lab_Notebook/_posts/2025-06-05-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-1-19,Tank_5,Control,NONE,20240723,R2,TP2,20250605,-80 top shelf,FF/NC,80,6.34,6.2,6.27,Gel_DNA_RNA_09June2025_NC.jpg,https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-09-ENCORE-DNA-RNA-Re-extractions.md,Saved a DNA aliquot for QBIT (QC written on tube) plus DNA Qbit read when extracted for the second time,
MD-1-3,Tank_5,Control,NONE,20240723,R1,TP2,20250527,-80 top shelf,FS,80,17.6,15.2,16.4,Gel_DNA_RNA_27May2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-3/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-2-22,Tank_4,Control,NONE,20240723,R1,TP2,20250606,-80 top shelf,FF/PP,80,20.6,19.8,20.2,GEL_DNA_RNA_05_06_June2025_FF_PP.png,Florence_Putnam_Lab_Notebook/_posts/2025-06-05-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook,,
MD-2-5,Tank_5,Control,NONE,20240723,R2,TP2,20250526,-80 top shelf,FS,80,18.8,16.4,17.6,Gel_DNA_RNA_26May2025,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-2/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-4-1,Tank_4,Control,NONE,20240723,R1,TP2,20250526,-80 top shelf,FS,80,25.6,24.2,24.9,Gel_DNA_RNA_26May2025,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-2/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-4-13,Tank_5,Control,NONE,20240723,R2,TP2,20250526,-80 top shelf,FS,80,16.6,16.5,16.55,Gel_DNA_RNA_26May2025,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-2/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-5-14,Tank_4,Control,NONE,20240723,R1,TP2,20240523,-80 top shelf,FF/NC,100,44.8,40.8,42.8,Gel2_DNA_RNA_23May2026_FF/Gel_DNA_RNA_06June2025_NC1,Florence_Putnam_Lab_Notebook/_posts/2025-05-23-ENCORE-Priming-RNA-DNA-Extractions.md at master · flofields/Florence_Putnam_Lab_Notebook / https://github.com/nchampney/NEC_Putnam_Lab_Notebook/blob/master/_posts/2025-06-06-ENCORE-DNA-RNA-Re-extractions.md ,Saved a DNA aliquot for QBIT (QC written on tube) plus DNA Qbit read when extracted for the second time,
MD-5-5,Tank_5,Control,NONE,20240723,R2,TP2,20250527,-80 top shelf,FS,80,11.2,10.8,11,Gel_DNA_RNA_27May2025_FS,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming-3/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-1-15,Tank_6,High_Temp,NONE,20240723,R1,TP2,20250523,-80 top shelf,FS,80,15.4,14.9,15.15,Gel_DNA_RNA_23May2025,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming/,Saved a DNA aliquot for QBIT (QC written on tube) ,
MD-1-5,Tank_7,High_Temp,NONE,20240723,R2,TP2,20250523,-80 top shelf,FS,80,14.4,14.4,14.4,Gel_DNA_RNA_23May2025,https://fscucchia-labnotebooks.github.io/FScucchia_Putnam_Lab_Notebook/DNA-RNA-ENCORE-Bermuda-Priming/,Saved a DNA aliquot for QBIT (QC written on tube) ,
