"","fragment_ID","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-21",0.0568131687942177,"pH","1","DL","TP2","Photo"
"2","DL-1-21",0.0568131687942177,"pH","1","DL","TP2","Photo"
"3","DL-1-21",0.0568131687942177,"pH","1","DL","TP2","Photo"
"4","DL-1-21",0.0568131687942177,"pH","1","DL","TP2","Photo"
"5","DL-2-19",-0.268431731340934,"pH","2","DL","TP2","Photo"
"6","DL-2-19",-0.268431731340934,"pH","2","DL","TP2","Photo"
"7","DL-2-19",-0.268431731340934,"pH","2","DL","TP2","Photo"
"8","DL-2-8",0.0852952103407747,"pH","2","DL","TP2","Photo"
"9","DL-2-8",0.0852952103407747,"pH","2","DL","TP2","Photo"
"10","DL-2-8",0.0852952103407747,"pH","2","DL","TP2","Photo"
"11","DL-3-16",0.145084288499642,"pH","3","DL","TP2","Photo"
"12","DL-3-16",0.145084288499642,"pH","3","DL","TP2","Photo"
"13","DL-3-16",0.145084288499642,"pH","3","DL","TP2","Photo"
"14","DL-4-17",0.588386910742664,"pH","4","DL","TP2","Photo"
"15","DL-4-17",0.588386910742664,"pH","4","DL","TP2","Photo"
"16","DL-4-17",0.588386910742664,"pH","4","DL","TP2","Photo"
"17","DL-4-17",0.588386910742664,"pH","4","DL","TP2","Photo"
"18","DL-4-24",0.273476058212056,"pH","4","DL","TP2","Photo"
"19","DL-4-24",0.273476058212056,"pH","4","DL","TP2","Photo"
"20","MD-1-6",-0.0649634909727637,"pH","1","MD","TP2","Photo"
"21","MD-1-6",-0.0649634909727637,"pH","1","MD","TP2","Photo"
"22","MD-1-6",-0.0649634909727637,"pH","1","MD","TP2","Photo"
"23","MD-2-20",0.0358418764828141,"pH","2","MD","TP2","Photo"
"24","MD-2-20",0.0358418764828141,"pH","2","MD","TP2","Photo"
"25","MD-2-20",0.0358418764828141,"pH","2","MD","TP2","Photo"
"26","MD-2-20",0.0358418764828141,"pH","2","MD","TP2","Photo"
"27","MD-2-25",0.028969019305019,"pH","2","MD","TP2","Photo"
"28","MD-2-25",0.028969019305019,"pH","2","MD","TP2","Photo"
"29","MD-2-25",0.028969019305019,"pH","2","MD","TP2","Photo"
"30","MD-4-5",-0.0540380983071018,"pH","4","MD","TP2","Photo"
"31","MD-4-5",-0.0540380983071018,"pH","4","MD","TP2","Photo"
"32","MD-4-5",-0.0540380983071018,"pH","4","MD","TP2","Photo"
"33","MD-4-5",-0.0540380983071018,"pH","4","MD","TP2","Photo"
"34","MD-5-25",0.0243624014749789,"pH","5","MD","TP2","Photo"
"35","MD-5-25",0.0243624014749789,"pH","5","MD","TP2","Photo"
"36","MD-5-25",0.0243624014749789,"pH","5","MD","TP2","Photo"
