"","fragment_ID","micromol.cm2.h","Priming.Treatment","Secondary.Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-20",0.701394021745711,"Heat","Heat","1","DL","TP4","Photo"
"2","DL-2-10",0.742423281923218,"Heat","Heat","2","DL","TP4","Photo"
"3","DL-2-10",0.742423281923218,"Heat","Heat","2","DL","TP4","Photo"
"4","DL-2-10",0.742423281923218,"Heat","Heat","2","DL","TP4","Photo"
"5","MD-1-17",0.418751996463218,"Heat","Heat","1","MD","TP4","Photo"
"6","MD-1-17",0.418751996463218,"Heat","Heat","1","MD","TP4","Photo"
"7","MD-1-17",0.418751996463218,"Heat","Heat","1","MD","TP4","Photo"
"8","MD-4-7",0.287799785160954,"Heat","Heat","4","MD","TP4","Photo"
"9","MD-5-11",0.41620895969049,"Heat","Heat","5","MD","TP4","Photo"
"10","MD-5-11",0.41620895969049,"Heat","Heat","5","MD","TP4","Photo"
"11","MD-5-11",0.41620895969049,"Heat","Heat","5","MD","TP4","Photo"
