Sample.ID,Repliate .Type,Species,Tank,Sample.Date,Volume.of.DI,Homogenate.Vol,New.Volume.of.DI,Airbrush.Date,Chamber.Volume,Notes
DL-extra,extra,Diploria labrinthiformis,4,20240815,,33,,20241016,,
DL-4-34,extra,Diploria labrinthiformis,4,20240815,,35,,20241016,,
MD-1-36,extra,Madracis decactis,3,20240815,250,28,260,20241016,0.635,
DL-4-12,2,Diploria labrinthiformis,3,20240815,200,37,219,20241016,0.626,
DL-4-16,2,Diploria labrinthiformis,7,20240723,200,34,219,20241016,0.626,
DL-2-2,1,Diploria labrinthiformis,4,20240815,210,26.5,230,20241016,0.625,
DL-1-13,1,Diploria labrinthiformis,3,20240815,210,40,225,20241016,0.63,
DL-2-25,2,Diploria labrinthiformis,5,20240815,200,32.5,215,20241016,0.63,
DL-3-13,2,Diploria labrinthiformis,7,20240723,220,32.5,230,20241016,0.635,
MD-1-14,2,Madracis decactis,5,20240806,205,21.5,210,20241016,0.64,
MD-1-20,1,Madracis decactis,3,20240723,100,23.5,105,20241016,0.64,
MD-5-22,1,Madracis decactis,3,20240815,100,32.5,119,20241016,0.626,
MD-4-23,2,Madracis decactis,6,20240806,110,25,115,20241016,0.64,
DL-2-10,2,Diploria labrinthiformis,6,20240815,110,25,120,20241016,0.635,
MD-4-27,extra,Madracis decactis,5,20240815,100,30,110,20241017,0.635,
DL-1-15,2,Diploria labrinthiformis,2,20240723,100,27.5,119,20241017,0.626,
DL-3-14,1,Diploria labrinthiformis,5,20240815,100,28,115,20241017,0.63,
MD-4-7,1,Madracis decactis,6,20240815,100,37.5,110,20241017,0.635,
DL-2-21,1,Diploria labrinthiformis,3,20240723,100,30,115,20241017,0.63,
MD-4-1,1,Madracis decactis,4,20240723,100,29,105,20241017,0.64,
MD-2-2,2,Madracis decactis,2,20240806,100,21,102,20241017,0.643,
DL-1-6,2,Diploria labrinthiformis,3,20240815,110,25,120,20241017,0.635,
DL-3-30,extra,Diploria labrinthiformis,5,20240815,110,20,120,20241017,0.635,spilled some before I could record the orginal value 
MD-4-35,extra,Madracis decactis,3,20240815,100,42,106,20241017,0.639,
DL-3-6,1,Diploria labrinthiformis,4,20240723,100,95,113,20241017,0.632,
DL-4-17,2,Diploria labrinthiformis,2,20240815,100,37,130,20241017,0.615,
DL-3-11,1,Diploria labrinthiformis,3,20240815,110,50,125,20241017,0.63,
DL-2-4,2,Diploria labrinthiformis,4,20240815,110,21,111,20241017,0.644,
MD-1-5,2,Madracis decactis,7,20240723,100,25,110,20241018,0.635,
DL-1-28,extra,Diploria labrinthiformis,3,20240815,100,27.5,119,20241018,0.626,
MD-4-22,1,Madracis decactis,3,20240815,100,25,109,20241018,0.636,
MD-1-8,1,Madracis decactis,3,20240806,100,25,105,20241018,0.64,
MD-4-10,1,Madracis decactis,4,20240815,110,26,120,20241018,0.635,
DL-1-17,2,Diploria labrinthiformis,2,20240815,110,26,130,20241018,0.625,
DL-2-24,1,Diploria labrinthiformis,7,20240815,100,28.5,119,20241018,0.626,
DL-2-26,1,Diploria labrinthiformis,5,20240815,100,27.5,111,20241018,0.634,
MD-1-2,1,Madracis decactis,4,20240806,100,27,109,20241018,0.636,
MD-4-26,2,Madracis decactis,5,20240815,100,27.5,115,20241018,0.63,
DL-1-19,2,Diploria labrinthiformis,4,20240815,110,25,104,20241018,0.651,
MD-1-16,1,Madracis decactis,6,20240815,100,25,110,20241018,0.635,
DL-3-19,2,Diploria labrinthiformis,4,20240815,100,25,112,20241018,0.633,
MD-5-2,2,Madracis decactis,acclimation,20240709,100,25,105,20241018,0.64,
DL-4-1,1,Diploria labrinthiformis,4,20240815,100,27,135,20241018,0.61,
DL-2-19,1,Diploria labrinthiformis,2,20240815,100,26,110,20241018,0.635,
DL-4-22,1,Diploria labrinthiformis,3,20240815,100,28,120,20241018,0.625,
MD-2-18,2,Madracis decactis,5,20240815,100,25,102,20241018,0.643,
MD-4-2,1,Madracis decactis,5,20240815,100,25,110,20241018,0.635,
MD-4-24,2,Madracis decactis,3,20240815,100,25,102,20241018,0.643,
DL-3-9,2,Diploria labrinthiformis,2,20240815,100,25,101,20241018,0.644,
DL-4-24,1,Diploria labrinthiformis,2,20240815,100,27.5,128,20241019,0.617,
DL-2-3,2,Diploria labrinthiformis,3,20240815,100,26,110,20241019,0.635,
MD-2-35,extra,Madracis decactis,2,20240815,100,25,110,20241022,0.635,
DL-3-8,2,Diploria labrinthiformis,3,20240815,100,25,111,20241022,0.634,
DL-2-22,1,Diploria labrinthiformis,7,20240806,100,27.5,110,20241022,0.635,
MD-2-21,1,Madracis decactis,3,20240815,110,25,115,20241022,0.64,
DL-1-16,1,Diploria labrinthiformis,2,20240815,100,27.5,120,20241022,0.625,
DL-1-30,extra,Diploria labrinthiformis,3,20240815,100,34,115,20241022,0.63,
DL-2-20,1,Diploria labrinthiformis,3,20240815,110,26,120,20241022,0.635,
DL-2-31,extra,Diploria labrinthiformis,3,20240815,100,26,112,20241022,0.633,
MD-2-7,1,Madracis decactis,7,20240815,100,25,109,20241022,0.636,
DL-4-33,extra,Diploria labrinthiformis,3,20240815,100,32.5,119,20241022,0.626,
DL-2-13,1,Diploria labrinthiformis,6,20240815,100,26.5,138,20241022,0.607,
DL-4-25,1,Diploria labrinthiformis,7,20240815,100,30,115,20241023,0.63,
DL-1-11,1,Diploria labrinthiformis,7,20240815,100,27.5,112,20241023,0.633,
MD-5-17,1,Madracis decactis,2,20240815,100,25,104,20241023,0.641,
DL-3-18,1,Diploria labrinthiformis,2,20240815,100,31,109,20241023,0.636,
MD-2-20,2,Madracis decactis,2,20240815,100,22.5,109,20241023,0.636,
MD-5-3,2,Madracis decactis,3,20240815,100,28.5,120,20241023,0.625,
MD-2-17,2,Madracis decactis,3,20240815,100,25,109,20241023,0.636,
MD-1-31,extra,Madracis decactis,2,20240815,100,25,105,20241023,0.64,
MD-1-24,2,Madracis decactis,5,20240815,100,27,110,20241023,0.635,
MD-2-32,extra,Madracis decactis,3,20240815,100,26.5,105,20241023,0.64,
MD-2-19,2,Madracis decactis,4,20240815,100,27,110,20241023,0.635,
DL-2-8,2,Diploria labrinthiformis,2,20240815,100,25,109,20241023,0.636,
MD-1-13,1,Madracis decactis,2,20240815,100,25,105,20241023,0.64,
MD-5-23,1,Madracis decactis,3,20240723,100,7,108,20241024,0.637,
DL-3-1 ,2,Diploria labrinthiformis,5,20240806,100,23,116,20241024,0.629,
DL-3-15,2,Diploria labrinthiformis,5,20240723,100,28,120,20241024,0.625,
MD-5-9,2,Madracis decactis,5,20240815,100,13,110,20241024,0.635,
MD-2-8,2,Madracis decactis,5,20240806,100,20,102,20241025,0.643,
DL-2-11,2,Diploria labrinthiformis,5,20240806,100,20,115,20241025,0.63,
MD-5-24,1,Madracis decactis,5,20240806,100,31,118,20241025,0.627,spilled orginal voloume unknown
DL-2-7,2,Diploria labrinthiformis,4,20240806,100,22,110,20241025,0.635,
DL-1-14,2,Diploria labrinthiformis,5,20240815,100,18,108,20241025,0.637,
DL-3-27,extra,Diploria labrinthiformis,6,20240815,110,23,120,20241025,0.635,
MD-1-22,1,Madracis decactis,7,20240806,100,16,105,20241025,0.64,
MD-4-5,2,Madracis decactis,2,20240806,100,17,110,20241025,0.635,
Dl-3-30,extra,Diploria labrinthiformis,3,20240815,100,24.9,110,20241025,0.635,
MD-4-25,1,Madracis decactis,3,20240806,100,5.5,100.5,20241025,0.6445,
MD-1-4,2,Madracis decactis,2,20240815,100,9,104,20241025,0.641,
MD-5-8,2,Madracis decactis,7,20240723,100,7.5,103,20241025,0.642,
MD-1-10,2,Madracis decactis,3,20240815,100,13.7,109,20241025,0.636,
DL-3-12,1,Diploria labrinthiformis,3,20240723,100,13.5,110,20241025,0.635,
DL-3-2,1,Diploria labrinthiformis,7,20240815,100,17.5,111,20241025,0.634,
MD-2-9,1,Madracis decactis,2,20240815,100,13.5,110,20241025,0.635,
MD-2-16,2,Madracis decactis,acclimation,20240709,100,17,104,20241025,0.641,
MD-1-7,2,Madracis decactis,4,20240815,100,20,112,20241029,0.633,
DL-2-18,1,Diploria labrinthiformis,5,20240806,100,30,110,20241029,0.635,
MD-4-20,2,Madracis decactis,5,20240806,100,15.5,109,20241029,0.636,
MD-2-12,1,Madracis decactis,7,20240806,100,12.5,103,20241029,0.642,
DL-2-17,2,Diploria labrinthiformis,acclimation,20240709,100,25,117,20241029,0.628,
DL-4-13,1,Diploria labrinthiformis,7,20240723,100,33,112,20241029,0.633,
DL-4-10,2,Diploria labrinthiformis,2,20240806,100,30,115,20241029,0.63,
DL-1-18,2,Diploria labrinthiformis,6,20240815,110,26,129,20241029,0.626,
DL-4-5,1,Diploria labrinthiformis,7,20240806,100,30,120,20241029,0.625,
MD-1-6,2,Madracis decactis,6,20240806,100,22.5,110,20241029,0.635,
DL-2-12,2,Diploria labrinthiformis,7,20240723,100,26,120,20241029,0.625,
DL-1-21,2,Diploria labrinthiformis,2,20240806,100,30,111,20241029,0.634,
DL-3-21,1,Diploria labrinthiformis,acclimation,20240709,100,25,118,20241029,0.627,
DL-1-3,2,Diploria labrinthiformis,7,20240723,100,27,119,20241029,0.626,
DL-3-5,2,Diploria labrinthiformis,6,20240806,100,26,105,20241029,0.64,
DL-1-12,1,Diploria labrinthiformis,4,20240723,100,37.5,120,20241029,0.625,
MD-4-6,1,Madracis decactis,6,20240723,103,23,112,20241029,0.636,
DL-4-7,1,Diploria labrinthiformis,4,20240723,100,37.5,120,20241030,0.625,
