Date,sample-id,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Treatment,Chamber.Vol.L,Notes
20240708,DL-1-18,,1,1,1,1,1,27,acclimation,0.6,
20240708,MD-4-1,,1,2,2,1,1,27,acclimation,0.6,
20240708,DL-3-21,,1,3,3,1,1,27,acclimation,0.6,
20240708,MD-1-11,,1,4,4,1,1,27,acclimation,0.6,
20240708,DL-2-8,,2,5,1,1,1,27,acclimation,0.6,
20240708,DL-4-21,,2,6,2,1,1,27,acclimation,0.6,
20240708,MD-5-10,,2,7,3,2,1,27,acclimation,0.6,
20240708,DL-2-4,,2,8,4,2,1,27,acclimation,0.6,
20240708,MD-5-26,,3,9,1,2,1,27,acclimation,0.6,
20240708,MD-2-14,,3,10,2,2,1,27,acclimation,0.6,
20240708,MD-4-18,,3,11,3,2,1,27,acclimation,0.6,
20240708,BLANK-1,,3,12,4,2,1,27,acclimation,0.6,
20240708,DL-1-4,,1,1,1,1,2,27,acclimation,0.6,
20240708,MD-2-7,,1,2,2,1,2,27,acclimation,0.6,
20240708,DL-3-11,,1,3,3,1,2,27,acclimation,0.6,
20240708,DL-4-8,,1,4,4,1,2,27,acclimation,0.6,
20240708,DL-4-6,,2,5,1,1,2,27,acclimation,0.6,
20240708,MD-5-22,,2,6,2,1,2,27,acclimation,0.6,
20240708,MD-5-7,,2,7,3,2,2,27,acclimation,0.6,
20240708,MD-4-13,,2,8,4,2,2,27,acclimation,0.6,
20240708,BLANK-2,,3,9,1,2,2,27,acclimation,0.6,
20240708,DL-3-18,,3,10,2,2,2,27,acclimation,0.6,
20240708,DL-4-26,,3,11,3,2,2,27,acclimation,0.6,
20240708,MD-4-11,,3,12,4,2,2,27,acclimation,0.6,BLANK 1
20240708,BLANK-3,,1,1,1,1,3,27,acclimation,0.6,
20240708,MD-4-6,,1,2,2,1,3,27,acclimation,0.6,
20240708,DL-3-2,,1,3,3,1,3,27,acclimation,0.6,
20240708,DL-4-23,,1,4,4,1,3,27,acclimation,0.6,
