Run,Temp,Tank,Date,Start.time,Stop.time,Light_Percent
1,27,Control,20240722,8:20:40,8:41:12,331
1,27,Control,20240722,8:42:26,9:02:00,0
2,27,Control,20240722,9:36:04,9:56:00,331
2,27,Control,20240722,9:56:59,10:16:09,0
3,27,pH,20240722,11:43:47,12:05:20,331
3,27,pH,20240722,12:06:02,12:29:46,0
4,27,pH,20240722,13:17:01,13:37:03,331
4,27,pH,20240722,13:38:33,13:58:31,0
5,30,Heat,20240722,14:59:12,14:19:27,331
5,30,Heat,20240722,14:22:31,14:42:11,0
6,30,Heat,20240722,16:12:04,16:36:05,331
6,30,Heat,20240722,16:36:49,16:56:13,0
7,27,Control,20240723,9:47:27,10:08:09,331
7,27,Control,20240723,10:14:08,10:34:02,0
8,27,Control,20240723,11:06:44,11:28:52,331
8,27,Control,20240723,11:30:01,12:01:08,0
9,27,pH,20240723,13:04:40,13:24:09,331
9,27,pH,20240723,13:24:47,13:44:58,0
10,27,pH,20240723,14:36:01,14:58:56,331
10,27,pH,20240723,15:01:49,15:21:02,0
11,30,Heat,20240723,16:18:58,16:38:13,331
11,30,Heat,20240723,16:39:08,16:59:07,0
12,30,Heat,20240723,17:21:38,17:41:23,331
12,30,Heat,20240723,17:41:56,18:01:14,0
