Date,sample_id,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Tank,Treatment,Chamber.Vol.L,Notes
202407022,DL_2_18,Diploria labyrinthiformis,1,1,1,1,1,27,4,Control,0.6,
202407022,DL_3_6,Diploria labyrinthiformis,1,2,2,1,1,27,4,Control,0.6,
202407022,DL_5_14,Diploria labyrinthiformis,1,3,3,1,1,27,4,Control,0.6,
202407022,MD_1_3,Madracis decactis,1,4,4,1,1,27,4,Control,0.6,
202407022,MD_1_19,Madracis decactis,2,5,1,1,1,27,4,Control,0.6,
202407022,MD_4_1,Madracis decactis,2,6,2,1,1,27,4,Control,0.6,
202407022,MD_2_22,Madracis decactis,2,7,3,2,1,27,4,Control,0.6,
202407022,MD_4_17,Madracis decactis,2,8,4,2,1,27,4,Control,0.6,
202407022,DL_4_7,Diploria labyrinthiformis,3,9,1,2,1,27,4,Control,0.6,
202407022,MD_4_1,Madracis decactis,3,10,2,2,1,27,4,Control,0.6,
202407022,DL_1_12,Diploria labyrinthiformis,3,11,3,2,1,27,4,Control,0.6,
202407022,BLANK,,3,12,4,2,1,27,4,Control,0.6,
202407022,DL_3_15,Diploria labyrinthiformis,1,1,1,1,2,27,5,Control,0.6,
202407022,DL_1_8,Diploria labyrinthiformis,1,2,2,1,2,27,5,Control,0.6,
202407022,MD_5_5,Madracis decactis,1,3,3,1,2,27,5,Control,0.6,
202407022,DL_4_4,Diploria labyrinthiformis,1,4,4,1,2,27,5,Control,0.6,
202407022,DL_2_9,Diploria labyrinthiformis,2,5,1,1,2,27,5,Control,0.6,
202407022,MD_4_13,Madracis decactis,2,6,2,1,2,27,5,Control,0.6,
202407022,MD_1_19,Madracis decactis,2,7,3,2,2,27,5,Control,0.6,
202407022,DL_2_25,Diploria labyrinthiformis,2,8,4,2,2,27,5,Control,0.6,
202407022,MD_2_5,Madracis decactis,3,9,1,2,2,27,5,Control,0.6,
202407022,MD_5_9,Madracis decactis,3,10,2,2,2,27,5,Control,0.6,
202407022,BLANK,,3,11,3,2,2,27,5,Control,0.6,
202407022,DL_2_26,Diploria labyrinthiformis,3,12,4,2,2,27,5,Control,0.6,
202407022,D_2_21,Diploria labyrinthiformis,1,1,1,1,3,27,2,pH,0.6,
202407022,MD_2_17,Madracis decactis,1,2,2,1,3,27,2,pH,0.6,
202407022,DL_3_11,Diploria labyrinthiformis,1,3,3,1,3,27,2,pH,0.6,
202407022,DL_1_22,Diploria labyrinthiformis,1,4,4,1,3,27,2,pH,0.6,
202407022,MD_2_10,Madracis decactis,2,5,1,1,3,27,2,pH,0.6,
202407022,DL_4_14,Diploria labyrinthiformis,2,6,2,1,3,27,2,pH,0.6,
202407022,DL_1_13,Diploria labyrinthiformis,2,7,3,2,3,27,2,pH,0.6,
202407022,BLANK,,2,8,4,2,3,27,2,pH,0.6,
202407022,DL_4_11,Diploria labyrinthiformis,3,9,1,2,3,27,2,pH,0.6,
202407022,MD_2_23,Madracis decactis,3,10,2,2,3,27,2,pH,0.6,
202407022,MD_1_20,Madracis decactis,3,11,3,2,3,27,2,pH,0.6,
202407022,DL_3_12,Diploria labyrinthiformis,3,12,4,2,3,27,2,pH,0.6,
202407022,DL_2_8,Diploria labyrinthiformis,1,1,1,1,4,27,3,pH,0.6,
202407022,DL_4_24,Diploria labyrinthiformis,1,2,2,1,4,27,3,pH,0.6,
202407022,DL_3_16,Diploria labyrinthiformis,1,3,3,1,4,27,3,pH,0.6,
202407022,DL_4_17,Diploria labyrinthiformis,1,4,4,1,4,27,3,pH,0.6,
202407022,MD_5_25,Madracis decactis,2,5,1,1,4,27,3,pH,0.6,
202407022,DL_1_21,Diploria labyrinthiformis,2,6,2,1,4,27,3,pH,0.6,
202407022,DL_2_19,Diploria labyrinthiformis,2,7,3,2,4,27,3,pH,0.6,
202407022,BLANK,,2,8,4,2,4,27,3,pH,0.6,
202407022,MD_2_25,Madracis decactis,3,9,1,2,4,27,3,pH,0.6,
202407022,MD_4_5,Madracis decactis,3,10,2,2,4,27,3,pH,0.6,
202407022,MD_1_6,Madracis decactis,3,11,3,2,4,27,3,pH,0.6,
202407022,MD_2_20,Madracis decactis,3,12,4,2,4,27,3,pH,0.6,
202407022,DL_4_20,Diploria labyrinthiformis,1,1,1,1,5,27,6,Heat,0.6,
202407022,DL_2_10,Diploria labyrinthiformis,1,2,2,1,5,27,6,Heat,0.6,
202407022,MD_5_11,Madracis decactis,1,3,3,1,5,27,6,Heat,0.6,
202407022,MD_4_23,Madracis decactis,1,4,4,1,5,27,6,Heat,0.6,
202407022,MD_2_3,Madracis decactis,2,5,1,1,5,27,6,Heat,0.6,
202407022,BLANK,,2,6,2,1,5,27,6,Heat,0.6,
202407022,DL_1_18,Diploria labyrinthiformis,2,7,3,2,5,27,6,Heat,0.6,
202407022,MD_1_21,Madracis decactis,2,8,4,2,5,27,6,Heat,0.6,
202407022,MD_3_5,Madracis decactis,3,9,1,2,5,27,6,Heat,0.6,
202407022,MD_1_16,Madracis decactis,3,10,2,2,5,27,6,Heat,0.6,
202407022,DL_1_23,Diploria labyrinthiformis,3,11,3,2,5,27,6,Heat,0.6,
202407022,MD_1_17,Madracis decactis,3,12,4,2,5,27,6,Heat,0.6,
202407022,MD_5_20,Madracis decactis,1,1,1,1,6,27,7,Heat,0.6,
202407022,MD_1_12,Madracis decactis,1,2,2,1,6,27,7,Heat,0.6,
202407022,DL_3_2,Diploria labyrinthiformis,1,3,3,1,6,27,7,Heat,0.6,
202407022,DL_3_10,Diploria labyrinthiformis,1,4,4,1,6,27,7,Heat,0.6,
202407022,DL_2_22,Diploria labyrinthiformis,2,5,1,1,6,27,7,Heat,0.6,
202407022,MD_1_22,Madracis decactis,2,6,2,1,6,27,7,Heat,0.6,
202407022,MD_4_18,Madracis decactis,2,7,3,2,6,27,7,Heat,0.6,
202407022,MD_2_12,Madracis decactis,2,8,4,2,6,27,7,Heat,0.6,
202407022,DL_4_19,Diploria labyrinthiformis,3,9,1,2,6,27,7,Heat,0.6,
202407022,DL_1_3,Diploria labyrinthiformis,3,10,2,2,6,27,7,Heat,0.6,
202407022,BLANK,,3,11,3,2,6,27,7,Heat,0.6,
202407022,MD_5_10,Madracis decactis,3,12,4,2,6,27,7,Heat,0.6,
202407023,MD_2_15,Madracis decactis,1,1,1,1,7,27,4,Control,0.6,
202407023,BLANK,,1,2,2,1,7,27,4,Control,0.6,
202407023,DL_2_14,Diploria labyrinthiformis,1,3,3,1,7,27,4,Control,0.6,
202407023,DL_1_12,Diploria labyrinthiformis,1,4,4,1,7,27,4,Control,0.6,
202407023,MD_2_24,Madracis decactis,2,5,1,1,7,27,4,Control,0.6,
202407023,DL_3_19,Diploria labyrinthiformis,2,6,2,1,7,27,4,Control,0.6,
202407023,MD_5_24,Madracis decactis,2,7,3,2,7,27,4,Control,0.6,
202407023,MD_4_19,Madracis decactis,2,8,4,2,7,27,4,Control,0.6,
202407023,DL_1_7,Diploria labyrinthiformis,3,9,1,2,7,27,4,Control,0.6,
202407023,DL_4_18,Diploria labyrinthiformis,3,10,2,2,7,27,4,Control,0.6,
202407023,MD_1_2,Madracis decactis,3,11,3,2,7,27,4,Control,0.6,
202407023,MD_4_10,Madracis decactis,3,12,4,2,7,27,4,Control,0.6,
202407023,DL_3_24,Diploria labyrinthiformis,1,1,1,1,8,27,5,Control,0.6,BATTERIES START TO SLOW DOWN
202407023,MD_2_8,Madracis decactis,1,2,2,1,8,27,5,Control,0.6,
202407023,MD_1_24,Madracis decactis,1,3,3,1,8,27,5,Control,0.6,
202407023,DL_4_3,Diploria labyrinthiformis,1,4,4,1,8,27,5,Control,0.6,
202407023,DL_1_24,Diploria labyrinthiformis,2,5,1,1,8,27,5,Control,0.6,
202407023,MD_5_21,Madracis decactis,2,6,2,1,8,27,5,Control,0.6,
202407023,MD_2_6,Madracis decactis,2,7,3,2,8,27,5,Control,0.6,
202407023,MD_4_2,Madracis decactis,2,8,4,2,8,27,5,Control,0.6,
202407023,DL_4_21,Diploria labyrinthiformis,3,9,1,2,8,27,5,Control,0.6,Data added to DL_1_7 file
202407023,DL_2_11,Diploria labyrinthiformis,3,10,2,2,8,27,5,Control,0.6,
