"","fragment_ID","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-10",-0.612226727956748,"Control","1","DL","TP1","Resp"
"2","DL-1-10",-0.612226727956748,"Control","1","DL","TP1","Resp"
"3","DL-1-14",-0.312886982628917,"Control","1","DL","TP1","Resp"
"4","DL-1-15",-0.284152107986867,"pH","1","DL","TP1","Resp"
"5","DL-1-16",-0.550106867695736,"pH","1","DL","TP1","Resp"
"6","DL-1-18",-0.128078458839517,"Heat","1","DL","TP1","Resp"
"7","DL-1-18",-0.128078458839517,"Heat","1","DL","TP1","Resp"
"8","DL-1-18",-0.128078458839517,"Heat","1","DL","TP1","Resp"
"9","DL-1-19",-0.474461310594022,"Control","1","DL","TP1","Resp"
"10","DL-1-19",-0.474461310594022,"Control","1","DL","TP1","Resp"
"11","DL-1-20",0.0945310454651416,"Heat","1","DL","TP1","Resp"
"12","DL-1-21",-0.52122719969875,"pH","1","DL","TP1","Resp"
"13","DL-1-21",-0.52122719969875,"pH","1","DL","TP1","Resp"
"14","DL-1-21",-0.52122719969875,"pH","1","DL","TP1","Resp"
"15","DL-1-21",-0.52122719969875,"pH","1","DL","TP1","Resp"
"16","DL-1-21",-0.628749066930846,"pH","1","DL","TP1","Resp"
"17","DL-1-21",-0.628749066930846,"pH","1","DL","TP1","Resp"
"18","DL-1-21",-0.628749066930846,"pH","1","DL","TP1","Resp"
"19","DL-1-21",-0.628749066930846,"pH","1","DL","TP1","Resp"
"20","DL-1-4",-0.544219095492768,"Control","1","DL","TP1","Resp"
"21","DL-1-6",-0.377086383135394,"pH","1","DL","TP1","Resp"
"22","DL-1-9",-0.572370903765149,"Heat","1","DL","TP1","Resp"
"23","DL-2-1",-0.501233155669456,"pH","2","DL","TP1","Resp"
"24","DL-2-10",-0.463717316579099,"Heat","2","DL","TP1","Resp"
"25","DL-2-10",-0.463717316579099,"Heat","2","DL","TP1","Resp"
"26","DL-2-10",-0.463717316579099,"Heat","2","DL","TP1","Resp"
"27","DL-2-13",-0.403259003489361,"Heat","2","DL","TP1","Resp"
"28","DL-2-13",-0.403259003489361,"Heat","2","DL","TP1","Resp"
"29","DL-2-14",-0.551556550584813,"Control","2","DL","TP1","Resp"
"30","DL-2-14",-0.551556550584813,"Control","2","DL","TP1","Resp"
"31","DL-2-15",-0.787835523699394,"Heat","2","DL","TP1","Resp"
"32","DL-2-16",-0.354939610869783,"pH","2","DL","TP1","Resp"
"33","DL-2-18",-0.524643732934491,"Control","2","DL","TP1","Resp"
"34","DL-2-18",-0.524643732934491,"Control","2","DL","TP1","Resp"
"35","DL-2-19",-0.425639358288736,"pH","2","DL","TP1","Resp"
"36","DL-2-19",-0.425639358288736,"pH","2","DL","TP1","Resp"
"37","DL-2-19",-0.425639358288736,"pH","2","DL","TP1","Resp"
"38","DL-2-2",-0.0101204941914102,"Control","2","DL","TP1","Resp"
"39","DL-2-20",-0.462429529991219,"pH","2","DL","TP1","Resp"
"40","DL-2-20",-0.462429529991219,"pH","2","DL","TP1","Resp"
"41","DL-2-21",-0.603504474692352,"pH","2","DL","TP1","Resp"
"42","DL-2-21",-0.603504474692352,"pH","2","DL","TP1","Resp"
"43","DL-2-22",-0.444176516887595,"Heat","2","DL","TP1","Resp"
"44","DL-2-22",-0.444176516887595,"Heat","2","DL","TP1","Resp"
"45","DL-2-22",-0.444176516887595,"Heat","2","DL","TP1","Resp"
"46","DL-2-3",-0.420295414509715,"pH","2","DL","TP1","Resp"
"47","DL-2-3",-0.420295414509715,"pH","2","DL","TP1","Resp"
"48","DL-2-4",-0.590053641669666,"Control","2","DL","TP1","Resp"
"49","DL-2-7",-0.472640426082458,"Heat","2","DL","TP1","Resp"
"50","DL-2-8",-0.400034623242559,"pH","2","DL","TP1","Resp"
"51","DL-2-8",-0.400034623242559,"pH","2","DL","TP1","Resp"
"52","DL-2-8",-0.400034623242559,"pH","2","DL","TP1","Resp"
"53","DL-2-9",-0.408235352376804,"Control","2","DL","TP1","Resp"
"54","DL-2-9",-0.408235352376804,"Control","2","DL","TP1","Resp"
"55","DL-3-10",-0.346877198695901,"Heat","3","DL","TP1","Resp"
"56","DL-3-10",-0.346877198695901,"Heat","3","DL","TP1","Resp"
"57","DL-3-10",-0.346877198695901,"Heat","3","DL","TP1","Resp"
"58","DL-3-11",-0.548911914476497,"pH","3","DL","TP1","Resp"
"59","DL-3-11",-0.548911914476497,"pH","3","DL","TP1","Resp"
"60","DL-3-14",-0.344394071311647,"Control","3","DL","TP1","Resp"
"61","DL-3-16",-0.517400293480929,"pH","3","DL","TP1","Resp"
"62","DL-3-16",-0.517400293480929,"pH","3","DL","TP1","Resp"
"63","DL-3-16",-0.517400293480929,"pH","3","DL","TP1","Resp"
"64","DL-3-17",-0.455995636363632,"pH","3","DL","TP1","Resp"
"65","DL-3-17",-0.455995636363632,"pH","3","DL","TP1","Resp"
"66","DL-3-22",0.0174737063297288,"Heat","3","DL","TP1","Resp"
"67","DL-3-24",-0.597074346325343,"Control","3","DL","TP1","Resp"
"68","DL-3-24",-0.597074346325343,"Control","3","DL","TP1","Resp"
"69","DL-3-25",-0.394907404125263,"pH","3","DL","TP1","Resp"
"70","DL-3-26",-0.225493302250747,"Heat","3","DL","TP1","Resp"
"71","DL-3-4",-0.380225661810748,"Control","3","DL","TP1","Resp"
"72","DL-3-9",-0.396838687333909,"pH","3","DL","TP1","Resp"
"73","DL-4-1",-1.09320910745187,"Control","4","DL","TP1","Resp"
"74","DL-4-1",-1.09320910745187,"Control","4","DL","TP1","Resp"
"75","DL-4-12",-0.597545842760799,"pH","4","DL","TP1","Resp"
"76","DL-4-17",-0.930851449438765,"pH","4","DL","TP1","Resp"
"77","DL-4-17",-0.930851449438765,"pH","4","DL","TP1","Resp"
"78","DL-4-17",-0.930851449438765,"pH","4","DL","TP1","Resp"
"79","DL-4-17",-0.930851449438765,"pH","4","DL","TP1","Resp"
"80","DL-4-17",-1.03837331667086,"pH","4","DL","TP1","Resp"
"81","DL-4-17",-1.03837331667086,"pH","4","DL","TP1","Resp"
