Date,sample_id,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Treatment,Chamber.Vol.L,Notes
20240708,DL_1_18,,1,1,1,1,1,27,acclimation,0.6,
20240708,MD_4_1,,1,2,2,1,1,27,acclimation,0.6,
20240708,DL_3_21,,1,3,3,1,1,27,acclimation,0.6,
20240708,MD_1_11,,1,4,4,1,1,27,acclimation,0.6,
20240708,DL_2_8,,2,5,1,1,1,27,acclimation,0.6,
20240708,DL_4_21,,2,6,2,1,1,27,acclimation,0.6,
20240708,MD_5_10,,2,7,3,2,1,27,acclimation,0.6,
20240708,DL_2_4,,2,8,4,2,1,27,acclimation,0.6,
20240708,MD_5_26,,3,9,1,2,1,27,acclimation,0.6,
20240708,MD_2_14,,3,10,2,2,1,27,acclimation,0.6,
20240708,MD_4_18,,3,11,3,2,1,27,acclimation,0.6,
20240708,BLANK_1,,3,12,4,2,1,27,acclimation,0.6,
20240708,DL_1_4,,1,1,1,1,2,27,acclimation,0.6,
20240708,MD_2_7,,1,2,2,1,2,27,acclimation,0.6,
20240708,DL_3_11,,1,3,3,1,2,27,acclimation,0.6,
20240708,DL_4_8,,1,4,4,1,2,27,acclimation,0.6,
20240708,DL_4_6,,2,5,1,1,2,27,acclimation,0.6,
20240708,MD_5_22,,2,6,2,1,2,27,acclimation,0.6,
20240708,MD_5_7,,2,7,3,2,2,27,acclimation,0.6,
20240708,MD_4_13,,2,8,4,2,2,27,acclimation,0.6,
20240708,BLANK_2,,3,9,1,2,2,27,acclimation,0.6,
20240708,DL_3_18,,3,10,2,2,2,27,acclimation,0.6,
20240708,DL_4_26,,3,11,3,2,2,27,acclimation,0.6,
20240708,MD_4_11,,3,12,4,2,2,27,acclimation,0.6,BLANK 1
20240708,BLANK_3,,1,1,1,1,3,27,acclimation,0.6,
20240708,MD_4_6,,1,2,2,1,3,27,acclimation,0.6,
20240708,DL_3_2 ,,1,3,3,1,3,27,acclimation,0.6,
20240708,DL_4_23,,1,4,4,1,3,27,acclimation,0.6,
