Date_Processed,well,Fragment_ID
20240115,A1,DL-3-2
20240115,A2,DL-3-21
20240115,A3,DL-4-26
20240115,A4,DL-3-5
20240115,A5,BLK
20240115,A7,MD-2-12
20240115,A9,DL-3-17
20240115,A10,MD-1-4
20240115,A11,MD-1-7
20240115,A12,MD-4-6
20240115,B1,MD-4-5
20240115,B2,DL-1-21
20240115,B3,DL-3-15
20240115,B5,DL-1-3
20240115,B6,MD-2-8
20240115,B8,MD-2-9
20240115,B11,MD-5-24
20240115,B12,BLK
20240115,C1,BLK
20240115,C2,DL-1-12
20240115,C3,MD-1-6
20240115,C4,MD-5-8
20240115,C5,MD-4-4
20240115,C8,DL-2-12
20240115,C12,DL-4-11
20240115,D1,MD-1-4
20240115,D2,DL-1-7
20240115,D3,BLK
20240115,D4,MD-2-15
20240115,D7,MD-2-11
20240115,D10,MD-4-15
20240115,D12,DL-1-14
20240115,E1,MD-5-24
20240115,E2,MD-5-9
20240115,E3,DL-4-7
20240115,E4,DL-4-5
20240115,E5,MD-4-15
20240115,E8,MD-1-6
20240115,E9,BLK
20240115,F1,DL-1-14
20240115,F2,MD-5-8
20240115,F4,MD-2-9
20240115,F5,MD-2-8
20240115,F7,BLK
20240115,F8,MD-2-15
20240115,F9,DL-3-5
20240115,F10,MD-4-4
20240115,F11,DL-3-15
20240115,F12,DL-3-21
20240115,G1,MD-4-6
20240115,G2,BLK
20240115,G3,MD-1-7
20240115,G6,DL-4-11
20240115,G8,DL-1-12
20240115,G9,DL-1-21
20240115,G10,MD-5-9
20240115,G11,DL-1-3
20240115,G12,DL-1-7
20240115,H1,MD-2-11
20240115,H2,DL-2-12
20240115,H3,MD-2-12
20240115,H4,DL-3-17
20240115,H7,DL-4-26
20240115,H8,DL-4-5
20240115,H9,DL-3-2
20240115,H10,DL-4-7
20240115,H11,BLK
20240115,H12,MD-4-5
