,,,,,,,,,,,,,,
Software Version,3.16.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\synergy\Desktop\FFields\Encore_Priming_Chl_run4.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\KW_Chlorophyll.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,1/17/2025,,,,,,,,,,,,,
Time,1:32:35 PM,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,18041123,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Chl,,,,,,,,,,,,,
,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,"Wavelengths:  630, 663, 750",,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,19.6,,,,,,,,,,,,,
Actual Temperature:,19.6,,,,,,,,,,,,,
Actual Temperature:,19.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.05,0.04,0.031,0.038,0.032,0.028,0.028,0.028,0.044,0.042,0.028,0.03,Chl:630
,,0.114,0.073,0.039,0.067,0.048,0.028,0.028,0.028,0.091,0.076,0.028,0.03,Chl:663
,,0.028,0.029,0.029,0.03,0.029,0.028,0.029,0.028,0.029,0.031,0.028,0.03,Chl:750
,B,0.047,0.033,0.028,0.028,0.028,0.036,0.028,0.037,0.028,0.028,0.036,0.036,Chl:630
,,0.1,0.043,0.028,0.028,0.028,0.063,0.028,0.06,0.028,0.028,0.061,0.048,Chl:663
,,0.029,0.03,0.028,0.028,0.028,0.029,0.028,0.029,0.029,0.028,0.029,0.03,Chl:750
,C,0.027,0.032,0.028,0.043,0.028,0.028,0.042,0.028,0.03,0.029,0.041,0.046,Chl:630
,,0.027,0.047,0.028,0.081,0.028,0.028,0.082,0.028,0.037,0.029,0.073,0.095,Chl:663
,,0.028,0.029,0.028,0.03,0.028,0.028,0.029,0.028,0.028,0.029,0.03,0.031,Chl:750
,D,0.038,0.028,0.042,0.028,0.031,0.028,0.028,0.028,0.04,0.028,0.041,0.029,Chl:630
,,0.066,0.028,0.084,0.028,0.037,0.028,0.028,0.028,0.072,0.028,0.073,0.029,Chl:663
,,0.029,0.028,0.029,0.028,0.03,0.028,0.028,0.028,0.03,0.028,0.031,0.03,Chl:750
,E,0.039,0.028,0.045,0.033,0.042,0.029,0.028,0.033,0.028,0.029,0.029,0.042,Chl:630
,,0.076,0.028,0.091,0.046,0.072,0.029,0.028,0.042,0.028,0.029,0.028,0.074,Chl:663
,,0.029,0.028,0.033,0.029,0.03,0.029,0.028,0.03,0.028,0.029,0.028,0.03,Chl:750
,F,0.033,0.037,0.029,0.029,0.032,0.036,0.028,0.028,0.032,0.037,0.029,0.028,Chl:630
,,0.045,0.059,0.029,0.028,0.038,0.06,0.028,0.028,0.038,0.068,0.029,0.028,Chl:663
,,0.029,0.03,0.029,0.029,0.03,0.03,0.028,0.029,0.031,0.03,0.029,0.028,Chl:750
,G,0.037,0.028,0.037,0.028,0.029,0.029,0.029,0.042,0.039,0.029,0.03,0.053,Chl:630
,,0.066,0.028,0.067,0.028,0.029,0.028,0.029,0.083,0.068,0.029,0.03,0.123,Chl:663
,,0.028,0.028,0.028,0.028,0.029,0.028,0.029,0.03,0.029,0.029,0.03,0.03,Chl:750
,H,0.038,0.028,0.045,0.03,0.028,0.028,0.041,0.028,0.037,0.033,0.05,0.033,Chl:630
,,0.068,0.028,0.088,0.03,0.028,0.028,0.076,0.028,0.069,0.041,0.107,0.049,Chl:663
,,0.028,0.028,0.029,0.03,0.028,0.028,0.03,0.028,0.029,0.03,0.03,0.029,Chl:750
