Run,Light_Level,Light_Value,Date,Start.time,Stop.time,Light_Percent,,,
1,1,0,20240627,13:36,13:46,0,,,
1,2,123,20240627,13:48,13:58,10,,,
1,3,184,20240627,13:59,14:09,20,,,
1,4,208,20240627,14:10,14:20,30,,,
1,5,272,20240627,14:21,14:31,40,,,
1,6,299,20240627,14:32,14:42,50,,,
1,7,331,20240627,14:43,14:53,60,,,
1,8,354,20240627,14:54,15:04,70,,,
1,9,391,20240627,15:05,15:15,80,,,
1,10,402,20240627,15:16,15:26,90,,,
1,11,425,20240627,15:26,15:36,100,,,
2,1,0,20240627,16:17,16:27,0,,,
2,2,123,20240627,16:28,16:38,10,,,
2,3,184,20240627,16:39,16:49,20,,,
2,4,208,20240627,16:50:00,17:00:00,30,,,
2,5,272,20240627,17:01:00,17:11,40,,,
2,6,299,20240627,17:12,17:23,50,,,
2,7,331,20240627,17:24,17:34,60,,,
2,8,354,20240627,17:35,17:45,70,,,
2,9,391,20240627,17:46,17:57,80,,,
2,10,402,20240627,17:58,18:08,90,,, 
2,11,425,20240627,18:09,18:12,100,,,
