PreSens Measurement Studio 2,4.0.0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
6/27/2024,13:36:41,2,default,211268100,6,72.366,min,270.646,μmol/L,Humid,25.672,deg,38152,µV,27.041,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33664.65,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:42,2,default,211268100,6,72.383,min,270.965,μmol/L,Humid,25.654,deg,38145,µV,27.059,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33660.45,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:43,2,default,211268100,6,72.4,min,270.832,μmol/L,Humid,25.661,deg,38150,µV,27.053,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33651.98,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:44,2,default,211268100,6,72.416,min,270.939,μmol/L,Humid,25.657,deg,38155,µV,27.053,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33655.68,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:45,2,default,211268100,6,72.433,min,270.832,μmol/L,Humid,25.661,deg,38156,µV,27.053,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33650.92,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:46,2,default,211268100,6,72.45,min,270.643,μmol/L,Humid,25.666,deg,38155,µV,27.059,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33657.77,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:47,2,default,211268100,6,72.467,min,270.455,μmol/L,Humid,25.671,deg,38153,µV,27.065,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33653.42,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:48,2,default,211268100,6,72.483,min,270.509,μmol/L,Humid,25.671,deg,38147,µV,27.059,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33654.07,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:49,2,default,211268100,6,72.5,min,270.697,μmol/L,Humid,25.664,deg,38157,µV,27.059,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33657.38,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:50,2,default,211268100,6,72.517,min,270.697,μmol/L,Humid,25.664,deg,38153,µV,27.059,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33651.93,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:51,2,default,211268100,6,72.533,min,270.401,μmol/L,Humid,25.673,deg,38152,µV,27.065,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33652.06,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:52,2,default,211268100,6,72.55,min,270.803,μmol/L,Humid,25.656,deg,38158,µV,27.071,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33655.95,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:53,2,default,211268100,6,72.567,min,270.67,μmol/L,Humid,25.665,deg,38151,µV,27.059,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33656.73,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:54,2,default,211268100,6,72.583,min,270.778,μmol/L,Humid,25.661,deg,38148,µV,27.059,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33656.37,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:55,2,default,211268100,6,72.6,min,270.348,μmol/L,Humid,25.675,deg,38156,µV,27.065,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33652.74,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:56,2,default,211268100,6,72.617,min,270.806,μmol/L,Humid,25.664,deg,38159,µV,27.047,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33656.2,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:57,2,default,211268100,6,72.633,min,270.617,μmol/L,Humid,25.667,deg,38151,µV,27.059,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33652.19,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:58,2,default,211268100,6,72.65,min,270.859,μmol/L,Humid,25.66,deg,38164,µV,27.053,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33654.31,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:59,2,default,211268100,6,72.667,min,270.778,μmol/L,Humid,25.663,deg,38160,µV,27.053,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33652.33,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:37:00,2,default,211268100,6,72.683,min,270.613,μmol/L,Humid,25.659,deg,38167,µV,27.084,°C,1019,hPa,0,pmil,0,59.41,deg,20,°C,100,%a.s.,26.96,deg,24.099,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5.5,0,2500,33657.03,SADD0002000337 Box 2,ABF1.0.0.0,4.0.0.2353,PSt3,221014-041,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
