PreSens Measurement Studio 2,4.0.0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
6/27/2024,13:36:48,3,default,209678370,3,71.1,min,212,μmol/L,Humid,25.782,deg,34895,µV,27,°C,1019,hPa,38.6,pmil,0,59.86,deg,20,°C,100,%a.s.,26.88,deg,24.218,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,4,0,2500,31614.57,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-003,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:49,3,default,209678370,3,71.116,min,212.091,μmol/L,Humid,25.778,deg,34892,µV,27,°C,1020,hPa,38.6,pmil,0,59.86,deg,20,°C,100,%a.s.,26.88,deg,24.218,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,4,0,2500,31614.21,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-003,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:50,3,default,209678370,3,71.133,min,212.112,μmol/L,Humid,25.777,deg,34898,µV,27,°C,1020,hPa,38.6,pmil,0,59.86,deg,20,°C,100,%a.s.,26.88,deg,24.218,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,4,0,2500,31615.39,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-003,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:51,3,default,209678370,3,71.15,min,211.882,μmol/L,Humid,25.788,deg,34905,µV,27,°C,1020,hPa,38.6,pmil,0,59.86,deg,20,°C,100,%a.s.,26.88,deg,24.218,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,4,0,2500,31616.69,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-003,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:52,3,default,209678370,3,71.166,min,212.133,μmol/L,Humid,25.776,deg,34902,µV,27,°C,1020,hPa,38.6,pmil,0,59.86,deg,20,°C,100,%a.s.,26.88,deg,24.218,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,4,0,2500,31619.15,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-003,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:53,3,default,209678370,3,71.183,min,212.133,μmol/L,Humid,25.776,deg,34905,µV,27,°C,1020,hPa,38.6,pmil,0,59.86,deg,20,°C,100,%a.s.,26.88,deg,24.218,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,4,0,2500,31618.07,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-003,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:54,3,default,209678370,3,71.2,min,211.924,μmol/L,Humid,25.786,deg,34903,µV,27,°C,1020,hPa,38.6,pmil,0,59.86,deg,20,°C,100,%a.s.,26.88,deg,24.218,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,4,0,2500,31616.12,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-003,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:55,3,default,209678370,3,71.216,min,212.05,μmol/L,Humid,25.78,deg,34903,µV,27,°C,1020,hPa,38.6,pmil,0,59.86,deg,20,°C,100,%a.s.,26.88,deg,24.218,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,4,0,2500,31617.42,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-003,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:56,3,default,209678370,3,71.233,min,212.301,μmol/L,Humid,25.768,deg,34906,µV,27,°C,1020,hPa,38.6,pmil,0,59.86,deg,20,°C,100,%a.s.,26.88,deg,24.218,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,4,0,2500,31615.86,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-003,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:57,3,default,209678370,3,71.25,min,211.694,μmol/L,Humid,25.797,deg,34907,µV,27,°C,1020,hPa,38.6,pmil,0,59.86,deg,20,°C,100,%a.s.,26.88,deg,24.218,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,4,0,2500,31618.87,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-003,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
