PreSens Measurement Studio 2,4.0.0.2353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit,Cal0_Amplitude,Cal0_Amplitude_Unit,Cal2nd_Amplitude,Cal2nd_Amplitude_Unit
6/27/2024,13:36:49,4,default,156162117,4,71.066,min,213.835,μmol/L,Humid,25.649,deg,20921,µV,27,°C,1020,hPa,38.6,pmil,0,59.72,deg,20,°C,100,%a.s.,26.86,deg,24.044,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5,0,2500,37148.66,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-006,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:50,4,default,156162117,4,71.083,min,214.28,μmol/L,Humid,25.628,deg,20926,µV,27,°C,1020,hPa,38.6,pmil,0,59.72,deg,20,°C,100,%a.s.,26.86,deg,24.044,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5,0,2500,37150,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-006,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:51,4,default,156162117,4,71.1,min,213.877,μmol/L,Humid,25.647,deg,20927,µV,27,°C,1020,hPa,38.6,pmil,0,59.72,deg,20,°C,100,%a.s.,26.86,deg,24.044,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5,0,2500,37148.18,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-006,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:52,4,default,156162117,4,71.116,min,214.047,μmol/L,Humid,25.639,deg,20928,µV,27,°C,1020,hPa,38.6,pmil,0,59.72,deg,20,°C,100,%a.s.,26.86,deg,24.044,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5,0,2500,37145.96,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-006,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:53,4,default,156162117,4,71.133,min,213.518,μmol/L,Humid,25.664,deg,20927,µV,27,°C,1020,hPa,38.6,pmil,0,59.72,deg,20,°C,100,%a.s.,26.86,deg,24.044,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5,0,2500,37150.02,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-006,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:54,4,default,156162117,4,71.15,min,213.983,μmol/L,Humid,25.642,deg,20926,µV,27,°C,1020,hPa,38.6,pmil,0,59.72,deg,20,°C,100,%a.s.,26.86,deg,24.044,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5,0,2500,37146.83,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-006,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:55,4,default,156162117,4,71.166,min,213.962,μmol/L,Humid,25.643,deg,20925,µV,27,°C,1020,hPa,38.6,pmil,0,59.72,deg,20,°C,100,%a.s.,26.86,deg,24.044,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5,0,2500,37144.88,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-006,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:56,4,default,156162117,4,71.183,min,213.814,μmol/L,Humid,25.65,deg,20933,µV,27,°C,1020,hPa,38.6,pmil,0,59.72,deg,20,°C,100,%a.s.,26.86,deg,24.044,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5,0,2500,37149.05,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-006,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:57,4,default,156162117,4,71.2,min,213.835,μmol/L,Humid,25.649,deg,20923,µV,27,°C,1020,hPa,38.6,pmil,0,59.72,deg,20,°C,100,%a.s.,26.86,deg,24.044,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5,0,2500,37142.64,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-006,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
6/27/2024,13:36:58,4,default,156162117,4,71.216,min,214.005,μmol/L,Humid,25.641,deg,20933,µV,27,°C,1020,hPa,38.6,pmil,0,59.72,deg,20,°C,100,%a.s.,26.86,deg,24.044,°C,1018,hPa,0.808,-0.065,0.00038,-0.00034,0,31,Humid,5,0,2500,37147.39,SADD0002000339 Box 1,ABF1.0.0.0,4.0.0.2353,PSt3,221014-006,6/4/2024 13:58,2200-00,0,no battery,V,,µV,,µV
