Date,Species,colony_id,File Name,Treatment,Area_cm,Mean,Min,Max,Notes
6/27/2024,mdec,md_1_8,,Control,6.86,55.774,12,246,
6/27/2024,dlab,dl_1_13,,Control,19.838,58.94,10,229,
6/27/2024,mcav,mc_1_7,,Control,8.38,42.331,14,252,
6/27/2024,mdec,md_2_33,,Control,4.004,37.146,7,253,
6/27/2024,dlab,dl_2_7,,Control,14.444,78.072,24,253,
6/27/2024,mdec,md_4_19,,Control,12.196,48.565,2,250,
6/27/2024,dlab,dl_3_1,,Control,16.925,43.769,15,250,
6/27/2024,mcav,mc_2_34,,Control,17.419,52.604,1,255,
6/27/2024,mdec,md_5_2,,Control,4.901,91.414,3,255,
6/27/2024,dlab,dl_4_19,,Control,29.516,55.333,5,254,
