Date,fragment_ID,Species,Chamber.Channel,Position,Bin.ID,Run,Fragment.Number,Temp.Cat,Chamber.Vol.L,Notes
20240627,md_1_8,mdec,1,1,1,1,md_1_8,27,0.6,
20240627,dl_1_13,dlab,2,2,1,1,dl_1_13,27,0.6,
20240627,mc_1_7,mcav,3,3,1,1,mc_1_7,27,0.6,
20240627,md_2_33,mdec,4,4,1,1,md_2_33,27,0.6,
20240627,dl_2_7,dlab,1,5,1,1,dl_2_7,27,0.6,
20240627,blank_1,blank,2,6,1,1,blank_1,27,0.6,
20240627,md_4_19,mdec,1,1,1,2,md_4_19,27,0.6,
20240627,dl_3_1,dlab,2,2,1,2,dl_3_1,27,0.6,
20240627,mc_2_34,mcav,3,3,1,2,mc_2_34,27,0.6,
20240627,md_5_2,mdec,4,4,1,2,md_4_2,27,0.6,
20240627,dl_4_19,dlab,5,5,1,2,dl_4_19,27,0.6,
20240627,blank_2,blank,6,6,1,2,blank_2_O2,27,0.6,
