Run,Temp,Tank,Date,Start.time,Stop.time,Light_Percent,,,
1,27,Acclimation,20240708,7:20:49,7:41:22,7,,,
1,27,Acclimation,20240708,7:42:03,8:03:57,0,,,
2,27,Acclimation,20240708,8:56:52,9:16:15,7,,,
2,27,Acclimation,20240708,9:18:35,9:38,0,,,
3,27,Acclimation,20240708,10:24:23,10:44:22,7,,,
3,27,Acclimation,20240708,10:45:19,11:05:23,0,,,
4,27,Acclimation,20240708,11:55,12:17:50,7,11:31:35,11:51,RAN 20 MINUTES IN DARK THINK IT WAS p
4,27,Acclimation,20240708,12:18:55,12:39:52,0,,,
5,27,Acclimation,20240708,13:22:30,13:43:08,7,,,
5,27,Acclimation,20240708,13:44:10,14:04:46,0,,,
6,27,Acclimation,20240708,14:45:45,15:12:26,7,,,
6,27,Acclimation,20240708,15:13:26,15:33:01,0,,,
7,27,Acclimation,20240708,16:07:42,16:29:19 AM,7,,,
7,27,Acclimation,20240708,16:30:12 AM,16:50:40,0,,,
8,27,Acclimation,20240708,17:58:04,18:18:44,7,,,
8,27,Acclimation,20240708,18:19:27,?,0,,,
9,27,Acclimation,20240708,19:53:22,20:14:33,7,,,
9,27,Acclimation,20240708,20:15:19,20:36:14,0,,,
10,27,Acclimation,20240708,21:06:36,21:26:00,7,,,
10,27,Acclimation,20240708,21:26:45,21:46:00,0,,,
11,,,20240709,,,7,,,
11,,,,,,0,,,
12,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
16,,,,,,,,,
