Date,sample_id,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Tank,Treatment,Chamber.Vol.L,Notes
202407016,DL_3_4,Diploria labyrinthiformis,1,1,1,1,1,27,4,Control,0.6,
202407016,DL_2_14,Diploria labyrinthiformis,1,2,2,1,1,27,4,Control,0.6,
202407016,DL_2_18,Diploria labyrinthiformis,1,3,3,1,1,27,4,Control,0.6,
202407016,MD_4_19,Madracis decactis,1,4,4,1,1,27,4,Control,0.6,
202407016,MD_1_7,Madracis decactis,2,5,1,1,1,27,4,Control,0.6,
202407016,MD_4_10,Madracis decactis,2,6,2,1,1,27,4,Control,0.6,
202407016,DL_5_18,Diploria labyrinthiformis,2,7,3,2,1,27,4,Control,0.6,
202407016,DL_4_1,Diploria labyrinthiformis,2,8,4,2,1,27,4,Control,0.6,
202407016,MD_4_1,Madracis decactis,3,9,1,2,1,27,4,Control,0.6,
202407016,MD_5_14,Madracis decactis,3,10,2,2,1,27,4,Control,0.6,
202407016,BLANK,,3,11,3,2,1,27,4,Control,0.6,
202407016,DL_4_18,Diploria labyrinthiformis,3,12,4,2,1,27,4,Control,0.6,
202407016,MD_1_24,Madracis decactis,1,1,1,1,2,27,5,Control,0.6,
202407016,DL_4_3,Diploria labyrinthiformis,1,2,2,1,2,27,5,Control,0.6,
202407016,DL_4_23,Diploria labyrinthiformis,1,3,3,1,2,27,5,Control,0.6,
202407016,MD_2_5,Madracis decactis,1,4,4,1,2,27,5,Control,0.6,
202407016,DL_2_26,Diploria labyrinthiformis,2,5,1,1,2,27,5,Control,0.6,
202407016,MD_4_20,Madracis decactis,2,6,2,1,2,27,5,Control,0.6,
202407016,BLANK,,2,7,3,2,2,27,5,Control,0.6,
202407016,MD_1_9,Madracis decactis,2,8,4,2,2,27,5,Control,0.6,
202407016,DL_2_11,Diploria labyrinthiformis,3,9,1,2,2,27,5,Control,0.6,
202407016,DL_4_4,Diploria labyrinthiformis,3,10,2,2,2,27,5,Control,0.6,
202407016,MD_4_26,Madracis decactis,3,11,3,2,2,27,5,Control,0.6,
202407016,MD_5_21,Madracis decactis,3,12,4,2,2,27,5,Control,0.6,
202407016,DL_4_17,Diploria labyrinthiformis,1,1,1,1,3,27,2,pH,0.6,
202407016,DL_3_9,Diploria labyrinthiformis,1,2,2,1,3,27,2,pH,0.6,
202407016,MD_5_1 ,Madracis decactis,1,3,3,1,3,27,2,pH,0.6,
202407016,MD_2_20,Madracis decactis,1,4,4,1,3,27,2,pH,0.6,
202407016,MD_5_25,Madracis decactis,2,5,1,1,3,27,2,pH,0.6,
202407016,DL_3_16,Diploria labyrinthiformis,2,6,2,1,3,27,2,pH,0.6,
202407016,DL_2_8,Diploria labyrinthiformis,2,7,3,2,3,27,2,pH,0.6,
202407016,MD_2_9,Madracis decactis,2,8,4,2,3,27,2,pH,0.6,
202407016,MD_2_25,Madracis decactis,3,9,1,2,3,27,2,pH,0.6,
202407016,BLANK,,3,10,2,2,3,27,2,pH,0.6,
202407016,DL_1_21,Diploria labyrinthiformis,3,11,3,2,3,27,2,pH,0.6,
202407016,MD_5_17,Madracis decactis,3,12,4,2,3,27,2,pH,0.6,
202407016,MD_1_18,Madracis decactis,1,1,1,1,4,27,3,pH,0.6,
202407016,MD_4_24,Madracis decactis,1,2,2,1,4,27,3,pH,0.6,
202407016,BLANK,,1,3,3,1,4,27,3,pH,0.6,
202407016,DL_2_20,Diploria labyrinthiformis,1,4,4,1,4,27,3,pH,0.6,
202407016,DL_2_21,Diploria labyrinthiformis,2,5,1,1,4,27,3,pH,0.6,
202407016,DL_3_17,Diploria labyrinthiformis,2,6,2,1,4,27,3,pH,0.6,
202407016,MD_2_17,Madracis decactis,2,7,3,2,4,27,3,pH,0.6,
202407016,DL_4_12,Diploria labyrinthiformis,2,8,4,2,4,27,3,pH,0.6,
202407016,MD_1_8,Madracis decactis,3,9,1,2,4,27,3,pH,0.6,
202407016,MD_5_23,Madracis decactis,3,10,2,2,4,27,3,pH,0.6,
202407016,DL_4_22,Diploria labyrinthiformis,3,11,3,2,4,27,3,pH,0.6,
202407016,DL_2_3,Diploria labyrinthiformis,3,12,4,2,4,27,3,pH,0.6,
202407016,BLANK,,1,1,1,1,5,27,6,Heat,0.6,
202407016,MD_2_4,Madracis decactis,1,2,2,1,5,27,6,Heat,0.6,
202407016,MD_1_15,Madracis decactis,1,3,3,1,5,27,6,Heat,0.6,
202407016,DL_2_13,Diploria labyrinthiformis,1,4,4,1,5,27,6,Heat,0.6,
202407016,MD_5_7,Madracis decactis,2,5,1,1,5,27,6,Heat,0.6,
202407016,MD_5_11,Madracis decactis,2,6,2,1,5,27,6,Heat,0.6,
202407016,DL_2_10,Diploria labyrinthiformis,2,7,3,2,5,27,6,Heat,0.6,
202407016,DL_2_15,Diploria labyrinthiformis,2,8,4,2,5,27,6,Heat,0.6,
202407016,DL_1_9,Diploria labyrinthiformis,3,9,1,2,5,27,6,Heat,0.6,
202407016,MD_2_14,Madracis decactis,3,10,2,2,5,27,6,Heat,0.6,
202407016,MD_4_7,Madracis decactis,3,11,3,2,5,27,6,Heat,0.6,
202407016,DL_2_7,Diploria labyrinthiformis,3,12,4,2,5,27,6,Heat,0.6,
202407016,MD_5_10,Madracis decactis,1,1,1,1,6,27,7,Heat,0.6,
202407016,DL_3_13,Diploria labyrinthiformis,1,2,2,1,6,27,7,Heat,0.6,
202407016,MD_2_12,Madracis decactis,1,3,3,1,6,27,7,Heat,0.6,
202407016,MD_5_20,Madracis decactis,1,4,4,1,6,27,7,Heat,0.6,
202407016,MD_1_12,Madracis decactis,2,5,1,1,6,27,7,Heat,0.6,
