Date,fragment_ID,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Tank,Treatment,Chamber.Vol.L,Notes,
20240722,DL-2-18,Diploria labyrinthiformis,1,1,1,1,1,27,4,Control,0.6,,
20240722,DL-3-6,Diploria labyrinthiformis,1,2,2,1,1,27,4,Control,0.6,,
20240722,MD-5-14,Madracis decactis,1,3,3,1,1,27,4,Control,0.6,,
20240722,MD-1-3,Madracis decactis,1,4,4,1,1,27,4,Control,0.6,,
20240722,DL-1-19,Diploria labyrinthiformis,2,5,1,1,1,27,4,Control,0.6,,
20240722,DL-4-1,Diploria labyrinthiformis,2,6,2,1,1,27,4,Control,0.6,,
20240722,MD-2-22,Madracis decactis,2,7,3,2,1,27,4,Control,0.6,,
20240722,MD-4-17,Madracis decactis,2,8,4,2,1,27,4,Control,0.6,,
20240722,DL-4-7,Diploria labyrinthiformis,3,9,1,2,1,27,4,Control,0.6,,
20240722,MD-4-1,Madracis decactis,3,10,2,2,1,27,4,Control,0.6,,
20240722,DL-1-12,Diploria labyrinthiformis,3,11,3,2,1,27,4,Control,0.6,,
20240722,BLANK-1,BLANK,3,12,4,2,1,27,4,Control,0.6,,
20240722,DL-3-15,Diploria labyrinthiformis,1,1,1,1,2,27,5,Control,0.6,,
20240722,DL-1-8,Diploria labyrinthiformis,1,2,2,1,2,27,5,Control,0.6,,
20240722,MD-5-5,Madracis decactis,1,3,3,1,2,27,5,Control,0.6,,
20240722,DL-4-4,Diploria labyrinthiformis,1,4,4,1,2,27,5,Control,0.6,,
20240722,DL-2-9,Diploria labyrinthiformis,2,5,1,1,2,27,5,Control,0.6,,
20240722,MD-4-13,Madracis decactis,2,6,2,1,2,27,5,Control,0.6,,
20240722,MD-1-19,Madracis decactis,2,7,3,2,2,27,5,Control,0.6,,
20240722,DL-2-25,Diploria labyrinthiformis,2,8,4,2,2,27,5,Control,0.6,,
20240722,MD-2-5,Madracis decactis,3,9,1,2,2,27,5,Control,0.6,,
20240722,MD-5-9,Madracis decactis,3,10,2,2,2,27,5,Control,0.6,,
20240722,BLANK-2,BLANK,3,11,3,2,2,27,5,Control,0.6,,
20240722,DL-2-26,Diploria labyrinthiformis,3,12,4,2,2,27,5,Control,0.6,,
20240722,DL-2-21,Diploria labyrinthiformis,1,1,1,1,3,27,2,pH,0.6,,
20240722,MD-2-17,Madracis decactis,1,2,2,1,3,27,2,pH,0.6,,
20240722,DL-3-11,Diploria labyrinthiformis,1,3,3,1,3,27,2,pH,0.6,,
20240722,DL-1-22,Diploria labyrinthiformis,1,4,4,1,3,27,2,pH,0.6,,
20240722,MD-2-10,Madracis decactis,2,5,1,1,3,27,2,pH,0.6,,
20240722,DL-4-14,Diploria labyrinthiformis,2,6,2,1,3,27,2,pH,0.6,,
20240722,DL-1-13,Diploria labyrinthiformis,2,7,3,2,3,27,2,pH,0.6,,
20240722,BLANK-3,BLANK,2,8,4,2,3,27,2,pH,0.6,,
20240722,DL-4-11,Diploria labyrinthiformis,3,9,1,2,3,27,2,pH,0.6,,
20240722,MD-2-23,Madracis decactis,3,10,2,2,3,27,2,pH,0.6,,
20240722,MD-1-20,Madracis decactis,3,11,3,2,3,27,2,pH,0.6,,
20240722,DL-3-12,Diploria labyrinthiformis,3,12,4,2,3,27,2,pH,0.6,,
20240722,DL-4-26,Diploria labyrinthiformis,1,1,1,1,4,27,3,pH,0.6,,
20240722,MD-1-11,Madracis decactis,1,2,2,1,4,27,3,pH,0.6,,
20240722,BLANK-4,BLANK,1,3,3,1,4,27,3,pH,0.6,,
20240722,DL-2-5,Diploria labyrinthiformis,1,4,4,1,4,27,3,pH,0.6,,
20240722,DL-3-25,Diploria labyrinthiformis,2,5,1,1,4,27,3,pH,0.6,,
20240722,DL-1-15,Diploria labyrinthiformis,2,6,2,1,4,27,3,pH,0.6,,
20240722,DL-1-17,Diploria labyrinthiformis,2,7,3,2,4,27,3,pH,0.6,,
20240722,MD-5-26,Madracis decactis,2,8,4,2,4,27,3,pH,0.6,,
20240722,MD-1-13,Madracis decactis,3,9,1,2,4,27,3,pH,0.6,,
20240722,MD-4-9,Madracis decactis,3,10,2,2,4,27,3,pH,0.6,,
20240722,DL-3-18,Diploria labyrinthiformis,3,11,3,2,4,27,3,pH,0.6,,
20240722,MD-4-15,Madracis decactis,3,12,4,2,4,27,3,pH,0.6,,
20240722,DL-4-9,Diploria labyrinthiformis,1,1,1,1,5,27,6,Heat,0.6,,
20240722,DL-1-9,Diploria labyrinthiformis,1,2,2,1,5,27,6,Heat,0.6,,
20240722,MD-5-16,Madracis decactis,1,3,3,1,5,27,6,Heat,0.6,,
20240722,MD-4-7,Madracis decactis,1,4,4,1,5,27,6,Heat,0.6,,
20240722,MD-2-4,Madracis decactis,2,5,1,1,5,27,6,Heat,0.6,,
20240722,MD-1-15,Madracis decactis,2,6,2,1,5,27,6,Heat,0.6,,
20240722,DL-4-13,Diploria labyrinthiformis,2,7,3,2,5,27,6,Heat,0.6,,
20240722,BLANK-5,BLANK,2,8,4,2,5,27,6,Heat,0.6,,
20240722,MD-4-6,Madracis decactis,3,9,1,2,5,27,6,Heat,0.6,,
20240722,DL-2-15,Diploria labyrinthiformis,3,10,2,2,5,27,6,Heat,0.6,,
20240722,MD-5-15,Madracis decactis,3,11,3,2,5,27,6,Heat,0.6,,
20240722,DL-3-26,Diploria labyrinthiformis,3,12,4,2,5,27,6,Heat,0.6,,
20240722,DL-4-16,Diploria labyrinthiformis,1,1,1,1,6,27,7,Heat,0.6,,CHECK ORDER
20240722,MD-1-5,Madracis decactis,1,2,2,1,6,27,7,Heat,0.6,,CHECK ORDER
20240722,DL-2-12,Diploria labyrinthiformis,1,3,3,1,6,27,7,Heat,0.6,,CHECK ORDER
20240722,MD-4-4,Madracis decactis,1,4,4,1,6,27,7,Heat,0.6,,CHECK ORDER
20240722,MD-5-8,Madracis decactis,2,5,1,1,6,27,7,Heat,0.6,,CHECK ORDER
20240722,MD-2-1,Madracis decactis,2,6,2,1,6,27,7,Heat,0.6,,CHECK ORDER
20240722,DL-3-13,Diploria labyrinthiformis,2,7,3,2,6,27,7,Heat,0.6,,CHECK ORDER
20240722,DL-2-23,Diploria labyrinthiformis,2,8,4,2,6,27,7,Heat,0.6,,CHECK ORDER
20240722,MD-4-11,Madracis decactis,3,9,1,2,6,27,7,Heat,0.6,,CHECK ORDER
20240722,BLANK-6,BLANK,3,10,2,2,6,27,7,Heat,0.6,,CHECK ORDER
20240722,DL-1-3,Diploria labyrinthiformis,3,11,3,2,6,27,7,Heat,0.6,,"CHECK ORDER, THESE ARE NOT IN NOTEBOOK"
20240722,DL-2-22,Diploria labyrinthiformis,3,12,4,2,6,27,7,Heat,0.6,,"CHECK ORDER, THESE ARE NOT IN NOTEBOOK"
20240723,MD-2-15,Madracis decactis,1,1,1,1,7,27,4,Control,0.6,,
20240723,BLANK-7,BLANK,1,2,2,1,7,27,4,Control,0.6,,
20240723,DL-2-14,Diploria labyrinthiformis,1,3,3,1,7,27,4,Control,0.6,,
20240723,DL-1-12,Diploria labyrinthiformis,1,4,4,1,7,27,4,Control,0.6,,
20240723,MD-2-24,Madracis decactis,2,5,1,1,7,27,4,Control,0.6,,
20240723,DL-3-19,Diploria labyrinthiformis,2,6,2,1,7,27,4,Control,0.6,,
20240723,MD-5-24,Madracis decactis,2,7,3,2,7,27,4,Control,0.6,,
20240723,MD-4-19,Madracis decactis,2,8,4,2,7,27,4,Control,0.6,,
20240723,DL-1-7,Diploria labyrinthiformis,3,9,1,2,7,27,4,Control,0.6,,
20240723,DL-4-18,Diploria labyrinthiformis,3,10,2,2,7,27,4,Control,0.6,,
20240723,MD-1-2,Madracis decactis,3,11,3,2,7,27,4,Control,0.6,,
20240723,MD-4-10,Madracis decactis,3,12,4,2,7,27,4,Control,0.6,,
20240723,DL-3-24,Diploria labyrinthiformis,1,1,1,1,8,27,5,Control,0.6,BATTERIES START TO SLOW DOWN,
20240723,MD-2-8,Madracis decactis,1,2,2,1,8,27,5,Control,0.6,,
20240723,MD-1-24,Madracis decactis,1,3,3,1,8,27,5,Control,0.6,,
20240723,DL-4-3,Diploria labyrinthiformis,1,4,4,1,8,27,5,Control,0.6,,
20240723,DL-1-24,Diploria labyrinthiformis,2,5,1,1,8,27,5,Control,0.6,,
20240723,MD-5-21,Madracis decactis,2,6,2,1,8,27,5,Control,0.6,,
20240723,MD-2-6,Madracis decactis,2,7,3,2,8,27,5,Control,0.6,,
20240723,MD-4-2,Madracis decactis,2,8,4,2,8,27,5,Control,0.6,,
20240723,DL-4-21,Diploria labyrinthiformis,3,9,1,2,8,27,5,Control,0.6,"Data added to DL_1_7 file, renamed file to DL-4-21",
20240723,DL-2-11,Diploria labyrinthiformis,3,10,2,2,8,27,5,Control,0.6,,
20240723,DL-1-10,Diploria labyrinthiformis,3,11,3,2,8,27,5,Control,0.6,,
20240723,BLANK-8,BLANK,3,12,4,2,8,27,5,Control,0.6,,
20240723,DL-2-20,Diploria labyrinthiformis,1,1,1,1,9,27,3,pH,0.6,,
20240723,MD-1-10,Madracis decactis,1,2,2,1,9,27,3,pH,0.6,,
20240723,MD-4-25,Madracis decactis,1,3,3,1,9,27,3,pH,0.6,,
20240723,MD-4-22,Madracis decactis,1,4,4,1,9,27,3,pH,0.6,,
20240723,DL-3-17,Diploria labyrinthiformis,2,5,1,1,9,27,3,pH,0.6,,
20240723,MD-5-22,Madracis decactis,2,6,2,1,9,27,3,pH,0.6,,
20240723,DL-1-1,Diploria labyrinthiformis,2,7,3,2,9,27,3,pH,0.6,,
20240723,DL-2-3,Diploria labyrinthiformis,2,8,4,2,9,27,3,pH,0.6,,
