Run,Temp,Treatment,Date,Start.time,Stop.time,Light_Percent,Light_Value
1,27,Control,20240805,9:22:00_AM,9:45:29_AM,331,331
1,27,Control,20240805,9:47:03_AM,10:07:55_AM,0,0
2,27,Control,20240805,10:47:13_AM,11:07:59_AM,331,331
2,27,Control,20240805,11:08:42_AM,11:31:37_AM,0,0
3,27,pH,20240805,11:58:53_AM,12:18:15_PM,331,331
3,27,pH,20240805,12:18:50_PM,12:38:26_PM,0,0
4,27,pH,20240805,1:27:06_PM,1:47:49_PM,331,331
4,27,pH,20240805,1:48:40_PM,2:08:05_PM,0,0
5,30,Heat,20240805,3:04:38_PM,3:26:02_PM,331,331
5,30,Heat,20240805,3:26:41_PM,3:46:01_PM,0,0
6,30,Heat,20240805,4:39:19_PM,4:59:44_PM,331,331
6,30,Heat,20240805,5:00:18_PM,5:20:59_PM,0,0
7,27,Control,20240806,9:51:29_AM,10:13:04_AM,331,331
7,27,Control,20240806,10:13:32_AM,10:33:07_AM,0,0
8,27,Control,20240806,11:05:39_AM,11:31:20_AM,331,331
8,27,Control,20240806,11:31:56_AM,11:51:28_AM,0,0
9,27,pH,20240806,12:44:05_PM,1:08:19_PM,331,331
9,27,pH,20240806,1:08:56_PM,1:30:02_PM,0,0
10,27,pH,20240806,3:20:21_PM,3:40:08_PM,331,331
10,27,pH,20240806,3:40:42_PM,4:07:19_PM,0,0
11,30,Heat,20240806,4:48:34_PM,5:08:08_PM,331,331
11,30,Heat,20240806,5:08:47_PM,5:28:04_PM,0,0
12,30,Heat,20240806,6:20:02_PM,6:41:54_PM,331,331
12,30,Heat,20240806,6:42:27_PM,7:03:39_PM,0,0
