Date,fragment_ID,Species,box,Chamber.Channel,Channel,Bin,Run,Recovery.Temp.Cat,Temp.Cat,Tank,Priming.Treatment,Secondary.Treatment,Chamber.Vol.L,Notes
20240805,MD-5-24,Madracis decactis,1,1,1,1,1,28,27,4,Control,Heat,0.645,
20240805,BLANK-1,BLANK,1,2,2,1,1,28,27,4,Control,Heat,0.645,
20240805,MD-2-15,Madracis decactis,1,3,3,1,1,28,27,4,Control,Heat,0.645,
20240805,MD-1-2,Madracis decactis,1,4,4,1,1,28,27,4,Control,Heat,0.645,
20240805,DL-1-4,Diploria labyrinthiformis,2,5,1,1,1,28,27,4,Control,Heat,0.645,
20240805,DL-4-18,Diploria labyrinthiformis,2,6,2,1,1,28,27,4,Control,Heat,0.645,
20240805,MD-1-25,Madracis decactis,2,7,3,2,1,28,27,4,Control,Heat,0.645,
20240805,DL-3-4,Diploria labyrinthiformis,2,8,4,2,1,28,27,4,Control,Heat,0.645,
20240805,MD-4-19,Madracis decactis,3,9,1,2,1,28,27,4,Control,Heat,0.645,
20240805,MD-5-18,Madracis decactis,3,10,2,2,1,28,27,4,Control,Heat,0.645,
20240805,DL-4-1 ,Diploria labyrinthiformis,3,11,3,2,1,28,27,4,Control,Heat,0.645,
20240805,DL-2-14,Diploria labyrinthiformis,3,12,4,2,1,28,27,4,Control,Heat,0.645,
20240805,MD-4-2 ,Madracis decactis,1,1,1,1,2,28,27,5,Control,Control,0.645,
20240805,DL-3-1,Diploria labyrinthiformis,1,2,2,1,2,28,27,5,Control,Control,0.645,
20240805,DL-4-21,Diploria labyrinthiformis,1,3,3,1,2,28,27,5,Control,Control,0.645,
20240805,BLANK-2,BLANK,1,4,4,1,2,28,27,5,Control,Control,0.645,
20240805,MD-5-6,Madracis decactis,2,5,1,1,2,28,27,5,Control,Control,0.645,
20240805,DL-4-23,Diploria labyrinthiformis,2,6,2,1,2,28,27,5,Control,Control,0.645,
20240805,DL-2-11,Diploria labyrinthiformis,2,7,3,2,2,28,27,5,Control,Control,0.645,
20240805,MD-2-8,Madracis decactis,2,8,4,2,2,28,27,5,Control,Control,0.645,
20240805,DL-1-10,Diploria labyrinthiformis,3,9,1,2,2,28,27,5,Control,Control,0.645,
20240805,MD-1-14,Madracis decactis,3,10,2,2,2,28,27,5,Control,Control,0.645,
20240805,MD-4-20,Madracis decactis,3,11,3,2,2,28,27,5,Control,Control,0.645,
20240805,DL-1-24,Diploria labyrinthiformis,3,12,4,2,2,28,27,5,Control,Control,0.645,
20240805,DL-3-17,Diploria labyrinthiformis,1,1,1,1,3,28,27,2,pH,Heat,0.645,
20240805,MD-5-13,Madracis decactis,1,2,2,1,3,28,27,2,pH,Heat,0.645,
20240805,DL-1-6,Diploria labyrinthiformis,1,3,3,1,3,28,27,2,pH,Heat,0.645,
20240805,MD-5-22,Madracis decactis,1,4,4,1,3,28,27,2,pH,Heat,0.645,
20240805,DL-2-1,Diploria labyrinthiformis,2,5,1,1,3,28,27,2,pH,Heat,0.645,
20240805,MD-2-17,Madracis decactis,2,6,2,1,3,28,27,2,pH,Heat,0.645,
20240805,MD-2-10,Madracis decactis,2,7,3,2,3,28,27,2,pH,Heat,0.645,
20240805,DL-1-1,Diploria labyrinthiformis,2,8,4,2,3,28,27,2,pH,Heat,0.645,
20240805,MD-4-25,Madracis decactis,3,9,1,2,3,28,27,2,pH,Heat,0.645,
20240805,DL-4-11,Diploria labyrinthiformis,3,10,2,2,3,28,27,2,pH,Heat,0.645,
20240805,MD-1-8,Madracis decactis,3,11,3,2,3,28,27,2,pH,Heat,0.645,
