Run,Secondary.Temp,Priming.Temp,Priming.Treatment,Secondary.Treatment,Date,Start.time,Stop.time,Light_Value
1,28,27,Control,Control,20240810,7:35:39,7:55:11,331
1,28,27,Control,Control,20240810,7:55:44,8:18:47,0
2,28,27,low_pH,Control,20240810,8:58:04,9:18:27,331
2,28,27,low_pH,Control,20240810,9:18:57,9:38:20,0
3,28,30,Heat,Control,20240810,10:11:18,10:31:20,331
3,28,30,Heat,Control,20240810,10:32:18,10:52:20,0
4,30,27,Control,Heat,20240810,12:05:19,12:25:05,331
4,30,27,Control,Heat,20240810,12:25:50,12:45:06,0
5,30,27,low_pH,Heat,20240810,13:21:51,13:41:16,331
5,30,27,low_pH,Heat,20240810,13:41:44,14:01:02,0
6,30,30,Heat,Heat,20240810,14:33:30,14:51:36,331
6,30,30,Heat,Heat,20240810,14:52:17,15:12:10,0
7,28,27,Control,Control,20240811,7:18:17,7:38:20,331
7,28,27,Control,Control,20240811,7:39:05,8:00:02,0
8,28,27,low_pH,Control,20240811,9:05:29,9:26:17,331
8,28,27,low_pH,Control,20240811,9:26:47,9:46:51,0
9,28,30,Heat,Control,20240811,10:42:08,11:02:12,331
9,28,30,Heat,Control,20240811,11:02:47,11:24:47,0
10,30.5,27,low_pH,Heat,20240811,12:45:29,13:04:28,331
10,30.5,27,low_pH,Heat,20240811,13:05:15,13:27:35,0
11,30.5,27,Control,Heat,20240811,14:02:43,14:22:39,331
11,30.5,27,Control,Heat,20240811,14:23:22,14:43:13,0
12,30.5,30,Heat,Heat,20240811,15:05:22,15:25:12,331
12,30.5,30,Heat,Heat,20240811,15:25:45,15:45:08,0
