sample-id,Date,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Treatment,Chamber.Vol.L,Notes
BLANK-1,20240708,BLANK,3,12,4,2,1,27,acclimation,0.645,
BLANK-10,20240708,BLANK,3,9,1,2,10,27,acclimation,0.645,
BLANK-11,20240709,BLANK,3,12,4,2,11,27,acclimation,0.645,
BLANK-12,20240709,BLANK,1,1,1,1,12,27,acclimation,0.645,
BLANK-13,20240709,BLANK,2,7,3,2,13,27,acclimation,0.645,
BLANK-14,20240709,BLANK,2,5,1,1,14,27,acclimation,0.645,
BLANK-15,20240709,BLANK,2,8,4,2,15,27,acclimation,0.645,
BLANK-16,20240709,BLANK,1,2,2,1,16,27,acclimation,0.645,
BLANK-17,20240709,BLANK,2,7,3,2,17,27,acclimation,0.645,
BLANK-18,20240709,BLANK,3,9,1,2,18,27,acclimation,0.645,
BLANK-19,20240709,BLANK,3,12,4,2,19,27,acclimation,0.645,
BLANK-2,20240708,BLANK,3,9,1,2,2,27,acclimation,0.645,
BLANK-20,20240709,BLANK,1,1,1,1,20,27,acclimation,0.645,
BLANK-3,20240708,BLANK,1,1,1,1,3,27,acclimation,0.645,
BLANK-4,20240708,BLANK,1,1,1,1,4,27,acclimation,0.645,
BLANK-5,20240708,BLANK,2,5,1,1,5,27,acclimation,0.645,
BLANK-6,20240708,BLANK,3,9,1,2,6,27,acclimation,0.645,
BLANK-7,20240708,BLANK,3,11,3,2,7,27,acclimation,0.645,
BLANK-8,20240708,BLANK,1,3,3,1,8,27,acclimation,0.645,
BLANK-9,20240708,BLANK,1,3,3,1,9,27,acclimation,0.645,
DL-1-1,20240709,Diploria labyrinthiformis,1,2,2,1,12,27,acclimation,0.635,
DL-1-10,20240708,Diploria labyrinthiformis,3,11,3,2,3,27,acclimation,0.636,
DL-1-11,20240709,Diploria labyrinthiformis,2,5,1,1,15,27,acclimation,0.633,
DL-1-12,20240709,Diploria labyrinthiformis,2,8,4,2,16,27,acclimation,0.625,
DL-1-13,20240709,Diploria labyrinthiformis,1,1,1,1,18,27,acclimation,0.63,
DL-1-14,20240708,Diploria labyrinthiformis,2,8,4,2,3,27,acclimation,0.637,
DL-1-15,20240709,Diploria labyrinthiformis,1,1,1,1,11,27,acclimation,0.626,
DL-1-16,20240708,Diploria labyrinthiformis,2,6,2,1,8,27,acclimation,0.625,
DL-1-17,20240709,Diploria labyrinthiformis,1,2,2,1,13,27,acclimation,0.625,
DL-1-18,20240708,Diploria labyrinthiformis,1,1,1,1,1,27,acclimation,0.626,
DL-1-19,20240709,Diploria labyrinthiformis,3,9,1,2,14,27,acclimation,0.651,
DL-1-2,20240708,Diploria labyrinthiformis,1,4,4,1,10,27,acclimation,0.635,
DL-1-20,20240708,Diploria labyrinthiformis,3,10,2,2,3,27,acclimation,0.626,
DL-1-21,20240709,Diploria labyrinthiformis,1,1,1,1,15,27,acclimation,0.634,
DL-1-22,20240709,Diploria labyrinthiformis,2,7,3,2,18,27,acclimation,0.626,
DL-1-23,20240709,Diploria labyrinthiformis,1,1,1,1,17,27,acclimation,0.63,
DL-1-24,20240708,Diploria labyrinthiformis,1,1,1,1,8,27,acclimation,0.626,
DL-1-25,20240708,Diploria labyrinthiformis,3,10,2,2,8,27,acclimation,0.626,
DL-1-26,20240709,Diploria labyrinthiformis,2,5,1,1,19,27,acclimation,0.635,
DL-1-28,20240709,Diploria labyrinthiformis,1,3,3,1,20,27,acclimation,0.626,
DL-1-3,20240708,Diploria labyrinthiformis,2,5,1,1,9,27,acclimation,0.626,
DL-1-4,20240708,Diploria labyrinthiformis,1,1,1,1,2,27,acclimation,0.625,
DL-1-5,20240708,Diploria labyrinthiformis,1,4,4,1,8,27,acclimation,0.635,
DL-1-6,20240709,Diploria labyrinthiformis,3,11,3,2,12,27,acclimation,0.635,
DL-1-7,20240709,Diploria labyrinthiformis,2,6,2,1,14,27,acclimation,0.63,
DL-1-8,20240709,Diploria labyrinthiformis,1,4,4,1,16,27,acclimation,0.626,
DL-1-9,20240708,Diploria labyrinthiformis,3,10,2,2,7,27,acclimation,0.633,
DL-2-1,20240709,Diploria labyrinthiformis,1,2,2,1,11,27,acclimation,0.635,
DL-2-10,20240709,Diploria labyrinthiformis,2,7,3,2,14,27,acclimation,0.635,
DL-2-11,20240709,Diploria labyrinthiformis,3,11,3,2,13,27,acclimation,0.63,
DL-2-12,20240708,Diploria labyrinthiformis,2,7,3,2,5,27,acclimation,0.625,
DL-2-13,20240709,Diploria labyrinthiformis,3,10,2,2,15,27,acclimation,0.607,
DL-2-14,20240709,Diploria labyrinthiformis,2,8,4,2,17,27,acclimation,0.63,
DL-2-15,20240708,Diploria labyrinthiformis,1,4,4,1,9,27,acclimation,0.627,
DL-2-17,20240708,Diploria labyrinthiformis,3,9,1,2,9,27,acclimation,0.628,
DL-2-18,20240708,Diploria labyrinthiformis,1,1,1,1,10,27,acclimation,0.635,
DL-2-19,20240709,Diploria labyrinthiformis,3,11,3,2,17,27,acclimation,0.635,
DL-2-2,20240708,Diploria labyrinthiformis,2,8,4,2,4,27,acclimation,0.625,
DL-2-20,20240708,Diploria labyrinthiformis,3,9,1,2,5,27,acclimation,0.635,
DL-2-21,20240709,Diploria labyrinthiformis,3,10,2,2,14,27,acclimation,0.63,
DL-2-21,20240708,Diploria labyrinthiformis,1,2,2,1,8,27,acclimation,0.63,
DL-2-22,20240708,Diploria labyrinthiformis,3,10,2,2,6,27,acclimation,0.635,
DL-2-23,20240708,Diploria labyrinthiformis,2,7,3,2,8,27,acclimation,0.634,
DL-2-24,20240709,Diploria labyrinthiformis,2,5,1,1,18,27,acclimation,0.626,
DL-2-25,20240709,Diploria labyrinthiformis,3,9,1,2,19,27,acclimation,0.63,
DL-2-3,20240709,Diploria labyrinthiformis,3,10,2,2,11,27,acclimation,0.635,
