Run,Temp,Treatment,Date,Start.time,Stop.time,Light_Percent,Light_Value,
1,27,Control,20240716,10:37:11,10:57:22,331,7,
1,27,Control,20240716,10:58:35,11:18:07,0,0,
2,27,Control,20240716,12:05:03,12:26:04,331,7,
2,27,Control,20240716,12:27:20,12:27:14,0,0,
3,27,pH,20240716,14:03:56,14:23:31,331,7,
3,27,pH,20240716,14:25:23,14:46:02,0,0,
4,27,pH,20240716,15:29:39,15:49:04,331,7,
4,27,pH,20240716,15:51:24,16:11:45,0,0,
5,30,Heat,20240716,18:15:04,18:36:06,331,7,
5,30,Heat,20240716,18:37:16,18:58:04,0,0,
6,30,Heat,20240716,20:03:29,20:23:44,331,7,
6,30,Heat,20240716,20:24:35,20:44:30,0,0,
7,27,Control,20240717,6:45:38,7:05:42,331,7,
7,27,Control,20240717,7:06:24,7:26:15,0,0,
8,27,Control,20240717,8:47:58,9:09:14,331,7,spinning slowed down indicating battery is about to die
8,27,Control,20240717,9:10:15,9:30:44,0,0,spinning slowed down indicating battery is about to die
9,27,pH,20240717,10:07:41,10:27:06,331,7,
9,27,pH,20240717,10:28:21,10:48:13,0,0,
10,27,pH,20240717,11:39:38,11:59:51,331,7,
10,27,pH,20240717,12:00:30,12:19:59,0,0,
11,30,Heat,20240717,12:48:10,13:08:33,331,7,
11,30,Heat,20240717,13:12:06,13:32:00,0,0,
12,30,Heat,20240717,13:59:07,14:19:01,331,7,
12,30,Heat,20240717,14:19:49,14:39:31,0,0,
