,sample-id,Chamber.Vol.L,Date,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Tank,Treatment,Notes
1,BLANK-1,0.645,20240716,BLANK,3,11,3,2,1,27,4,Control,NA
2,BLANK-10,0.645,20240717,BLANK,1,2,2,1,10,27,2,pH,NA
3,BLANK-11,0.645,20240717,BLANK,3,10,10,2,11,27,6,Heat,NA
4,BLANK-12,0.645,20240717,BLANK,1,1,1,1,12,27,7,Heat,NA
5,BLANK-2,0.645,20240716,BLANK,2,7,3,2,2,27,5,Control,NA
6,BLANK-3,0.645,20240716,BLANK,3,10,2,2,3,27,2,pH,NA
7,BLANK-4,0.645,20240716,BLANK,1,3,3,1,4,27,3,pH,NA
8,BLANK-5,0.645,20240716,BLANK,1,1,1,1,5,27,6,Heat,NA
9,BLANK-7,0.645,20240717,BLANK,2,7,3,2,7,27,4,Control,NA
10,BLANK-8,0.645,20240717,BLANK,1,4,4,1,8,27,5,Control,NA
11,BLANK-9,0.645,20240717,BLANK,3,12,4,2,9,27,3,pH,NA
14,DL-1-10,0.636,20240717,Diploria labyrinthiformis,3,11,3,2,8,27,5,Control,NA
15,DL-1-11,0.633,20240716,Diploria labyrinthiformis,2,8,4,2,6,27,7,Heat,NA
18,DL-1-14,0.637,20240717,Diploria labyrinthiformis,1,3,3,1,8,27,5,Control,NA
19,DL-1-15,0.626,20240717,Diploria labyrinthiformis,2,5,5,1,10,27,2,pH,NA
20,DL-1-16,0.625,20240717,Diploria labyrinthiformis,2,8,8,2,10,27,2,pH,NA
22,DL-1-18,0.626,20240717,Diploria labyrinthiformis,2,5,5,1,11,27,6,Heat,NA
23,DL-1-19,0.651,20240717,Diploria labyrinthiformis,2,5,1,1,7,27,4,Control,NA
25,DL-1-20,0.626,20240717,Diploria labyrinthiformis,2,6,6,1,11,27,6,Heat,NA
26,DL-1-21,0.634,20240716,Diploria labyrinthiformis,3,11,3,2,3,27,2,pH,NA
27,DL-1-21b,0.634,20240717,Diploria labyrinthiformis,3,11,3,2,9,27,3,pH,Duplicate in run3
37,DL-1-4,0.625,20240717,Diploria labyrinthiformis,1,4,4,1,7,27,4,Control,NA
39,DL-1-6,0.635,20240717,Diploria labyrinthiformis,3,10,2,2,9,27,3,pH,NA
42,DL-1-9,0.633,20240716,Diploria labyrinthiformis,3,9,1,2,5,27,6,Heat,NA
44,DL-2-1,0.635,20240717,Diploria labyrinthiformis,2,7,3,2,9,27,3,pH,NA
45,DL-2-10,0.635,20240716,Diploria labyrinthiformis,2,7,3,2,5,27,6,Heat,NA
46,DL-2-11,0.63,20240716,Diploria labyrinthiformis,3,9,1,2,2,27,5,Control,NA
48,DL-2-13,0.607,20240716,Diploria labyrinthiformis,1,4,4,1,5,27,6,Heat,NA
49,DL-2-13,0.607,20240716,Diploria labyrinthiformis,3,9,1,2,6,27,7,Heat,NA
50,DL-2-14,0.63,20240716,Diploria labyrinthiformis,1,2,2,1,1,27,4,Control,NA
51,DL-2-15,0.627,20240716,Diploria labyrinthiformis,2,8,4,2,5,27,6,Heat,NA
