sample-id,Date,Species,box,Chamber.Channel,Channel,Bin,Run,Temp.Cat,Tank,Treatment,Chamber.Vol.L,Notes
BLANK-1,20240722,BLANK,3,12,4,2,1,27,4,Control,0.645,
BLANK-10,20240723,BLANK,2,8,8,2,10,27,2,pH,0.645,
BLANK-11,20240723,BLANK,2,6,6,1,11,27,6,Heat,0.645,
BLANK-12,20240723,BLANK,3,11,11,2,12,27,7,Heat,0.645,
BLANK-2,20240722,BLANK,3,11,3,2,2,27,5,Control,0.645,
BLANK-3,20240722,BLANK,2,8,4,2,3,27,2,pH,0.645,
BLANK-4,20240722,BLANK,1,3,3,1,4,27,3,pH,0.645,
BLANK-5,20240722,BLANK,3,11,3,2,5,27,6,Heat,0.645,
BLANK-6,20240722,BLANK,3,10,2,2,6,27,7,Heat,0.645,
BLANK-7,20240723,BLANK,1,2,2,1,7,27,4,Control,0.645,
BLANK-8,20240723,BLANK,3,12,4,2,8,27,5,Control,0.645,
BLANK-9,20240723,BLANK,3,11,3,2,9,27,3,pH,0.645,
DL-1-1,20240723,Diploria labyrinthiformis,2,7,3,2,9,27,3,pH,0.635,
DL-1-10,20240723,Diploria labyrinthiformis,3,11,3,2,8,27,5,Control,0.636,
DL-1-12,20240722,Diploria labyrinthiformis,3,11,3,2,1,27,4,Control,0.625,
DL-1-12,20240723,Diploria labyrinthiformis,1,4,4,1,7,27,4,Control,0.625,
DL-1-13,20240722,Diploria labyrinthiformis,2,7,3,2,3,27,2,pH,0.63,
DL-1-15,20240722,Diploria labyrinthiformis,2,6,2,1,4,27,3,pH,0.626,
DL-1-17,20240722,Diploria labyrinthiformis,2,7,3,2,4,27,3,pH,0.625,
DL-1-18,20240723,Diploria labyrinthiformis,2,7,7,2,11,27,6,Heat,0.626,
DL-1-19,20240722,Diploria labyrinthiformis,2,5,1,1,1,27,4,Control,0.651,
DL-1-21,20240723,Diploria labyrinthiformis,2,6,6,1,10,27,2,pH,0.634,
DL-1-22,20240722,Diploria labyrinthiformis,1,4,4,1,3,27,2,pH,0.626,
DL-1-23,20240723,Diploria labyrinthiformis,3,11,11,2,11,27,6,Heat,0.63,
