sample-id,Date,Species,box,Chamber.Channel,Channel,Bin,Run,Recovery.Temp.Cat,Temp.Cat,Tank,Chamber.Vol.L,Notes
BLANK-1,20240805,BLANK,1,2,2,1,1,28,27,4,0.645,
BLANK-10,20240806,BLANK,1,4,4,1,10,28,27,2,0.645,
BLANK-11,20240806,BLANK,3,10,10,2,11,28,30,6,0.645,
BLANK-12,20240806,BLANK,3,9,9,2,12,28,30,7,0.645,
BLANK-2,20240805,BLANK,1,4,4,1,2,28,27,5,0.645,
BLANK-3,20240805,BLANK,3,12,4,2,3,28,27,2,0.645,
BLANK-4,20240805,BLANK,2,6,2,1,4,28,27,3,0.645,
BLANK-5,20240805,BLANK,2,7,3,2,5,28,30,6,0.645,
BLANK-6,20240805,BLANK,1,1,1,1,6,28,30,7,0.645,
BLANK-7,20240806,BLANK,2,7,3,2,7,28,27,4,0.645,
BLANK-8,20240806,BLANK,1,1,1,1,8,28,27,5,0.645,
BLANK-9,20240806,BLANK,3,10,2,2,9,28,27,3,0.645,
DL-1-1,20240805,Diploria labyrinthiformis,2,8,4,2,3,28,27,2,0.635,
DL-1-10,20240805,Diploria labyrinthiformis,3,9,1,2,2,28,27,5,0.636,
DL-1-11,20240806,Diploria labyrinthiformis,1,3,3,1,12,28,30,7,0.633,
DL-1-13,20240806,Diploria labyrinthiformis,1,1,1,1,9,28,27,3,0.63,
DL-1-14,20240806,Diploria labyrinthiformis,2,6,2,1,8,28,27,5,0.637,
DL-1-16,20240806,Diploria labyrinthiformis,2,6,6,1,10,28,27,2,0.625,
DL-1-17,20240806,Diploria labyrinthiformis,1,3,3,1,10,28,27,2,0.625,
DL-1-18,20240806,Diploria labyrinthiformis,2,7,7,2,11,28,30,6,0.626,
DL-1-19,20240806,Diploria labyrinthiformis,3,9,1,2,7,28,27,4,0.651,
DL-1-20,20240806,Diploria labyrinthiformis,1,1,1,1,11,28,30,6,0.626,
DL-1-21,20240805,Diploria labyrinthiformis,3,9,1,2,4,28,27,3,0.634,
DL-1-23,20240805,Diploria labyrinthiformis,1,4,4,1,6,28,30,7,0.63,
DL-1-24,20240805,Diploria labyrinthiformis,3,12,4,2,2,28,27,5,0.626,
DL-1-26,20240805,Diploria labyrinthiformis,1,3,3,1,5,28,30,6,0.635,
DL-1-4,20240805,Diploria labyrinthiformis,2,5,1,1,1,28,27,4,0.625,
DL-1-5,20240805,Diploria labyrinthiformis,3,11,3,2,5,28,30,6,0.635,
DL-1-6,20240805,Diploria labyrinthiformis,1,3,3,1,3,28,27,2,0.635,
DL-2-1,20240805,Diploria labyrinthiformis,2,5,1,1,3,28,27,2,0.635,
DL-2-10,20240805,Diploria labyrinthiformis,1,2,2,1,6,28,30,7,0.635,
DL-2-11,20240805,Diploria labyrinthiformis,2,7,3,2,2,28,27,5,0.63,
DL-2-13,20240806,Diploria labyrinthiformis,2,8,8,2,11,28,30,6,0.607,
DL-2-14,20240805,Diploria labyrinthiformis,3,12,4,2,1,28,27,4,0.63,
DL-2-16,20240805,Diploria labyrinthiformis,2,8,4,2,4,28,27,3,0.633,
DL-2-19,20240805,Diploria labyrinthiformis,1,2,2,1,4,28,27,3,0.635,
DL-2-2,20240806,Diploria labyrinthiformis,1,3,3,1,7,28,27,4,0.625,
DL-2-20,20240806,Diploria labyrinthiformis,2,8,4,2,9,28,27,3,0.635,
DL-2-22,20240805,Diploria labyrinthiformis,2,8,4,2,5,28,30,6,0.635,
DL-2-23,20240806,Diploria labyrinthiformis,2,6,6,1,12,28,30,7,0.634,
DL-2-24,20240806,Diploria labyrinthiformis,2,7,7,2,12,28,30,7,0.626,
DL-2-25,20240806,Diploria labyrinthiformis,1,2,2,1,8,28,27,5,0.63,
DL-2-4,20240806,Diploria labyrinthiformis,1,1,1,1,7,28,27,4,0.644,
DL-2-7,20240805,Diploria labyrinthiformis,3,11,3,2,6,28,30,7,0.635,
DL-2-8,20240806,Diploria labyrinthiformis,2,7,7,2,10,28,27,2,0.636,
DL-3-1,20240805,Diploria labyrinthiformis,1,2,2,1,2,28,27,5,0.629,
DL-3-11,20240806,Diploria labyrinthiformis,1,4,4,1,9,28,27,3,0.63,
DL-3-14,20240806,Diploria labyrinthiformis,3,9,1,2,8,28,27,5,0.63,
DL-3-16,20240805,Diploria labyrinthiformis,1,3,3,1,4,28,27,3,0.634,
DL-3-17,20240805,Diploria labyrinthiformis,1,1,1,1,3,28,27,2,0.631,
DL-3-18,20240805,Diploria labyrinthiformis,3,12,4,2,4,28,27,3,0.636,
DL-3-19,20240806,Diploria labyrinthiformis,2,8,4,2,7,28,27,4,0.633,
DL-3-20,20240805,Diploria labyrinthiformis,1,4,4,1,5,28,30,6,0.627,
DL-3-24,20240806,Diploria labyrinthiformis,1,4,4,1,8,28,27,5,0.627,
DL-3-3,20240806,Diploria labyrinthiformis,1,4,4,1,7,28,27,4,0.635,
DL-3-4,20240805,Diploria labyrinthiformis,2,8,4,2,1,28,27,4,0.635,
DL-3-5,20240805,Diploria labyrinthiformis,2,6,2,1,6,28,30,7,0.64,
DL-3-7,20240806,Diploria labyrinthiformis,2,5,5,1,11,28,30,6,0.636,
DL-3-8,20240806,Diploria labyrinthiformis,2,7,3,2,9,28,27,3,0.634,
DL-3-9,20240806,Diploria labyrinthiformis,1,2,2,1,10,28,27,2,0.644,
DL-4-1,20240805,Diploria labyrinthiformis,3,11,3,2,1,28,27,4,0.61,
DL-4-10,20240805,Diploria labyrinthiformis,3,10,2,2,4,28,27,3,0.63,
DL-4-11,20240805,Diploria labyrinthiformis,3,10,2,2,3,28,27,2,0.625,
DL-4-12,20240806,Diploria labyrinthiformis,2,6,2,1,9,28,27,3,0.626,
DL-4-15,20240806,Diploria labyrinthiformis,2,6,6,1,11,28,30,6,0.63,
DL-4-17,20240806,Diploria labyrinthiformis,3,11,11,2,10,28,27,2,0.615,
DL-4-18,20240805,Diploria labyrinthiformis,2,6,2,1,1,28,27,4,0.628,
DL-4-19,20240806,Diploria labyrinthiformis,3,11,11,2,12,28,30,7,0.63,
DL-4-2,20240806,Diploria labyrinthiformis,2,6,2,1,7,28,27,4,0.625,
