Run,Temp,Treatment,Date,Start.time,Stop.time,Light_Percent,Light_Value
1,28,Control,20240810,7:35:39,7:55:11,331,7
1,28,Control,20240810,7:55:44,8:18:47,0,0
2,28,Control,20240810,8:58:04,9:18:27,331,7
2,28,Control,20240810,9:18:57,9:38:20,0,0
3,28,Control,20240810,10:11:18,10:31:20,331,7
3,28,Control,20240810,10:32:18,10:52:20,0,0
4,31,Heat,20240810,12:05:19,12:25:05,331,7
4,31,Heat,20240810,12:25:50,12:45:06,0,0
5,31,Heat,20240810,13:21:51,13:41:16,331,7
5,31,Heat,20240810,13:41:44,14:01:02,0,0
6,31,Heat,20240810,14:33:30,14:51:36,331,7
6,31,Heat,20240810,14:52:17,15:12:10,0,0
7,28,Control,20240811,7:18:17,7:38:20,331,7
7,28,Control,20240811,7:39:05,8:00:02,0,0
8,28,Control,20240811,9:05:29,9:26:17,331,7
8,28,Control,20240811,9:26:47,9:46:51,0,0
9,28,Control,20240811,10:42:08,11:02:12,331,7
9,28,Control,20240811,11:02:47,11:24:47,0,0
10,31,Heat,20240811,12:45:29,13:04:28,331,7
10,31,Heat,20240811,13:05:15,13:27:35,0,0
11,31,Heat,20240811,14:02:43,14:22:39,331,7
11,31,Heat,20240811,14:23:22,14:43:13,0,0
12,31,Heat,20240811,15:05:22,15:25:12,331,7
12,31,Heat,20240811,15:25:45,15:45:08,0,0
