DateMeasured,TimeMeasured,Tank,Species,Colony,Treatment,ID,Fo(I),Fm(I),Y(I),Fo(II),Fm(II),Y(II),Fo(III),Fm(III),Y(III),Fo (avg),Fm(avg),Y(avg)
20240719,22:13,6,DL,2,Heat,10,866,1783,0.514,1132,2373,0.533,925,1900,0.513,974.3333333,2018.666667,0.52
20240719,22:13,6,MD,5,Heat,7,1144,2164,0.471,1325,2509,0.472,994,1856,0.465,1154.333333,2176.333333,0.4693333333
20240719,22:13,6,MD,2,Heat,14,1693,3657,0.537,1625,3283,0.505,1745,3621,0.518,1687.666667,3520.333333,0.52
20240719,22:13,6,MD,1,Heat,17,896,1587,0.435,969,1728,0.439,976,1935,0.496,947,1750,0.4566666667
20240719,22:13,6,DL,1,Heat,9,969,1835,0.472,1110,2168,0.488,884,1624,4.56,987.6666667,1875.666667,1.84
20240719,22:13,6,DL,4,Heat,20,1238,2619,0.541,1240,2710,0.542,1173,2533,0.537,1217,2620.666667,0.54
20240719,22:13,6,MD,2,Heat,13,1834,3575,0.487,1464,2783,0.474,1274,2770,0.54,1524,3042.666667,0.5003333333
20240719,22:13,6,DL,1,Heat,20,881,1680,0.476,829,1668,0.503,1009,1954,0.484,906.3333333,1767.333333,0.4876666667
20240719,22:13,6,DL,2,Heat,7,1028,2073,0.504,1050,1994,0.473,1082,2139,0.494,1053.333333,2068.666667,0.4903333333
20240719,22:13,6,DL,3,Heat,22,830,1773,0.532,734,1603,0.542,869,1847,0.53,811,1741,0.5346666667
20240719,22:13,6,DL,3,Heat,5,991,1985,0.501,982,1930,0.491,975,1760,0.505,982.6666667,1891.666667,0.499
20240719,22:13,6,DL,4,Heat,9,828,1854,0.553,1073,2390,0.551,1134,2553,0.556,1011.666667,2265.666667,0.5533333333
20240719,22:13,6,MD,1,Heat,15,853,1557,0.452,916,1685,0.456,783,1496,0.477,850.6666667,1579.333333,0.4616666667
20240719,22:13,6,MD,4,Heat,6,1282,2418,0.469,1128,2110,0.465,1313,2730,0.519,1241,2419.333333,0.4843333333
20240719,22:13,6,MD,4,Heat,7,1111,2206,0.496,769,1366,0.437,1037,2024,0.488,972.3333333,1865.333333,0.4736666667
20240719,22:13,6,MD,5,Heat,16,1469,2881,0.49,484,694,0.303,1412,2552,0.447,1121.666667,2042.333333,0.4133333333
20240719,22:13,7,DL,3,Heat,2,696,1321,0.437,796,1570,0.496,845,1629,0.481,779,1506.666667,0.4713333333
20240719,22:13,7,DL,3,Heat,13,807,1613,0.5,827,1668,0.504,914,1803,0.493,849.3333333,1694.666667,0.499
20240719,22:13,7,DL,2,Heat,22,960,2162,0.556,993,2234,0.556,874,1936,0.549,942.3333333,2110.666667,0.5536666667
20240719,22:13,7,MD,1,Heat,22,1108,1820,0.391,858,1378,0.377,1105,1733,0.362,1023.666667,1643.666667,0.3766666667
20240719,22:13,7,DL,2,Heat,24,881,1854,0.525,838,1713,0.511,883,1912,0.538,867.3333333,1826.333333,0.5246666667
20240719,22:13,7,MD,5,Heat,4,2324,3325,0.301,2429,3836,0.37,1162,2494,0.534,1971.666667,3218.333333,0.4016666667
20240719,22:13,7,MD,2,Heat,12,2001,2454,0.185,1192,2325,0.417,1391,2543,0.653,1528,2440.666667,0.4183333333
20240719,22:13,7,MD,5,Heat,20,1351,2319,0.417,1571,2855,0.45,1575,2546,0.381,1499,2573.333333,0.416
20240719,22:13,7,MD,4,Heat,18,1737,2972,0.416,1872,3244,0.423,1421,2526,0.446,1676.666667,2914,0.4283333333
20240719,22:13,7,DL,1,Heat,5,835,1581,0.472,1068,1926,0.445,867,1600,0.458,923.3333333,1702.333333,0.4583333333
20240719,22:13,7,DL,4,Heat,16,896,1986,0.564,1025,2326,0.559,767,1757,0.656,896,2023,0.593
20240719,22:13,7,MD,1,Heat,26,1434,2585,0.445,1600,2782,0.425,1624,2953,0.45,1552.666667,2773.333333,0.44
20240719,22:13,7,MD,2,Heat,26,1091,2316,0.538,1021,1769,0.423,1899,2819,0.326,1337,2301.333333,0.429
20240719,22:13,7,DL,1,Heat,11,1056,2037,0.482,1011,1963,0.487,813,1574,0.483,960,1858,0.484
20240719,22:13,7,DL,4,Heat,5,1213,2535,0.52,1048,2215,0.545,1226,2696,0.545,1162.333333,2482,0.5366666667
20240719,22:13,4,DL,1,Control,7,964,1839,0.476,684,1410,0.515,648,1339,0.516,765.3333333,1529.333333,0.5023333333
20240719,22:13,4,DL,2,Control,14,872,1960,0.555,859,1901,0.548,680,1435,0.526,803.6666667,1765.333333,0.543
20240719,22:13,4,MD,2,Control,22,943,2075,546,1408,3264,0.569,1612,3475,0.536,1321,2938,182.3683333
20240719,22:13,4,MD,1,Control,2,1084,1894,0.428,754,1304,0.422,567,1119,0.493,801.6666667,1439,0.4476666667
20240719,22:13,4,DL,3,Control,6,476,955,0.502,647,1338,0.56,852,1804,0.528,658.3333333,1365.666667,0.53
20240719,22:13,4,DL,2,Control,18,610,1340,0.545,845,1902,0.556,623,1319,0.528,692.6666667,1520.333333,0.543
20240719,22:13,4,MD,1,Control,7,1113,2092,0.468,888,1848,0.519,620,1073,0.422,873.6666667,1671,0.4696666667
20240719,22:13,4,DL,4,Control,7,646,1522,0.574,855,2049,0.583,720,1731,0.584,740.3333333,1767.333333,0.5803333333
