DateMeasured,TimeMeasured,Tank,Species,Colony,Treatment,ID,Fo(I),Fm(I),Y(I),Fo(II),Fm(II),Y(II),Fo(III),Fm(III),Y(III),Fo (avg),Fm(avg),Y(avg)
20240723,4:08,6,DL,1,Heat,22,649,1208,0.461,569,1100,0.433,687,1331,0.484,635,1213,0.4593333333
20240723,4:08,6,MD,1,Heat,17,814,1433,0.451,737,1383,0.467,808,1566,0.484,786.3333333,1460.666667,0.4673333333
20240723,4:08,6,MD,2,Heat,3,692,1396,0.446,1500,3245,0.535,1808,3552,0.491,1333.333333,2731,0.4906666667
20240723,4:08,6,DL,4,Heat,20,991,2221,0.554,777,1711,0.546,910,2041,0.554,892.6666667,1991,0.5513333333
20240723,4:08,6,MD,4,Heat,7,943,1886,0.514,905,1795,0.496,456,862,0.471,768,1514.333333,0.4936666667
20240723,4:08,6,DL,1,Heat,18,852,1343,0.366,781,1276,0.387,848,1474,0.425,827,1364.333333,0.3926666667
20240723,4:08,6,DL,2,Heat,7,1003,1898,0.472,739,1467,0.506,945,1798,0.479,895.6666667,1721,0.4856666667
20240723,4:08,6,DL,3,Heat,7,731,1574,0.536,771,1629,0.527,843,1681,0.491,781.6666667,1628,0.518
20240723,4:08,6,MD,1,Heat,21,799,1509,0.471,865,1728,0.499,818,1744,0.541,827.3333333,1660.333333,0.5036666667
20240723,4:08,6,DL,4,Heat,9,478,1072,0.554,429,1741,0.581,431,973,0.557,446,1262,0.564
20240723,4:08,6,DL,2,Heat,10,922,2012,0.514,1047,2285,0.542,952,2002,0.524,973.6666667,2099.666667,0.5266666667
20240723,4:08,6,DL,3,Heat,17,762,1662,0.542,599,1276,0.531,523,1125,0.535,628,1354.333333,0.536
20240723,4:08,6,MD,2,Heat,14,827,1666,0.504,1338,2689,0.522,1183,2307,0.487,1116,2220.666667,0.5043333333
20240723,4:08,6,MD,5,Heat,11,1286,2208,0.418,639,1190,0.449,1293,2302,0.438,1072.666667,1900,0.435
20240723,4:08,6,MD,5,Heat,16,471,620,0.488,1104,2015,0.425,412,1605,0.399,662.3333333,1413.333333,0.4373333333
20240723,4:08,6,MD,4,Heat,6,619,1599,0.567,999,1798,0.444,854,1742,0.51,824,1713,0.507
20240723,4:08,7,DL,4,Heat,16,367,835,0.56,612,1458,0.542,513,1219,0.579,497.3333333,1170.666667,0.5603333333
20240723,4:08,7,DL,4,Heat,5,783,1839,0.574,871,2071,0.578,895,2132,0.58,849.6666667,2014,0.5773333333
20240723,4:08,7,DL,2,Heat,22,762,1888,0.584,822,1936,0.571,453,1061,0.574,679,1628.333333,0.5763333333
20240723,4:08,7,DL,3,Heat,20,588,1298,0.547,676,1488,0.546,648,1418,0.543,637.3333333,1401.333333,0.5453333333
20240723,4:08,7,DL,2,Heat,12,525,1236,0.575,598,1475,0.565,605,1563,0.463,576,1424.666667,0.5343333333
20240723,4:08,7,DL,1,Heat,3,722,1554,0.502,847,1602,0.471,752,1495,0.497,773.6666667,1550.333333,0.49
20240723,4:08,7,DL,3,Heat,2,520,1179,0.559,727,1448,0.51,624,1332,0.531,623.6666667,1319.666667,0.5333333333
20240723,4:08,7,DL,1,Heat,11,806,1599,0.496,895,1708,0.476,850,1732,0.508,850.3333333,1679.666667,0.4933333333
20240723,4:08,7,MD,5,Heat,8,1419,2186,0.354,1152,2108,0.454,1079,2269,0.524,1216.666667,2187.666667,0.444
20240723,4:08,7,MD,5,Heat,10,1089,2182,0.501,1023,1734,0.41,1019,1879,0.556,1043.666667,1931.666667,0.489
20240723,4:08,7,MD,1,Heat,22,714,1308,0.454,1079,1921,0.409,855,1550,0.448,882.6666667,1593,0.437
20240723,4:08,7,MD,4,Heat,18,1057,2147,0.503,976,2253,0.525,1029,1869,0.449,1020.666667,2089.666667,0.4923333333
20240723,4:08,7,MD,4,Heat,16,762,1624,0.532,963,2121,0.546,1433,2723,0.471,1052.666667,2156,0.5163333333
20240723,4:08,7,MD,2,Heat,26,1008,1803,0.445,1106,2263,0.494,898,1714,0.497,1004,1926.666667,0.4786666667
20240723,4:08,7,MD,2,Heat,12,647,1317,0.528,1121,2264,0.505,902,2014,0.552,890,1865,0.5283333333
20240723,4:08,7,MD,1,Heat,26,814,1464,0.416,1060,2105,0.496,1184,2196,0.484,1019.333333,1921.666667,0.4653333333
20240723,4:08,4,MD,2,Control,22,1710,3676,0.535,1522,3447,0.558,721,1130,0.362,1317.666667,2751,0.485
20240723,4:08,4,MD,4,Control,1,1181,2692,0.561,1186,2622,0.548,1052,3331,0.549,1139.666667,2881.666667,0.5526666667
20240723,4:08,4,MD,1,Control,3,449,944,0.524,414,767,0.463,1442,2518,0.427,768.3333333,1409.666667,0.4713333333
20240723,4:08,4,MD,4,Control,10,1276,2314,0.45,783,1384,0.434,653,1263,0.483,904,1653.666667,0.4556666667
20240723,4:08,4,MD,1,Control,2,982,1844,0.467,598,1200,0.503,1030,2030,0.493,870,1691.333333,0.4876666667
20240723,4:08,4,MD,2,Control,15,389,918,0.546,990,2176,0.545,916,2087,0.561,765,1727,0.5506666667
20240723,4:08,4,MD,5,Control,19,929,1813,0.489,694,1320,0.474,969,2071,0.532,864,1734.666667,0.4983333333
20240723,4:08,4,MD,5,Control,18,935,1901,0.508,1082,2023,0.513,965,1860,0.481,994,1928,0.5006666667
20240723,4:08,4,DL,1,Control,4,530,1270,0.583,591,1205,0.51,579,1318,0.561,566.6666667,1264.333333,0.5513333333
20240723,4:08,4,DL,2,Control,14,731,1717,0.574,786,1882,0.518,679,1932,0.589,732,1843.666667,0.5603333333
20240723,4:08,4,DL,3,Control,3,658,1635,0.598,655,1647,0.602,422,1167,0.638,578.3333333,1483,0.6126666667
20240723,4:08,4,DL,2,Control,2,752,1712,0.561,893,2019,0.558,639,2160,0.567,761.3333333,1963.666667,0.562
20240723,4:08,4,DL,3,Control,6,567,1306,0.526,793,1754,0.548,656,1514,0.567,672,1524.666667,0.547
20240723,4:08,4,DL,4,Control,7,685,1779,0.615,687,1764,0.611,606,1561,0.612,659.3333333,1701.333333,0.6126666667
20240723,4:08,4,DL,1,Control,7,533,1204,0.557,669,1553,0.506,506,1153,0.561,569.3333333,1303.333333,0.5413333333
20240723,4:08,4,DL,4,Control,18,797,2124,0.625,570,1507,0.622,423,1080,0.608,596.6666667,1570.333333,0.6183333333
20240723,4:08,5,DL,3,Control,24,708,1601,0.558,627,1461,0.571,909,2045,0.556,748,1702.333333,0.5616666667
20240723,4:08,5,DL,2,Control,11,1123,2586,0.566,1085,2499,0.566,1099,2467,0.555,1102.333333,2517.333333,0.5623333333
20240723,4:08,5,DL,4,Control,23,1046,2416,0.567,901,2093,0.57,659,1583,0.584,868.6666667,2030.666667,0.5736666667
20240723,4:08,5,DL,4,Control,3,1279,2923,0.562,1539,3339,0.539,1473,2936,0.498,1430.333333,3066,0.533
20240723,4:08,5,DL,3,Control,14,965,2214,0.564,673,1475,0.544,682,1650,0.587,773.3333333,1779.666667,0.565
20240723,4:08,5,DL,2,Control,9,934,2130,0.562,688,1626,0.577,866,2036,0.575,829.3333333,1930.666667,0.5713333333
20240723,4:08,5,DL,1,Control,14,601,1056,0.432,541,920,0.412,628,1193,0.474,590,1056.333333,0.4393333333
20240723,4:08,5,DL,1,Control,10,665,1328,0.499,719,1470,0.511,871,1750,0.502,751.6666667,1516,0.504
