DateMeasured,TimeMeasured,Tank,Species,Colony,Treatment,ID,Fo(I),Fm(I),Y(I),Fo(II),Fm(II),Y(II),Fo(III),Fm(III),Y(III),Fo(avg),Fm(avg),Y(avg)
20240726,2:00,3,MD,2,low_pH,10,1013,2296,0.559,784,1719,0.559,877,1949,0.55,891.3333333,1988,0.556
20240726,2:00,3,DL,4,low_pH,11,807,1922,0.58,706,1817,0.261,801,2112,0.621,771.3333333,1950.333333,0.4873333333
20240726,2:00,3,DL,1,low_pH,13,660,1308,0.495,765,1548,0.506,627,1281,0.511,684,1379,0.504
20240726,2:00,3,MD,1,low_pH,8,1106,2193,0.473,1237,2458,0.497,1106,2134,0.418,1149.666667,2261.666667,0.4626666667
20240726,2:00,3,MD,5,low_pH,22,241,836,0.496,660,1251,0.472,11.15,2018,0.464,304.05,1368.333333,0.4773333333
20240726,2:00,3,DL,2,low_pH,20,742,1768,0.58,647,1580,0.594,700,1675,0.581,696.3333333,1674.333333,0.585
20240726,2:00,3,DL,4,low_pH,22,807,2082,0.612,802,2126,0.609,800,2047,0.609,803,2085,0.61
20240726,2:00,3,DL,3,low_pH,17,680,1570,0.568,784,1743,0.571,827,1923,0.57,763.6666667,1745.333333,0.5696666667
20240726,2:00,3,DL,2,low_pH,3,871,1959,0.555,906,2045,0.557,1061,2260,0.531,946,2088,0.5476666667
20240726,2:00,3,DL,3,low_pH,11,627,1380,0.546,805,1894,0.576,959,2041,0.53,797,1771.666667,0.5506666667
20240726,2:00,3,DL,1,low_pH,1,773,1659,0.534,708,1546,0.542,636,1441,0.555,705.6666667,1548.666667,0.5436666667
20240726,2:00,3,MD,4,low_pH,25,1009,1800,0.438,645,1187,0.457,1151,5291,0.498,935,2759.333333,0.4643333333
20240726,2:00,3,MD,4,low_pH,24,466,925,0.496,478,1038,0.539,443,849,0.417,462.3333333,937.3333333,0.484
20240726,2:00,3,MD,1,low_pH,10,1313,2384,0.449,1324,2423,0.454,1317,2564,0.466,1318,2457,0.4563333333
20240726,2:00,3,MD,5,low_pH,3,969,1817,0.467,714,1385,0.484,843,1763,0.522,842,1655,0.491
20240726,2:00,3,MD,2,low_pH,17,678,1492,0.426,780,1707,0.494,1341,2898,0.524,933,2032.333333,0.4813333333
20240726,2:00,2,DL,4,low_pH,24,770,1891,0.593,640,1649,0.612,708,1829,0.613,706,1789.666667,0.606
20240726,2:00,2,MD,4,low_pH,5,837,1712,0.511,857,1751,0.511,1066,2467,0.568,920,1976.666667,0.53
20240726,2:00,2,MD,4,low_pH,21,824,1475,0.441,599,1044,0.426,915,1856,0.507,779.3333333,1458.333333,0.458
20240726,2:00,2,DL,4,low_pH,17,794,1837,0.568,749,1879,0.601,1076,2620,0.589,873,2112,0.586
20240726,2:00,2,MD,1,low_pH,6,701,1508,0.535,678,1404,0.517,798,1675,0.524,725.6666667,1529,0.5253333333
20240726,2:00,2,MD,1,low_pH,4,1015,1811,0.44,730,1586,0.54,687,1334,0.485,810.6666667,1577,0.4883333333
20240726,2:00,2,DL,1,low_pH,16,562,1245,0.549,694,1538,0.548,745,1624,0.541,667,1469,0.546
20240726,2:00,2,DL,1,low_pH,17,442,1028,0.57,474,1149,0.587,654,1484,0.559,523.3333333,1220.333333,0.572
20240726,2:00,2,DL,2,low_pH,16,719,1690,0.574,681,1613,0.578,879,2701,0.576,759.6666667,2001.333333,0.576
20240726,2:00,2,DL,2,low_pH,19,736,1791,0.589,787,1803,0.564,781,1865,0.581,768,1819.666667,0.578
20240726,2:00,2,MD,2,low_pH,20,1076,2257,0.523,587,1284,0.543,1476,3360,0.561,1046.333333,2300.333333,0.5423333333
20240726,2:00,2,MD,2,low_pH,9,1150,2533,0.546,936,2153,0.565,1066,2589,0.588,1050.666667,2425,0.5663333333
20240726,2:00,2,DL,3,low_pH,18,592,1420,0.583,592,1432,0.587,658,1573,0.582,614,1475,0.584
20240726,2:00,2,DL,3,low_pH,16,913,2173,0.58,1128,2701,0.582,1031,2400,0.576,1024,2424.666667,0.5793333333
20240726,2:00,2,MD,5,low_pH,17,1130,2057,0.451,842,1740,0.516,1159,2317,0.502,1043.666667,2038,0.4896666667
20240726,2:00,2,MD,5,low_pH,25,973,1860,0.477,920,1946,0.527,5911,1057,0.438,2601.333333,1621,0.4806666667
20240726,2:00,4,MD,5,Control,24,975,2049,0.524,1412,2638,0.465,848,1606,0.472,1078.333333,2097.666667,0.487
20240726,2:00,4,MD,5,Control,18,881,1938,0.545,743,1550,0.521,879,1819,0.571,834.3333333,1769,0.5456666667
20240726,2:00,4,MD,4,Control,19,1393,2836,0.509,1084,2263,0.521,1465,2838,0.484,1314,2645.666667,0.5046666667
20240726,2:00,4,MD,4,Control,17,749,1732,0.568,635,1510,0.579,435,950,0.542,606.3333333,1397.333333,0.563
20240726,2:00,4,MD,2,Control,1,1429,2715,0.47,1372,2620,0.476,960,1898,0.517,1253.666667,2411,0.4876666667
20240726,2:00,4,MD,1,Control,7,928,1660,0.441,855,1503,0.431,773,1426,0.458,852,1529.666667,0.4433333333
20240726,2:00,4,MD,2,Control,19,1126,2294,0.509,1084,2519,0.507,1083,2236,0.516,1097.666667,2349.666667,0.5106666667
20240726,2:00,4,MD,1,Control,25,857,1732,0.505,989,2074,0.523,720,1566,0.54,855.3333333,1790.666667,0.5226666667
20240726,2:00,4,DL,1,Control,7,581,1337,0.565,673,1370,0.571,452,1075,0.58,568.6666667,1260.666667,0.572
20240726,2:00,4,DL,1,Control,4,557,1215,0.542,546,1229,0.55,624,1286,0.516,575.6666667,1243.333333,0.536
20240726,2:00,4,DL,3,Control,3,652,1629,0.6,602,1520,0.604,685,1726,0.603,646.3333333,1625,0.6023333333
20240726,2:00,4,DL,3,Control,19,623,1584,0.607,552,1423,0.612,626,1660,0.613,600.3333333,1555.666667,0.6106666667
20240726,2:00,4,DL,2,Control,4,971,2281,0.574,848,1935,0.562,956,2171,0.56,925,2129,0.5653333333
20240726,2:00,4,DL,2,Control,2,853,1976,0.568,839,1950,0.57,955,2109,0.547,882.3333333,2011.666667,0.5616666667
20240726,2:00,4,DL,4,Control,18,602,1552,0.614,596,1659,0.641,681,791,0.62,626.3333333,1334,0.625
20240726,2:00,4,DL,4,Control,1,812,2165,0.625,639,1690,0.622,629,1619,0.611,693.3333333,1824.666667,0.6193333333
20240726,2:00,5,MD,1,Control,14,626,1212,0.483,1438,2708,0.469,1387,2643,0.475,1150.333333,2187.666667,0.4756666667
20240726,2:00,5,MD,1,Control,9,1658,2844,0.417,519,1126,0.539,1822,3276,0.444,1333,2415.333333,0.4666666667
20240726,2:00,5,MD,2,Control,8,1272,2925,0.565,1130,2373,0.524,1477,3144,0.33,1293,2814,0.473
20240726,2:00,5,MD,2,Control,18,1161,2530,0.541,1345,1315,0.554,918,2016,0.455,1141.333333,1953.666667,0.5166666667
20240726,2:00,5,MD,4,Control,20,690,1505,0.595,890,1816,0.51,1339,2372,0.435,973,1897.666667,0.5133333333
20240726,2:00,5,MD,4,Control,2,502,999,0.497,644,1424,0.548,675,1339,0.496,607,1254,0.5136666667
20240726,2:00,5,MD,5,Control,6,921,1619,0.431,1096,1907,0.425,1470,2534,0.441,1162.333333,2020,0.4323333333
20240726,2:00,5,MD,5,Control,21,954,1556,0.387,824,1462,0.436,465,752,0.318,747.6666667,1256.666667,0.3803333333
20240726,2:00,5,DL,3,Control,1,691,1607,0.57,695,1598,0.565,761,1678,0.346,715.6666667,1627.666667,0.4936666667
20240726,2:00,5,DL,3,Control,14,654,1566,0.584,934,2128,0.561,715,1685,0.376,767.6666667,1793,0.507
20240726,2:00,5,DL,1,Control,10,653,1396,0.532,629,1381,0.545,746,1634,0.542,676,1470.333333,0.5396666667
20240726,2:00,5,DL,1,Control,14,610,1310,0.534,590,1249,0.528,449,678,0.541,549.6666667,1079,0.5343333333
20240726,2:00,5,DL,2,Control,26,911,1959,0.535,844,1893,0.554,928,2005,0.537,894.3333333,1952.333333,0.542
20240726,2:00,5,DL,2,Control,11,905,2025,0.553,823,1899,0.567,797,1764,0.548,841.6666667,1896,0.556
20240726,2:00,5,DL,4,Control,23,676,1727,0.609,645,1606,0.598,866,1970,0.591,729,1767.666667,0.5993333333
20240726,2:00,5,DL,4,Control,3,1521,3381,0.55,987,2203,0.552,954,1992,0.521,1154,2525.333333,0.541
20240726,2:00,6,MD,5,Control,7,1029,1823,0.436,937,1693,0.447,1052,2032,0.618,1006,1849.333333,0.5003333333
20240726,2:00,6,MD,5,Control,15,952,1654,0.424,1315,2536,0.481,1617,3118,0.493,1294.666667,2436,0.466
20240726,2:00,6,MD,1,Control,17,1030,1388,0.258,975,1316,0.259,938,1498,0.374,981,1400.666667,0.297
20240726,2:00,6,MD,1,Control,21,876,1671,0.476,669,1217,0.45,869,1602,0.458,804.6666667,1496.666667,0.4613333333
20240726,2:00,6,MD,2,Control,3,461,2687,0.456,1396,3139,0.555,1167,2126,0.451,1008,2650.666667,0.4873333333
20240726,2:00,6,MD,2,Control,14,1136,2453,0.457,2000,2693,0.554,1287,2823,0.544,1474.333333,2656.333333,0.5183333333
20240726,2:00,6,MD,4,Control,7,748,1847,0.461,927,1484,0.375,649,1024,0.366,774.6666667,1451.666667,0.4006666667
20240726,2:00,6,MD,4,Control,23,993,1561,0.364,1114,1858,0.4,1196,1925,0.379,1101,1781.333333,0.381
20240726,2:00,6,DL,1,Control,18,716,1456,0.508,629,1421,5.24,805,1652,0.513,716.6666667,1509.666667,2.087
20240726,2:00,6,DL,1,Control,23,883,1805,0.511,833,1722,0.516,604,1323,0.543,773.3333333,1616.666667,0.5233333333
20240726,2:00,6,DL,4,Control,20,920,2203,0.582,919,2229,0.588,892,2291,0.611,910.3333333,2241,0.5936666667
20240726,2:00,6,DL,3,Control,22,699,1642,0.574,618,1458,0.576,632,1450,0.564,649.6666667,1516.666667,0.5713333333
20240726,2:00,6,DL,3,Control,5,893,1908,0.532,740,1622,0.543,680,1520,0.553,771,1683.333333,0.5426666667
20240726,2:00,6,DL,4,Control,9,653,1609,0.594,661,1555,0.59,677,1630,0.585,663.6666667,1598,0.5896666667
20240726,2:00,6,DL,2,Control,7,761,1664,0.543,702,1578,0.555,713,1618,0.559,725.3333333,1620,0.5523333333
20240726,2:00,6,DL,2,Control,13,735,1683,0.563,773,1821,0.576,745,1708,0.564,751,1737.333333,0.5676666667
20240726,2:00,7,DL,2,Control,24,789,1790,0.55,769,1695,0.551,684,1548,0.558,747.3333333,1677.666667,0.553
20240726,2:00,7,DL,1,Control,11,742,1575,0.529,749,1597,0.539,704,1472,0.528,731.6666667,1548,0.532
20240726,2:00,7,DL,4,Control,25,1006,2408,0.518,832,1977,0.579,855,2075,0.588,897.6666667,2153.333333,0.5616666667
20240726,2:00,7,MD,2,Control,7,1022,1634,0.578,1089,2999,0.509,1106,2373,0.534,1072.333333,2335.333333,0.5403333333
20240726,2:00,7,MD,5,Control,10,1011,1549,0.453,757,1602,0.527,951,1674,0.432,906.3333333,1608.333333,0.4706666667
20240726,2:00,7,MD,4,Control,18,1270,2434,0.478,1381,2713,0.491,1256,2409,0.479,1302.333333,2518.666667,0.4826666667
20240726,2:00,7,MD,5,Control,26,7716,1382,0.411,695,1260,0.448,927,1585,0.415,3112.666667,1409,0.4246666667
20240726,2:00,7,MD,1,Control,26,1156,2386,0.516,1242,2619,0.512,1063,2003,0.469,1153.666667,2336,0.499
20240726,2:00,7,MD,4,Control,11,440,1043,0.482,1018,1638,0.237,1067,2013,0.47,841.6666667,1564.666667,0.3963333333
20240726,2:00,7,DL,3,Control,20,685,1595,0.571,623,1412,0.559,670,1531,0.526,659.3333333,1512.666667,0.552
20240726,2:00,7,DL,3,Control,2,620,1347,0.54,732,1606,0.544,744,1604,0.536,698.6666667,1519,0.54
20240726,2:00,7,DL,2,Control,22,668,1570,0.575,748,1736,0.569,768,1766,0.565,728,1690.666667,0.5696666667
20240726,2:00,7,DL,1,Control,26,609,1411,0.568,646,1560,0.574,739,1694,0.564,664.6666667,1555,0.5686666667
20240726,2:00,7,DL,4,Control,5,957,2210,0.586,984,2408,0.591,992,2378,0.583,977.6666667,2332,0.5866666667
20240726,2:00,7,MD,1,Control,22,879,1634,0.462,1030,1981,0.48,1051,1950,0.467,986.6666667,1855,0.4696666667
20240726,2:00,7,MD,2,Control,12,904,1920,0.529,635,1372,537,901,1881,0.521,813.3333333,1724.333333,179.35
