Date_Processed,well,Fragment_ID
20240212,A2,MD-2-21
20240212,H11,MD-2-21
20240212,B6,MD-1-5
20240212,F11,MD-1-5
20240212,C1,MD-1-14
20240212,D11,MD-1-14
20240212,F6,DL-1-15
20240212,C10,DL-1-15
20240212,G1,MD-2-19
20240212,C12,MD-2-19
20240212,A3,DL-3-14
20240212,H10,DL-3-14
20240212,B3,DL-1-17
20240212,E8,DL-1-17
20240212,D6,MD-2-7
20240212,H7,MD-2-7
20240212,D3,DL-1-11
20240212,G10,DL-1-11
20240212,C6,DL-3-18
20240212,H9,DL-3-18
20240212,E1,MD-1-24
20240212,G12,MD-1-24
20240212,F7,DL-1-6
20240212,C2,DL-1-6
20240212,A4,MD-5-3
20240212,F9,MD-5-3
20240212,B1,DL-2-24
20240212,H8,DL-2-24
20240212,H6,DL-3-9
20240212,E10,DL-3-9
20240212,D1,MD-1-13
20240212,H4,MD-1-13
20240212,A5,DL-3-6
20240212,G8,DL-3-6
20240212,H3,MD-1-20
20240212,A8,MD-1-20
20240212,A10,DL-2-22
20240212,E11,DL-2-22
20240212,G7,DL-4-25
20240212,A7,DL-4-25
20240212,A1,StandardA
20240212,H12,StandardA
20240212,B2,StandardB
20240212,G11,StandardB
20240212,C3,StandardC
20240212,F10,StandardC
20240212,D4,StandardD
20240212,E9,StandardD
20240212,E5,StandardE
20240212,F8,StandardE
20240212,F1,StandardF
20240212,E12,StandardF
20240212,G2,StandardG
20240212,F12,StandardG
20240212,H5,StandardH
20240212,A9,StandardH
20240212,C5,StandardI
20240212,G9,StandardI
