Date,Species,fragment_ID,surface.area.cm2,Notes
20240716,Diploria labyrinthiformis,DL-3-4,25,
20240716,Diploria labyrinthiformis,DL-2-14,25,
20240716,Diploria labyrinthiformis,DL-2-18,25,
20240716,Madracis decactis,MD-4-19,25,
20240716,Madracis decactis,MD-1-7,25,
20240716,Madracis decactis,MD-4-10,25,
20240716,Diploria labyrinthiformis,DL-5-18,25,
20240716,Diploria labyrinthiformis,DL-4-1,25,
20240716,Madracis decactis,MD-4-1,25,
20240716,Madracis decactis,MD-5-14,25,
20240716,BLANK,BLANK-1,1,
20240716,Diploria labyrinthiformis,DL-4-18,25,
20240716,Madracis decactis,MD-1-24,25,
20240716,Diploria labyrinthiformis,DL-4-3,25,
20240716,Diploria labyrinthiformis,DL-4-23,25,
20240716,Madracis decactis,MD-2-5,25,
20240716,Diploria labyrinthiformis,DL-2-26,25,
20240716,Madracis decactis,MD-4-20,25,
20240716,BLANK,BLANK-2,25,
20240716,Madracis decactis,MD-1-9,1,
20240716,Diploria labyrinthiformis,DL-2-11,25,
20240716,Diploria labyrinthiformis,DL-4-4,25,
20240716,Madracis decactis,MD-4-26,25,
20240716,Madracis decactis,MD-5-21,25,
20240716,Diploria labyrinthiformis,DL-4-17,25,
20240716,Diploria labyrinthiformis,DL-3-9,25,
20240716,Madracis decactis,MD-5-1 ,25,
20240716,Madracis decactis,MD-2-20,25,
20240716,Madracis decactis,MD-5-25,25,
20240716,Diploria labyrinthiformis,DL-3-16,25,
20240716,Diploria labyrinthiformis,DL-2-8,25,
20240716,Madracis decactis,MD-2-9,25,
20240716,Madracis decactis,MD-2-25,25,
20240716,BLANK,BLANK-3,1,
20240716,Diploria labyrinthiformis,DL-1-21,25,
20240716,Madracis decactis,MD-5-17,25,
20240716,Madracis decactis,MD-1-18,25,
20240716,Madracis decactis,MD-4-24,25,
20240716,BLANK,BLANK-4,1,
20240716,Diploria labyrinthiformis,DL-2-20,25,
20240716,Diploria labyrinthiformis,DL-2-21,25,
20240716,Diploria labyrinthiformis,DL-3-17,25,
20240716,Madracis decactis,MD-2-17,25,
20240716,Diploria labyrinthiformis,DL-4-12,25,
20240716,Madracis decactis,MD-1-8,25,
20240716,Madracis decactis,MD-5-23,25,
20240716,Diploria labyrinthiformis,DL-4-22,25,
20240716,Diploria labyrinthiformis,DL-2-3,25,
20240716,BLANK,BLANK-5,1,
20240716,Madracis decactis,MD-2-4,25,
20240716,Madracis decactis,MD-1-15,25,
20240716,Diploria labyrinthiformis,DL-2-13,25,
20240716,Madracis decactis,MD-5-7,25,
20240716,Madracis decactis,MD-5-11,25,
20240716,Diploria labyrinthiformis,DL-2-10,25,
20240716,Diploria labyrinthiformis,DL-2-15,25,
20240716,Diploria labyrinthiformis,DL-1-9,25,
20240716,Madracis decactis,MD-2-14,25,
20240716,Madracis decactis,MD-4-7,25,
20240716,Diploria labyrinthiformis,DL-2-7,25,
20240716,Madracis decactis,MD-5-10,25,
20240716,Diploria labyrinthiformis,DL-3-13,25,
20240716,Madracis decactis,MD-2-12,25,
20240716,Madracis decactis,MD-5-20,25,
20240716,Madracis decactis,MD-1-12,25,
20240716,Diploria labyrinthiformis,DL-3-2,25,
20240716,Diploria labyrinthiformis,DL-4-19,25,
20240716,Diploria labyrinthiformis,DL-1-11,25,
20240716,Diploria labyrinthiformis,DL-2-13,25,
20240716,Madracis decactis,MD-1-5,25,
20240716,Madracis decactis,MD-4-18,25,
20240716,Madracis decactis,MD-2-1,25,
20240717,Madracis decactis,MD-2-19,25,
20240717,Madracis decactis,MD-5-19,25,
20240717,Diploria labyrinthiformis,DL-2-4,25,
20240717,Diploria labyrinthiformis,DL-1-4,25,
20240717,Diploria labyrinthiformis,DL-1-19,25,
20240717,Madracis decactis,MD-1-2 ,25,
20240717,BLANK,BLANK-6,1,
20240717,Madracis decactis,MD-2-22,25,
20240717,Diploria labyrinthiformis,DL-4-2,25,
20240717,Madracis decactis,MD-1-3,25,
20240717,Madracis decactis,MD-1-25,25,
20240717,Diploria labyrinthiformis,DL-2-2,25,
20240717,Madracis decactis,MD-5-6,25,
20240717,Diploria labyrinthiformis,MD-4-2,25,
20240717,Diploria labyrinthiformis,DL-1-14,25,
20240717,BLANK,BLANK-7,1,
20240717,Diploria labyrinthiformis,DL-2-9,25,
20240717,Madracis decactis,MD-5-9,25,
20240717,Diploria labyrinthiformis,DL-3-14,25,
20240717,Madracis decactis,MD-4-13,25,
20240717,Diploria labyrinthiformis,DL-3-24,25,
20240717,Madracis decactis,MD-2-6,25,
20240717,Diploria labyrinthiformis,DL-1-10,25,
20240717,Madracis decactis,MD-1-14,25,
20240717,Madracis decactis,MD-2-10,25,
20240717,Diploria labyrinthiformis,DL-4-17,25,
20240717,Diploria labyrinthiformis,DL-3-11,25,
20240717,Madracis decactis,MD-1-10,25,
20240717,Madracis decactis,MD-5-13,25,
20240717,Madracis decactis,MD-2-20,25,
20240717,Diploria labyrinthiformis,DL-2-1,25,
20240717,Madracis decactis,MD-4-25,25,
20240717,Madracis decactis,MD-4-22,25,
20240717,Diploria labyrinthiformis,DL-1-6,25,
20240717,Diploria labyrinthiformis,DL-1-21,25,
20240717,BLANK,BLANK-8,1,
20240717,Madracis decactis,MD-4-9,25,
20240717,BLANK,BLANK-9,1,
20240717,Diploria labyrinthiformis,DL-2-16,25,
20240717,Madracis decactis,MD-4-5,25,
20240717,Diploria labyrinthiformis,DL-1-15,25,
20240717,Madracis decactis,MD-1-6,25,
20240717,Madracis decactis,MD-4-21,25,
20240717,Diploria labyrinthiformis,DL-1-16,25,
20240717,Madracis decactis,MD-1-4,25,
20240717,Diploria labyrinthiformis,DL-3-25,25,
20240717,Madracis decactis,MD-1-13,25,
20240717,Diploria labyrinthiformis,DL-2-19,25,
20240717,Madracis decactis,MD-1-17,25,
20240717,Madracis decactis,MD-4-6,25,
20240717,Madracis decactis,MD-2-4,25,
20240717,Diploria labyrinthiformis,DL-3-22,25,
20240717,Diploria labyrinthiformis,DL-1-18,25,
20240717,Diploria labyrinthiformis,DL-1-20,25,
20240717,Diploria labyrinthiformis,DL-3-26,25,
20240717,Madracis decactis,MD-5-16,25,
20240717,Madracis decactis,MD-5-15,25,
20240717,BLANK,BLANK-10,1,
20240717,Madracis decactis,MD-1-15,25,
20240717,Madracis decactis,MD-1-21,25,
20240717,BLANK,BLANK-11,1,
20240717,Madracis decactis,MD-4-4,25,
20240717,Madracis decactis,MD-1-22,25,
20240717,Madracis decactis,MD-5-8,25,
20240717,Madracis decactis,MD-5-4,25,
20240717,Diploria labyrinthiformis,DL-3-13,25,
20240717,Madracis decactis,MD-4-11,25,
20240717,Diploria labyrinthiformis,DL-2-22,25,
20240717,Madracis decactis,MD-2-24,25,
20240717,Diploria labyrinthiformis,DL-3-10,25,
20240717,Madracis decactis,MD-4-5,25,
20240717,Madracis decactis,MD-2-7,25,
