Colony_id,Replicate,Species,Tank,Sample_date,Diamerter,weight_before_g,weight_after_g
DL-extra,extra,Diploria labrinthiformis,4,20240815,,23.6854,24.592
DL-4-34,extra,Diploria labrinthiformis,4,20240815,,33.0543,34.1639
MD-1-36,extra,Madracis decactis,3,20240815,,20.3003,22.0771
DL-4-12,2,Diploria labrinthiformis,3,20240815,,15.0023,15.8136
DL-4-16,2,Diploria labrinthiformis,7,20240723,,16.0178,17.6071
DL-2-2,1,Diploria labrinthiformis,4,20240815,,30.113,31.4031
DL-1-13,1,Diploria labrinthiformis,3,20240815,,20.2682,21.3566
DL-2-25,2,Diploria labrinthiformis,5,20240815,,32.094,33.3674
DL-3-13,2,Diploria labrinthiformis,7,20240723,,17.8256,18.6744
MD-1-14,2,Madracis decactis,5,20240806,,8.3696,8.89371
MD-1-20,1,Madracis decactis,3,20240723,,4.0472,4.3059
MD-5-22,1,Madracis decactis,3,20240815,,22.8442,23.9156
MD-4-23,2,Madracis decactis,6,20240806,,6.9801,7.2433
DL-2-10,2,Diploria labrinthiformis,6,20240815,,17.4951,18.1785
MD-4-27,extra,Madracis decactis,5,20240815,,10.8027,11.3747
DL-1-15,2,Diploria labrinthiformis,2,20240723,,25.8265,26.9834
DL-3-14,1,Diploria labrinthiformis,5,20240815,,11.0796,11.6529
MD-4-7,1,Madracis decactis,6,20240815,,23.1542,24.0029
DL-2-21,1,Diploria labrinthiformis,3,20240723,,27.1928,28.769
MD-4-1,1,Madracis decactis,4,20240723,,6.2684,6.5977
MD-2-2,2,Madracis decactis,2,20240806,,3.664,4.0304
DL-1-6,2,Diploria labrinthiformis,3,20240815,,16.3226,17.2523
DL-3-30,extra,Diploria labrinthiformis,5,20240815,,16.8237,17.5969
MD-4-35,extra,Madracis decactis,3,20240815,,10.8849,11.3669
DL-3-6,1,Diploria labrinthiformis,4,20240723,,21.6976,22.6049
DL-4-17,2,Diploria labrinthiformis,2,20240815,,34.252,35.3155
DL-3-11,1,Diploria labrinthiformis,3,20240815,,21.0605,21.9056
DL-2-4,2,Diploria labrinthiformis,4,20240815,,19.0039,19.9409
MD-1-5,2,Madracis decactis,7,20240723,,7.6241,8.1645
DL-1-28,extra,Diploria labrinthiformis,3,20240815,,23.7424,24.7754
MD-4-22,1,Madracis decactis,3,20240815,,21.3754,22.8781
MD-1-8,1,Madracis decactis,3,20240806,,7.2584,7.6113
MD-4-10,1,Madracis decactis,4,20240815,,18.1888,19.2535
DL-1-17,2,Diploria labrinthiformis,2,20240815,,21.5028,22.997
DL-2-24,1,Diploria labrinthiformis,7,20240815,,20.9768,22.1112
DL-2-26,1,Diploria labrinthiformis,5,20240815,,21.7263,22.9065
MD-1-2,1,Madracis decactis,4,20240806,,15.592,16.665
MD-4-26,2,Madracis decactis,5,20240815,,11.3943,12.0845
DL-1-19,2,Diploria labrinthiformis,4,20240815,,15.5515,16.6831
MD-1-16,1,Madracis decactis,6,20240815,,18.3104,19.6878
DL-3-19,2,Diploria labrinthiformis,4,20240815,,22.8064,23.9123
MD-5-2,2,Madracis decactis,acclimation,20240709,,9.364,9.9178
DL-4-1,1,Diploria labrinthiformis,4,20240815,,33.5802,35.7224
DL-2-19,1,Diploria labrinthiformis,2,20240815,,20.4973,21.6957
DL-4-22,1,Diploria labrinthiformis,3,20240815,,8.3851,9.218
MD-2-18,2,Madracis decactis,5,20240815,,12.4903,13.2281
MD-4-2,1,Madracis decactis,5,20240815,,12.0374,12.6558
MD-4-24,2,Madracis decactis,3,20240815,,6.3002,6.5891
DL-3-9,2,Diploria labrinthiformis,2,20240815,,7.2307,7.9171
DL-3-8,2,Diploria labrinthiformis,3,20240815,,18.9966,19.8077
MD-2-35,extra,Madracis decactis,2,20240815,,10.5212,11.146
