Current Date: 18-Jul-2025,,,,,,
Instrument Serial Number: 8470050237,,,,,,
Software Name: InCyte,,,,,,
Version Number: 3.4,,,,,,
,,,,,,
,,,,,,
  Well ,  Sample ID ,Dilution,  Date , Phytoplankton.Percent Percent gated by Phytoplankton  (%) , Phytoplankton.Count Count gated by Phytoplankton, Phytoplankton.Concentration Concentration gated by Phytoplankton  (cells/mL) 
 A01, DL-2-9,0.8, 07.18.2025,100,3525,271402.3144
 A02,BLANK,0, 07.18.2025,100,17,137.4273974
 A03,MD-1-22,0.5, 07.18.2025,100,4568,649950.3596
 A04,DL-3-25,0.3, 07.18.2025,100,4319,357691.3994
 A06, DL-2-9,0.5, 07.18.2025,100,3852,293748.6209
 A08, DL-2-9,0.3, 07.18.2025,100,3853,233532.2096
 A12,DL-3-25,0.2, 07.18.2025,100,4385,262072.013
 B02,MD-2-11,0.2, 07.18.2025,100,4053,201324.734
 B03,MD-2-11,0.3, 07.18.2025,100,4624,561971.0247
 B05,MD-4-25,0.8, 07.18.2025,100,4668,295141.2915
 B06,MD-4-25,0.3, 07.18.2025,100,4356,35213.80333
 B07,MD-4-25,0.5, 07.18.2025,100,4660,178219.0496
 B09,DL-1-10,0.3, 07.18.2025,100,3456,90779.40811
 B10, DL-2-9,0.2, 07.18.2025,100,3816,107800.0598
 B11,MD-1-22,0.8, 07.18.2025,100,4712,892738.3098
 C01,MD-2-11,0.3, 07.18.2025,100,2324,18798.1433
 C04,MD-2-11,0.8, 07.18.2025,100,4712,1232786.213
 C05,BLANK,0, 07.18.2025,100,14,113.1755037
 C08,MD-2-11,0.5, 07.18.2025,100,4616,882087.8004
 C10,DL-1-10,0.5, 07.18.2025,100,3544,648964.1801
 C12,MD-1-22,0.3, 07.18.2025,100,4565,409119.1082
 D02, DL-2-9,0.8, 07.18.2025,100,3588,120683.6419
 D06,MD-1-22,0.5, 07.18.2025,100,4372,93329.66507
 D07,DL-3-25,0.8, 07.18.2025,100,522,4222.50265
 E01,DL-1-10,0.2, 07.18.2025,100,50,404.1984873
 E03,MD-4-25,0.3, 07.18.2025,100,82,662.8860516
 E04,MD-2-11,0.5, 07.18.2025,0,0,0
 E06,MD-4-25,0.8, 07.18.2025,100,1,8.08396455
 E09,MD-1-22,0.8, 07.18.2025,0,0,0
 E11,DL-1-10,0.2, 07.18.2025,100,2,16.1679291
 E12, DL-2-9,0.3, 07.18.2025,100,1,8.08396455
 F01,MD-2-11,0.8, 07.18.2025,0,0,0
 F02,BLANK,0, 07.18.2025,0,0,0
 F04,DL-1-10,0.8, 07.18.2025,100,2,16.1679291
 F08,DL-1-10,0.5, 07.18.2025,100,1,8.08396455
 F12,MD-1-22,0.3, 07.18.2025,100,2,16.1679291
 G01,DL-3-25,0.3, 07.18.2025,0,0,0
 G03,MD-4-25,0.2, 07.18.2025,100,2,16.1679291
 G05,MD-2-11,0.2, 07.18.2025,0,0,0
 G07, DL-2-9,0.5, 07.18.2025,100,2,16.1679291
 G10,DL-3-25,0.8, 07.18.2025,0,0,0
 G12,BLANK,0, 07.18.2025,100,2,16.1679291
 H01,DL-1-10,0.8, 07.18.2025,0,0,0
 H02,DL-3-25,0.5, 07.18.2025,0,0,0
 H04,MD-2-11,0.2, 07.18.2025,0,0,0
 H05,DL-1-10,0.3, 07.18.2025,0,0,0
 H07,DL-2-9,0.2, 07.18.2025,0,0,0
 H11,DL-3-25,0.2, 07.18.2025,100,1,8.08396455
 H12,MD-4-25,0.5, 07.18.2025,100,281,2271.599878
