"","fragment_ID","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-9",-0.572370903765149,"Heat","1","DL","TP1","Resp"
"2","DL-2-10",-0.463717316579099,"Heat","2","DL","TP1","Resp"
"3","DL-2-13",-0.403259003489361,"Heat","2","DL","TP1","Resp"
"4","DL-2-13",-0.403259003489361,"Heat","2","DL","TP1","Resp"
"5","DL-2-14",-0.551556550584813,"Control","2","DL","TP1","Resp"
"6","DL-2-15",-0.787835523699394,"Heat","2","DL","TP1","Resp"
"7","DL-2-18",-0.524643732934491,"Control","2","DL","TP1","Resp"
"8","DL-2-20",-0.462429529991219,"pH","2","DL","TP1","Resp"
"9","DL-2-21",-0.603504474692352,"pH","2","DL","TP1","Resp"
"10","DL-2-3",-0.420295414509715,"pH","2","DL","TP1","Resp"
"11","DL-2-7",-0.472640426082458,"Heat","2","DL","TP1","Resp"
"12","DL-2-8",-0.400034623242559,"pH","2","DL","TP1","Resp"
"13","DL-3-16",-0.517400293480929,"pH","3","DL","TP1","Resp"
"14","DL-3-17",-0.455995636363632,"pH","3","DL","TP1","Resp"
"15","DL-3-4",-0.380225661810748,"Control","3","DL","TP1","Resp"
"16","DL-3-9",-0.396838687333909,"pH","3","DL","TP1","Resp"
"17","DL-4-1",-1.09320910745187,"Control","4","DL","TP1","Resp"
"18","DL-4-12",-0.597545842760799,"pH","4","DL","TP1","Resp"
"19","DL-4-18",-0.666796931048869,"Control","4","DL","TP1","Resp"
"20","DL-4-22",-0.712630521215786,"pH","4","DL","TP1","Resp"
"21","DL-5-18",-0.32868907303379,"Control","5","DL","TP1","Resp"
"22","MD-1-7",-0.352076315373406,"Control","1","MD","TP1","Resp"
"23","MD-4-1",-0.153512331679406,"Control","4","MD","TP1","Resp"
"24","MD-4-10",-0.380357983259713,"Control","4","MD","TP1","Resp"
"25","MD-4-19",-0.217842886239081,"Control","4","MD","TP1","Resp"
"26","MD-5-14",-0.330420536023305,"Control","5","MD","TP1","Resp"
