"","fragment_ID","micromol.cm2.h","Priming.Treatment","Secondary.Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-1",-0.614610358602307,"pH","Heat","1","DL","TP3","Resp"
"2","DL-1-10",-0.674654015071874,"Control","Control","1","DL","TP3","Resp"
"3","DL-1-10",-0.674654015071874,"Control","Control","1","DL","TP3","Resp"
"4","DL-1-11",-0.543356088274283,"Heat","Control","1","DL","TP3","Resp"
"5","DL-1-13",-0.594673392350387,"pH","Control","1","DL","TP3","Resp"
"6","DL-1-14",-0.319354053642371,"Control","Control","1","DL","TP3","Resp"
"7","DL-1-16",-0.584974834056893,"pH","Heat","1","DL","TP3","Resp"
"8","DL-1-18",0.0875380421052611,"Heat","Heat","1","DL","TP3","Resp"
"9","DL-1-18",0.0875380421052611,"Heat","Heat","1","DL","TP3","Resp"
"10","DL-1-18",0.0875380421052611,"Heat","Heat","1","DL","TP3","Resp"
"11","DL-1-19",-0.320677697610636,"Control","Heat","1","DL","TP3","Resp"
"12","DL-1-19",-0.320677697610636,"Control","Heat","1","DL","TP3","Resp"
"13","DL-1-20",-0.654808953133818,"Heat","Heat","1","DL","TP3","Resp"
"14","DL-1-21",-0.469815588760148,"pH","Control","1","DL","TP3","Resp"
"15","DL-1-21",-0.469815588760148,"pH","Control","1","DL","TP3","Resp"
"16","DL-1-21",-0.469815588760148,"pH","Control","1","DL","TP3","Resp"
"17","DL-1-21",-0.469815588760148,"pH","Control","1","DL","TP3","Resp"
"18","DL-1-23",-0.560914179374427,"Heat","Control","1","DL","TP3","Resp"
"19","DL-1-23",-0.560914179374427,"Heat","Control","1","DL","TP3","Resp"
"20","DL-1-24",-0.720666141858659,"Control","Control","1","DL","TP3","Resp"
"21","DL-1-4",-0.795711745140959,"Control","Heat","1","DL","TP3","Resp"
"22","DL-1-6",-0.87827864775063,"pH","Heat","1","DL","TP3","Resp"
"23","DL-2-1",-0.674966665311223,"pH","Heat","2","DL","TP3","Resp"
"24","DL-2-10",-0.496288918691553,"Heat","Control","2","DL","TP3","Resp"
"25","DL-2-10",-0.496288918691553,"Heat","Control","2","DL","TP3","Resp"
"26","DL-2-10",-0.496288918691553,"Heat","Control","2","DL","TP3","Resp"
"27","DL-2-11",-0.499052287881613,"Control","Control","2","DL","TP3","Resp"
"28","DL-2-11",-0.499052287881613,"Control","Control","2","DL","TP3","Resp"
"29","DL-2-13",-0.444246861294793,"Heat","Heat","2","DL","TP3","Resp"
"30","DL-2-13",-0.444246861294793,"Heat","Heat","2","DL","TP3","Resp"
