"","fragment_ID","micromol.cm2.h","Priming.Treatment","Secondary.Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-20",-0.657679888318616,"Heat","Heat","1","DL","TP4","Resp"
"2","DL-2-10",-0.307142695967026,"Heat","Heat","2","DL","TP4","Resp"
"3","DL-2-10",-0.307142695967026,"Heat","Heat","2","DL","TP4","Resp"
"4","DL-2-10",-0.307142695967026,"Heat","Heat","2","DL","TP4","Resp"
"5","MD-1-17",-0.231832706967446,"Heat","Heat","1","MD","TP4","Resp"
"6","MD-1-17",-0.231832706967446,"Heat","Heat","1","MD","TP4","Resp"
"7","MD-1-17",-0.231832706967446,"Heat","Heat","1","MD","TP4","Resp"
"8","MD-4-7",-0.487493325120386,"Heat","Heat","4","MD","TP4","Resp"
"9","MD-5-11",-0.226071661833125,"Heat","Heat","5","MD","TP4","Resp"
"10","MD-5-11",-0.226071661833125,"Heat","Heat","5","MD","TP4","Resp"
"11","MD-5-11",-0.226071661833125,"Heat","Heat","5","MD","TP4","Resp"
