Task,T3161,,,,,,,,,
"Scope 1/1, Sample 1/9 (20240720_5)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,123.3,18.6,NaN,,,,,,
0.02,28,68.3,18.5,0.0005,,,,,,
0.04,179,-43.2,18.7,0,,,,,,
0.06,186,-44.3,18.7,0.003,,,,,,
0.11,189,-44.6,18.7,0.0145,,,,,,
0.235,220,-34.5,18.8,0.004,484.93,2.69,,,,NaN
0.284,250,-25.2,18.8,0.0015,175.59,2.24,,,,NaN
0.304,280,-18.8,18.8,0.0005,72.32,1.86,,,,NaN
0.324,304,-14.7,18.8,0.001,68.42,1.84,,,,NaN
0.374,320,-12.3,18.9,0.003,63.66,1.8,,,,NaN
0.499,323,-11.5,18.9,0.039,30.01,1.48,,,,NaN
0.699,336,-7.9,18.9,0.016,-8.72,0.94,,,,NaN
0.899,353,-1.2,18.9,0.012,25.12,1.4,,,,NaN
1.099,383,8.9,19,0.0065,189.27,2.28,,,,NaN
1.224,413,23.1,19,0.004,440,2.64,,,,NaN
1.256,444,38.8,19,0.001,611.05,2.79,,,,NaN
1.276,474,55.8,19.1,0.0005,734.68,2.87,,,,NaN
1.296,504,75,19.1,0.0005,773.31,2.89,,,,NaN
1.316,534,96.4,19.1,0.0005,985.8,2.99,,,,NaN
1.336,564,119.7,19.1,0.0005,1001.23,3,,,,NaN
1.356,595,141.3,19.2,0.0005,794.55,2.9,,,,NaN
1.376,625,157.7,19.2,0.0005,623.31,2.79,,,,NaN
1.396,650,167.1,19.2,0.001,526.97,2.72,,,,NaN
1.4255,671,176,19.2,0.0015,405.38,2.61,,,,NaN
1.4675,688,185.2,19.2,0.0025,274.81,2.44,,,,NaN
1.5165,701,193.1,19.3,0.004,187.23,2.27,,,,NaN
1.5845,712,201.3,19.3,0.006,,,,,,
1.6725,723,209.2,19.3,0.0075,,,,,,
1.7935,733,217.1,19.3,0.0125,,,,,,
1.96,740,224.8,19.3,0.023,,,,,,
2.16,749,232,19.3,0.023,,,,,,
"Scope 1/1, Sample 2/9 (20240802_2)",,,,,,,,,,
Result,TitrationEQP1,,,,,,,,,
V,t,E,T,dV/dt,dE/dV,log dE/dV,d?E/dV?,E acc. stat.,Volume acc. stat.,BETA
0,0,114.4,19.6,NaN,,,,,,
0.02,28,55.2,19.6,0.0005,,,,,,
0.04,179,-61.7,19.7,0,,,,,,
0.06,182,-62.1,19.7,0.006,,,,,,
0.11,186,-62.2,19.7,0.014,,,,,,
0.235,216,-49.5,19.7,0.004,680.17,2.83,,,,NaN
0.266,246,-37.6,19.7,0.001,315.33,2.5,,,,NaN
0.286,276,-29.5,19.7,0.0005,128.85,2.11,,,,NaN
0.306,306,-23.5,19.7,0.0005,115.87,2.06,,,,NaN
0.3415,337,-18.3,19.8,0.001,118.88,2.08,,,,NaN
0.4305,367,-13,19.8,0.003,95.66,1.98,,,,NaN
0.6305,397,-6.8,19.8,0.0065,8.12,0.91,,,,NaN
0.8305,427,0,19.8,0.0065,-4.71,0.67,,,,NaN
1.0305,458,8.2,19.9,0.0065,97.9,1.99,,,,NaN
1.2195,488,22.5,19.9,0.0065,406.79,2.61,,,,NaN
1.2775,518,40,19.9,0.002,630.09,2.8,,,,NaN
1.2975,548,59.6,19.9,0.0005,771.72,2.89,,,,NaN
1.3175,578,82.2,19.9,0.0005,798.61,2.9,,,,NaN
1.3375,609,108.1,20,0.0005,906.46,2.96,,,,NaN
1.3575,639,133.6,20,0.0005,1000.17,3,,,,NaN
1.3775,669,153.9,20,0.0005,722.41,2.86,,,,NaN
1.3975,699,166.3,20,0.0005,600.38,2.78,,,,NaN
1.419,722,173.5,20,0.001,505,2.7,,,,NaN
1.4625,741,183.7,20,0.0025,323.5,2.51,,,,NaN
