Date,DateSampled,Tank,TA,Mass,Salinity,PrimingTreatment
20241008,Junk,1,2278.871147,60.358,35,Junk
20241008,20240710,6,2330.484663,60.554,38.28,Heat
20241008,20240717,5,2286.518489,59.717,38.69,Control
20241008,20240802,6,2283.852376,59.797,38.55,Heat
20241008,20240720,6,2291.72952,60.201,38.69,Heat
20241008,20240814,3,2195.321739,60.488,38.89,pH
20241008,20240722,6,2311.857484,60.609,38.69,Heat
20241008,20240802,4,2277.594938,59.845,38.84,Control
20241008,20240814,7,2032.933154,59.846,39.02,Heat
20241009,Junk,1,2271.413374,59.923,35,Junk
20241009,20240710,2,2317.576577,59.408,38.55,pH
20241009,20240715,5,2238.128523,59.214,38.76,Control
20241009,20240720,3,2316.970033,59.867,38.47,pH
20241009,20240722,4,2290.725055,60.799,38.97,Control
20241009,20240726,6,2327.37354,60.574,38.9,Heat
20241009,20240809,3,2306.38166,60.018,38.95,pH
20241009,20240814,5,2255.726366,59.653,39.36,Control
20241009,20240726,3,2292.247763,59.881,39.76,pH
20241009,20240720,5,2314.388984,59.448,38.74,Control
20241009,20240802,2,2294.825098,59.873,38.84,pH
20241009,20240717,4,2307.982383,59.902,38.6,Control
20241009,20240809,5,1273.669065,60.55,39,Control
20241009,20240703,acc,2301.762933,59.817,37.63,Acclimation
20241009,20240726,2,1676.800763,59.911,38.72,pH
20241009,20240715,3,2318.183982,60.031,38.6,pH
20241009,20240814,6,2103.579414,59.305,38.69,Heat
20241009,20240802,7,3482.028179,38.75,38.75,Heat
20241010,Junk,1,2501.383858,59.637,35,Junk
20241010,20240717,2,2314.0499,60.29,38.66,pH
20241010,20240710,4,2328.084561,59.59,38.51,Control
20241010,20240726,5,2306.798819,60.108,38.9,Control
20241010,20240802,3,2301.947013,60.552,38.82,pH
20241010,20240722,3,2323.207808,60.635,38.4,pH
20241010,20240809,6,2310.745083,60.575,39.01,Heat
20241010,20240722,5,2301.295659,60.544,38.69,Control
20241010,20240802,5,2290.231807,59.587,38.86,Control
20241010,20240809,2,2300.457791,60.161,38.9,pH
20241010,20240710,7,2328.980707,59.974,38.48,Heat
20241010,20240722,3,2352.18715,60.439,38.74,pH
20241010,20240814,2,2210.140196,59.972,38.97,pH
20241010,20240726,7,2316.920766,60.442,39.22,Heat
20241010,20240715,7,2305.342055,59.995,38.8,Heat
20241010,20240722,2,2329.254458,59.88,38.69,pH
20241010,20240809,7,2308.705171,60.286,39.06,Heat
20241010,20240717,7,2304.616992,60.066,38.91,Heat
20241010,20240626,acc,2387.941442,60.166,36.38,Acclimation
20241010,20240710,3,2318.739014,60.28,38.55,pH
20241010,20240715,2,2321.213086,60.115,38.54,pH
20241010,20240717,3,2311.543602,60.322,38.46,pH
20241010,20240720,2,2324.649036,60.649,39.59,pH
20241010,20240720,7,2325.252186,60.531,38.68,Heat
20241010,20240726,4,2295.585563,60.422,38.84,Control
20241010,20240809,4,1256.368545,59.567,38.95,Control
20241010,20240814,4,2271.58499,60.409,38.92,Control
20241010,20240717,6,2318.442248,60.223,36.68,Heat
20241010,20240710,5,2396.155786,60.559,38.32,Control
20241010,20240720,4,2315.960061,60.563,38.69,Control
20241010,20240715,4,2268.798221,59.924,38.41,Control
20241010,20240715,6,2290.890055,60.436,38.71,Heat
20241031,Junk,1,2884.89544,60.265,35,Junk
20241031,20240809,5,1291.486515,60.59,27.88,Control
20241031,20240726,2,2353.431297,60.014,36.42,pH
20241031,20240802,7,2278.815127,60.521,36.57,Heat
20241031,20240809,4,1258.254809,60.068,27.53,Control
