"",".id","X..i..","date","probe.name","probe.type","probe.value","probe.name.1","probe.type.1","probe.value.1","probe.name.2","probe.type.2","probe.value.2","probe.name.3","probe.type.3","probe.value.3","probe.name.4","probe.type.4","probe.value.4","probe.name.5","probe.type.5","probe.value.5","probe.name.6","probe.type.6","probe.value.6","probe.name.7","probe.type.7","probe.value.7","probe.name.8","probe.type.8","probe.value.8","probe.name.9","probe.type.9","probe.value.9","probe.name.10","probe.type.10","probe.value.10","probe.name.11","probe.type.11","probe.value.11","probe.name.12","probe.type.12","probe.value.12","probe.name.13","probe.type.13","probe.value.13","probe.name.14","probe.type.14","probe.value.14","probe.name.15","probe.type.15","probe.value.15","probe.name.16","probe.type.16","probe.value.16"
"1","hostname","apex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","serial","AC5:86437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","timezone","-10.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","record",NA,"06/17/2024 13:50:00","TPCs","Temp","-7.6","pH","pH","6.94","ORP","ORP","14","Salt","Cond","2.4","Bin1","Temp","25.8","pHx2","pH","74.1","H_TANK","Temp","26.2","pHx3","pH","6.38","A_SQ_2","Temp","25.8","pHx4","pH","7.24","A_Sq_3","Temp","25.8","pHx5","pH","6.94","Am_Tnk","Temp","25.5","pHx6","pH","5.40","Am_Hed","Amps","0.7","Tmpx14","Temp","25.5","pHx14","pH","7.12"
"5","record",NA,"06/17/2024 14:00:00","TPCs","Temp","-7.6","pH","pH","6.95","ORP","ORP","15","Salt","Cond","2.4","Bin1","Temp","25.7","pHx2","pH","74.1","H_TANK","Temp","26.1","pHx3","pH","6.37","A_SQ_2","Temp","25.7","pHx4","pH","7.27","A_Sq_3","Temp","25.7","pHx5","pH","6.96","Am_Tnk","Temp","25.3","pHx6","pH","5.31","Am_Hed","Amps","0.8","Tmpx14","Temp","25.5","pHx14","pH","7.17"
"6","record",NA,"06/17/2024 14:10:00","TPCs","Temp","-7.6","pH","pH","6.97","ORP","ORP","16","Salt","Cond","2.4","Bin1","Temp","25.7","pHx2","pH","74.1","H_TANK","Temp","26.0","pHx3","pH","6.36","A_SQ_2","Temp","25.7","pHx4","pH","7.30","A_Sq_3","Temp","25.7","pHx5","pH","6.97","Am_Tnk","Temp","25.3","pHx6","pH","5.21","Am_Hed","Amps","0.8","Tmpx14","Temp","25.4","pHx14","pH","7.20"
"7","record",NA,"06/17/2024 14:20:00","TPCs","Temp","-7.6","pH","pH","6.97","ORP","ORP","16","Salt","Cond","2.4","Bin1","Temp","25.7","pHx2","pH","74.1","H_TANK","Temp","26.0","pHx3","pH","6.33","A_SQ_2","Temp","25.6","pHx4","pH","7.31","A_Sq_3","Temp","25.6","pHx5","pH","6.99","Am_Tnk","Temp","25.2","pHx6","pH","5.11","Am_Hed","Amps","0.7","Tmpx14","Temp","25.4","pHx14","pH","7.23"
"8","record",NA,"06/17/2024 14:30:00","TPCs","Temp","-7.6","pH","pH","6.98","ORP","ORP","17","Salt","Cond","2.4","Bin1","Temp","25.6","pHx2","pH","74.1","H_TANK","Temp","25.9","pHx3","pH","6.33","A_SQ_2","Temp","25.5","pHx4","pH","7.34","A_Sq_3","Temp","25.6","pHx5","pH","7.01","Am_Tnk","Temp","25.1","pHx6","pH","5.04","Am_Hed","Amps","0.7","Tmpx14","Temp","25.3","pHx14","pH","7.26"
"9","record",NA,"06/17/2024 14:40:00","TPCs","Temp","-7.6","pH","pH","6.99","ORP","ORP","18","Salt","Cond","2.4","Bin1","Temp","25.6","pHx2","pH","74.1","H_TANK","Temp","25.8","pHx3","pH","6.33","A_SQ_2","Temp","25.5","pHx4","pH","7.38","A_Sq_3","Temp","25.5","pHx5","pH","7.03","Am_Tnk","Temp","25.0","pHx6","pH","4.97","Am_Hed","Amps","0.8","Tmpx14","Temp","25.3","pHx14","pH","7.29"
"10","record",NA,"06/17/2024 14:50:00","TPCs","Temp","-7.6","pH","pH","6.99","ORP","ORP","19","Salt","Cond","2.4","Bin1","Temp","25.5","pHx2","pH","74.1","H_TANK","Temp","25.8","pHx3","pH","6.33","A_SQ_2","Temp","25.4","pHx4","pH","7.41","A_Sq_3","Temp","25.4","pHx5","pH","7.06","Am_Tnk","Temp","25.0","pHx6","pH","4.91","Am_Hed","Amps","0.8","Tmpx14","Temp","25.3","pHx14","pH","7.34"
