Plot Title: 10655130,,
#,"Date Time, GMT-03:00","Temp, °C (LGR S/N: 10655130, SEN S/N: 10655130)"
1,8/8/2024 23:06,28.555
2,8/8/2024 23:11,28.555
3,8/8/2024 23:16,28.555
4,8/8/2024 23:21,28.456
5,8/8/2024 23:26,28.357
6,8/8/2024 23:31,28.258
7,8/8/2024 23:36,28.06
8,8/8/2024 23:41,27.862
9,8/8/2024 23:46,27.665
10,8/8/2024 23:51,27.468
11,8/8/2024 23:56,27.37
12,8/9/2024 0:01,27.272
13,8/9/2024 0:06,27.173
14,8/9/2024 0:11,27.173
15,8/9/2024 0:16,27.272
16,8/9/2024 0:21,27.37
17,8/9/2024 0:26,27.567
18,8/9/2024 0:31,27.764
19,8/9/2024 0:36,27.961
20,8/9/2024 0:41,28.159
21,8/9/2024 0:46,28.357
22,8/9/2024 0:51,28.456
23,8/9/2024 0:56,28.555
24,8/9/2024 1:01,28.456
25,8/9/2024 1:06,28.456
26,8/9/2024 1:11,28.357
27,8/9/2024 1:16,28.258
28,8/9/2024 1:21,28.06
29,8/9/2024 1:26,27.862
30,8/9/2024 1:31,27.665
31,8/9/2024 1:36,27.567
32,8/9/2024 1:41,27.37
33,8/9/2024 1:46,27.272
34,8/9/2024 1:51,27.173
35,8/9/2024 1:56,27.173
36,8/9/2024 2:01,27.173
37,8/9/2024 2:06,27.37
38,8/9/2024 2:11,27.468
39,8/9/2024 2:16,27.764
40,8/9/2024 2:21,27.961
41,8/9/2024 2:26,28.159
42,8/9/2024 2:31,28.357
43,8/9/2024 2:36,28.456
44,8/9/2024 2:41,28.555
45,8/9/2024 2:46,28.456
46,8/9/2024 2:51,28.456
47,8/9/2024 2:56,28.357
48,8/9/2024 3:01,28.258
49,8/9/2024 3:06,28.159
50,8/9/2024 3:11,27.961
51,8/9/2024 3:16,27.764
52,8/9/2024 3:21,27.567
53,8/9/2024 3:26,27.468
54,8/9/2024 3:31,27.272
55,8/9/2024 3:36,27.173
56,8/9/2024 3:41,27.173
57,8/9/2024 3:46,27.173
58,8/9/2024 3:51,27.272
59,8/9/2024 3:56,27.468
60,8/9/2024 4:01,27.665
61,8/9/2024 4:06,27.862
62,8/9/2024 4:11,28.06
63,8/9/2024 4:16,28.258
64,8/9/2024 4:21,28.357
65,8/9/2024 4:26,28.456
66,8/9/2024 4:31,28.456
67,8/9/2024 4:36,28.456
68,8/9/2024 4:41,28.357
69,8/9/2024 4:46,28.258
70,8/9/2024 4:51,28.159
71,8/9/2024 4:56,28.06
72,8/9/2024 5:01,27.862
73,8/9/2024 5:06,27.665
74,8/9/2024 5:11,27.567
75,8/9/2024 5:16,27.37
76,8/9/2024 5:21,27.272
77,8/9/2024 5:26,27.173
78,8/9/2024 5:31,27.173
79,8/9/2024 5:36,27.173
80,8/9/2024 5:41,27.37
81,8/9/2024 5:46,27.468
82,8/9/2024 5:51,27.764
83,8/9/2024 5:56,27.961
84,8/9/2024 6:01,28.159
85,8/9/2024 6:06,28.357
86,8/9/2024 6:11,28.456
87,8/9/2024 6:16,28.555
88,8/9/2024 6:21,28.456
89,8/9/2024 6:26,28.456
90,8/9/2024 6:31,28.357
91,8/9/2024 6:36,28.258
92,8/9/2024 6:41,28.06
93,8/9/2024 6:46,27.961
94,8/9/2024 6:51,27.764
95,8/9/2024 6:56,27.567
96,8/9/2024 7:01,27.37
97,8/9/2024 7:06,27.272
98,8/9/2024 7:11,27.173
99,8/9/2024 7:16,27.173
100,8/9/2024 7:21,27.173
101,8/9/2024 7:26,27.272
102,8/9/2024 7:31,27.468
103,8/9/2024 7:36,27.665
104,8/9/2024 7:41,27.862
105,8/9/2024 7:46,28.06
106,8/9/2024 7:51,28.258
107,8/9/2024 7:56,28.456
108,8/9/2024 8:01,28.555
109,8/9/2024 8:06,28.555
110,8/9/2024 8:11,28.555
111,8/9/2024 8:16,28.456
112,8/9/2024 8:21,28.357
113,8/9/2024 8:26,28.258
114,8/9/2024 8:31,28.159
115,8/9/2024 8:36,27.961
116,8/9/2024 8:41,27.764
117,8/9/2024 8:46,27.567
118,8/9/2024 8:51,27.468
119,8/9/2024 8:56,27.37
120,8/9/2024 9:01,27.272
121,8/9/2024 9:06,27.173
122,8/9/2024 9:11,27.272
123,8/9/2024 9:16,27.37
124,8/9/2024 9:21,27.468
125,8/9/2024 9:26,27.764
126,8/9/2024 9:31,28.06
127,8/9/2024 9:36,28.357
128,8/9/2024 9:41,28.655
129,8/9/2024 9:46,28.853
130,8/9/2024 9:51,29.053
131,8/9/2024 9:56,29.152
132,8/9/2024 10:01,29.152
133,8/9/2024 10:06,29.152
134,8/9/2024 10:11,29.053
135,8/9/2024 10:16,28.953
136,8/9/2024 10:21,28.853
137,8/9/2024 10:26,28.754
138,8/9/2024 10:31,28.655
139,8/9/2024 10:36,28.456
140,8/9/2024 10:41,28.357
141,8/9/2024 10:46,28.258
142,8/9/2024 10:51,28.06
143,8/9/2024 10:56,27.862
144,8/9/2024 11:01,27.764
145,8/9/2024 11:06,27.665
146,8/9/2024 11:11,27.567
147,8/9/2024 11:16,27.567
148,8/9/2024 11:21,27.468
149,8/9/2024 11:26,27.468
150,8/9/2024 11:31,27.468
151,8/9/2024 11:36,27.567
152,8/9/2024 11:41,27.567
153,8/9/2024 11:46,27.567
154,8/9/2024 11:51,27.567
155,8/9/2024 11:56,27.468
156,8/9/2024 12:01,27.567
157,8/9/2024 12:06,27.567
158,8/9/2024 12:11,27.567
159,8/9/2024 12:16,27.665
160,8/9/2024 12:21,27.665
161,8/9/2024 12:26,27.862
162,8/9/2024 12:31,27.961
163,8/9/2024 12:36,28.159
164,8/9/2024 12:41,28.258
165,8/9/2024 12:46,28.357
166,8/9/2024 12:51,28.456
167,8/9/2024 12:56,28.555
168,8/9/2024 13:01,28.555
169,8/9/2024 13:06,28.555
170,8/9/2024 13:11,28.456
171,8/9/2024 13:16,28.357
172,8/9/2024 13:21,28.357
173,8/9/2024 13:26,28.357
174,8/9/2024 13:31,28.357
175,8/9/2024 13:36,28.357
176,8/9/2024 13:41,28.258
177,8/9/2024 13:46,28.159
178,8/9/2024 13:51,28.159
179,8/9/2024 13:56,28.06
180,8/9/2024 14:01,27.961
181,8/9/2024 14:06,27.862
182,8/9/2024 14:11,27.764
183,8/9/2024 14:16,27.665
184,8/9/2024 14:21,27.567
185,8/9/2024 14:26,27.468
186,8/9/2024 14:31,27.468
187,8/9/2024 14:36,27.468
188,8/9/2024 14:41,27.468
189,8/9/2024 14:46,27.468
190,8/9/2024 14:51,27.567
191,8/9/2024 14:56,27.567
192,8/9/2024 15:01,27.665
193,8/9/2024 15:06,27.764
194,8/9/2024 15:11,27.764
195,8/9/2024 15:16,27.862
196,8/9/2024 15:21,27.961
197,8/9/2024 15:26,28.06
198,8/9/2024 15:31,28.159
199,8/9/2024 15:36,28.159
200,8/9/2024 15:41,28.159
201,8/9/2024 15:46,28.159
202,8/9/2024 15:51,28.159
203,8/9/2024 15:56,28.06
204,8/9/2024 16:01,28.06
205,8/9/2024 16:06,27.862
206,8/9/2024 16:11,27.862
207,8/9/2024 16:16,27.665
208,8/9/2024 16:21,27.567
209,8/9/2024 16:26,27.468
210,8/9/2024 16:31,27.468
211,8/9/2024 16:36,27.37
212,8/9/2024 16:41,27.37
213,8/9/2024 16:46,27.37
214,8/9/2024 16:51,27.37
215,8/9/2024 16:56,27.37
216,8/9/2024 17:01,27.37
217,8/9/2024 17:06,27.37
218,8/9/2024 17:11,27.37
219,8/9/2024 17:16,27.37
220,8/9/2024 17:21,27.468
221,8/9/2024 17:26,27.468
222,8/9/2024 17:31,27.468
223,8/9/2024 17:36,27.567
224,8/9/2024 17:41,27.567
225,8/9/2024 17:46,27.665
226,8/9/2024 17:51,27.665
227,8/9/2024 17:56,27.764
228,8/9/2024 18:01,27.764
