Tris.date,mVTris,Ttris
20240707,-82.3,22.7
20240707,-81.8,23.1
20240707,-81.4,23.5
20240707,-81,23.9
20240707,-80.5,24.3
20240707,-80.1,24.7
20240707,-79.4,25.1
20240707,-78.9,25.5
20240707,-78.3,25.9
20240707,-77.7,26.3
20240707,-77.3,26.7
20240707,-76.5,27.1
20240707,-75.9,27.5
20240707,-75.3,27.9
20240707,-74.5,28.3
20240707,-74.1,28.7
20240707,-73.3,29.1
20240707,-72.5,29.5
20240707,-72.1,29.9
20240707,-71.5,30.3
20240707,-70.6,30.7
20240707,-69.7,31.1
20240707,-68.4,31.5
20240707,-68,31.9
20240707,-67.9,32.3
