Tris.date ,mVTris ,Ttris 
20240710,-90.1,17.2
20240710,-,17.4
20240710,-,17.6
20240710,-87.5,17.8
20240710,-87.9,18
20240710,-89.3,18.2
20240710,-88.8,18.4
20240710,-88.6,18.6
20240710,-87.2,18.8
20240710,-87,19
20240710,-87.1,19.2
20240710,86.9,19.4
20240710,-86.3,19.6
20240710,-85.4,19.8
20240710,-84.6,20
20240710,-85.6,20.2
20240710,-85.6,20.4
20240710,-85,20.6
20240710,-85.1,20.8
20240710,-84.9,21
20240710,-84.5,21.2
20240710,-84.9,21.4
20240710,-84.2,21.6
20240710,-84.6,21.8
20240710,-84.4,22
20240710,-83.9,22.2
20240710,-83.7,22.4
20240710,-83.6,22.6
20240710,-83.2,22.8
20240710,-83,23
20240710,-82.9,23.2
20240710,-82.6,23.4
20240710,-82,23.6
20240710,-81.8,23.8
20240710,-81.5,24
20240710,-81.3,24.2
20240710,-81.1,24.4
20240710,-80.4,24.6
20240710,-80.5,24.8
20240710,-80.8,25
20240710,-79.9,25.2
20240710,-79.5,25.4
20240710,-79.2,25.6
20240710,-78.9,25.8
20240710,-78.7,26
20240710,-78.5,26.2
20240710,-78.8,26.4
20240710,-78.5,26.6
20240710,-78,26.8
20240710,-77.5,27
20240710,-77.4,27.2
20240710,-77.2,27.4
20240710,-76.6,27.6
20240710,-76.3,27.8
20240710,-75.5,28
20240710,-75.1,28.2
20240710,-75.2,28.4
20240710,-74.5,28.6
20240710,-74.3,28.8
20240710,-74.4,29
20240710,-74.2,29.2
20240710,-73.3,29.4
20240710,-73.3,29.6
20240710,-73,29.8
20240710,-72.8,30
20240710,-72.2,30.2
20240710,-72.1,30.4
20240710,-71.7,30.6
20240710,-71.2,30.8
20240710,-70,31
20240710,-70.6,31.2
20240710,-70.2,31.4
20240710,-69.9,31.6
20240710,-69.7,31.8
20240710,-69.4,32
20240710,-69,32.2
20240710,-68.6,32.4
20240710,-68.3,32.6
20240710,-67.9,32.8
20240710,-67.5,33
