Tris date ,mVTris ,Ttris 
20240718,-90.3,16.4
20240718,-89.5,17.5
20240718,-88.5,18.4
20240718,-87.5,19
20240718,-87.0,19.5
20240718,-86.2,20
20240718,-85.4,20.7
20240718,-84.9,21
20240718,-84.0,21.5
20240718,-83.6,22
20240718,-83.1,22.5
20240718,-82.5,23
20240718,-81.9,23.5
20240718,-81.4,24
20240718,-80.7,24.5
20240718,-80.2,25
20240718,-79.6,25.5
20240718,-78.9,26
20240718,-78.1,26.5
20240718,-77.8,27
20240718,-76.6,27.5
20240718,-76.0,28
20240718,-75.3,28.5
20240718,-74.2,29
20240718,-73.6,29.5
20240718,-72.6,30
20240718,-71.9,30.5
20240718,-70.5,31
20240718,-69.8,31.5
