Date,Treatment,PAM,PR,Color Score
26-Jun-24,acclimation start,,,
27-Jun-24,acclimation,,,
28-Jun-24,acclimation,,,
29-Jun-24,acclimation,,,
30-Jun-24,acclimation,,,
1-Jul-24,acclimation,,,
2-Jul-24,acclimation,,,
3-Jul-24,acclimation,,,
4-Jul-24,acclimation,,,
5-Jul-24,acclimation,,,
6-Jul-24,acclimation,,,
7-Jul-24,acclimation,,,
8-Jul-24,acclimation stop,,,
9-Jul-24,treatment start,,,
10-Jul-24,treatment,,,
11-Jul-24,treatment,,,
12-Jul-24,treatment,,,
13-Jul-24,treatment,,,
14-Jul-24,treatment,,,
15-Jul-24,treatment,,,
16-Jul-24,treatment,,Respo,
17-Jul-24,treatment,,Respo,
18-Jul-24,treatment,,,
19-Jul-24,treatment,,,
20-Jul-24,treatment,,,
21-Jul-24,treatment,,,
22-Jul-24,treatment,,Respo,
23-Jul-24,treatment stop,,Respo,
24-Jul-24,recovery,,,
25-Jul-24,recovery,,,
26-Jul-24,recovery,,,
27-Jul-24,recovery,,,
28-Jul-24,recovery,,,
29-Jul-24,recovery,,,
30-Jul-24,recovery,,,
31-Jul-24,recovery,,,
1-Aug-24,recovery,,,
2-Aug-24,recovery,,,
3-Aug-24,recovery,,,
4-Aug-24,recovery,,,
5-Aug-24,recovery,,,
6-Aug-24,ramp + 0.5°,,,
7-Aug-24,ramp + 0.5°,,,
8-Aug-24,ramp + 0.5°,,,
9-Aug-24,,,,
10-Aug-24,,,,
11-Aug-24,,,Respo,
12-Aug-24,,,Respo,
13-Aug-24,,,,
14-Aug-24,,,,
15-Aug-24,,,,
16-Aug-24,,,,
17-Aug-24,,,,
18-Aug-24,,,,
19-Aug-24,,,,
20-Aug-24,,,,
21-Aug-24,,,,
22-Aug-24,,,,
23-Aug-24,,,,
