Tank,Fragment_Number,treatment,Date_Sampled
2,DL_1_15,low_pH,20240723
2,DL_1_17,low_pH,
2,DL_1_21,low_pH,
2,DL_1_16,low_pH,
2,DL_2_5,low_pH,20240723
2,DL_2_8,low_pH,
2,DL_2_19,low_pH,
2,DL_2_16,low_pH,
2,DL_3_25,low_pH,20240723
2,DL_3_16,low_pH,
2,DL_3_18,low_pH,
2,DL_3_9,low_pH,
2,DL_4_26,low_pH,20240723
2,DL_4_10,low_pH,
2,DL_4_17,low_pH,
2,DL_4_24,low_pH,
2,MD_1_11,low_pH,20240723
2,MD_1_4,low_pH,
2,MD_1_13,low_pH,
2,MD_1_6,low_pH,
2,MD_2_2,low_pH,
2,MD_2_25,low_pH,20240723
2,MD_2_20,low_pH,
2,MD_2_9,low_pH,
2,MD_4_5,low_pH,
2,MD_4_15,low_pH,
2,MD_4_21,low_pH,20240723
2,MD_4_46,low_pH,
2,MD_5_17,low_pH,
2,MD_5_1,low_pH,
2,MD_5_25,low_pH,20240723
2,MD_5_26,low_pH,
3,DL_1_6,low_pH,
3,DL_1_1,low_pH,
3,DL_1_13,low_pH,
3,DL_1_22,low_pH,20240723
3,DL_2_1,low_pH,
3,DL_2_3,low_pH,
3,DL_2_21,low_pH,20240723
3,DL_2_20,low_pH,
3,DL_3_8,low_pH,
3,DL_3_17,low_pH,
3,DL_3_11,low_pH,
3,DL_3_12,low_pH,20240723
3,DL_4_12,low_pH,
3,DL_4_14,low_pH,20240723
3,DL_4_11,low_pH,
3,DL_4_22,low_pH,
3,MD_1_8,low_pH,
3,MD_1_10,low_pH,
3,MD_1_18,low_pH,
3,MD_1_20,low_pH,20240723
3,MD_2_10,low_pH,
3,MD_2_17,low_pH,
3,MD_2_21,low_pH,
3,MD_2_23,low_pH,20240723
3,MD_4_12,low_pH,20240723
3,MD_4_24,low_pH,
3,MD_4_25,low_pH,
3,MD_4_22,low_pH,
3,MD_5_13,low_pH,
3,MD_5_3,low_pH,
3,MD_5_22,low_pH,
3,MD_5_23,low_pH,
4,DL_1_4,control,
4,DL_1_12,control,20240723
4,DL_1_7,control,
4,DL_1_19,control,
4,DL_2_14,control,
4,DL_2_2,control,
4,DL_2_18,control,20240723
4,DL_2_4,control,
4,DL_3_3,control,
4,DL_3_19,control,
4,DL_3_4,control,
4,DL_3_6,control,20240723
4,DL_4_7,control,
4,DL_4_1,control,
4,DL_4_2,control,
4,DL_4_18,control,
4,MD_1_3,control,20240723
4,MD_1_25,control,
4,MD_1_2 ,control,
4,MD_1_7,control,
4,MD_2_4,control,
4,MD_2_19,control,
4,MD_2_22,control,20240723
4,MD_2_1,control,
4,MD_4_1,control,20240723
4,MD_4_17,control,
4,MD_4_19,control,
4,MD_4_10,control,
4,MD_5_18,control,
4,MD_5_14,control,20240723
4,MD_5_19,control,
4,MD_5_24,control,
5,DL_1_8,control,20240723
5,DL_1_10,control,
5,DL_1_14,control,
5,DL_1_24,control,
5,DL_2_9,control,20240723
5,DL_2_11,control,
5,DL_2_25,control,
5,DL_2_26,control,
5,DL_3_14,control,
5,DL_3_15,control,20240723
5,DL_3_24,control,
5,DL_3_30,control,
5,DL_4_3,control,
5,DL_4_4,control,20240723
5,DL_4_21,control,
5,DL_4_23,control,
5,DL_4_35,control,
5,MD_1_14,control,
5,MD_1_19,control,20240723
5,MD_1_24,control,
5,MD_1_33,control,
5,MD_2_5,control,20240723
5,MD_2_6,control,
5,MD_2_8,control,
5,MD_2_18,control,
5,MD_2_27,control,
5,MD_4_2,control,
5,MD_4_13,control,20240723
5,MD_4_20,control,
5,MD_4_26,control,
5,MD_5_5,control,20240723
5,MD_5_6,control,
5,MD_5_9,control,
5,MD_5_21,control,
5,MD_5_36,control,
6,DL_1_9,heat,20240723
6,DL_1_18,heat,
6,DL_1_20,heat,
6,DL_1_33,heat,
6,DL_2_7,heat,
6,DL_2_10,heat,
6,DL_2_13,heat,
6,DL_2_15,heat,20240723
6,DL_2_30,heat,
6,DL_3_5,heat,
6,DL_3_7,heat,
6,DL_3_22,heat,
6,DL_3_26,heat,20240723
6,DL_3_27,heat,
6,DL_4_9,heat,
6,DL_4_13,heat,20240723
6,DL_4_15,heat,
6,DL_4_20,heat,
6,DL_4_36,heat,
6,MD_1_15,heat,20240723
6,MD_1_16,heat,
6,MD_1_17,heat,
6,MD_1_21,heat,
6,MD_1_28,heat,
6,MD_2_3,heat,
6,MD_2_4,heat,20240723
6,MD_2_13,heat,
6,MD_2_14,heat,
6,MD_2_31,heat,
6,MD_4_3,heat,
6,MD_4_6,heat,20240723
6,MD_4_7,heat,
6,MD_4_23,heat,
6,MD_4_27,heat,
6,MD_5_7,heat,
6,MD_5_11,heat,
6,MD_5_15,heat,
6,MD_5_16,heat,20240723
6,MD_5_27,heat,
7,DL_1_3,heat,20240723
7,DL_1_5,heat,
7,DL_1_11,heat,
7,DL_1_19,heat,
7,DL_1_26,heat,
7,DL_1_35,heat,
7,DL_2_7,heat,
7,DL_2_12,heat,20240723
7,DL_2_22,heat,
7,DL_2_23,heat,
7,DL_2_24,heat,
7,DL_2_36,heat,
7,DL_3_2,heat,
7,DL_3_10,heat,
7,DL_3_13,heat,20240723
7,DL_3_20,heat,
7,DL_3_28,heat,
7,DL_4_5,heat,
7,DL_4_16,heat,20240723
7,DL_4_25,heat,
7,DL_4_31,heat,
7,MD_1_5,heat,20240723
7,MD_1_12,heat,
7,MD_1_22,heat,
7,MD_1_26,heat,
7,MD_1_29,heat,
7,MD_2_1,heat,20240723
7,MD_2_12,heat,
7,MD_2_26,heat,
7,MD_2_28,heat,
7,MD_4_4,heat,20240723
7,MD_4_11,heat,
7,MD_4_16,heat,
7,MD_4_18,heat,
7,MD_5_8,heat,20240723
7,MD_5_10,heat,
7,MD_5_20,heat,
7,MD_5_33,heat,
