Species,Genotype,Replicate,Zip.Color,Sample.ID,Treatment.Tank,Inital.Treament,Secondary.Treatment,Date.Sampled,Replicate.Number,Timepoint
NA,1,NA,NA,MD-1,NA,NA,NONE,20240620,NA,TP0
MD,1,1,Black,MD-1-1,Acclimation,Acclimation,NONE,20240709,R1,TP1
MD,1,2,Black,MD-1-2,Tank_4,Control,NONE,20240806,R1,TP3
MD,1,3,Black,MD-1-3,Tank_5,Control,NONE,20240723,R1,TP2
MD,1,4,Black,MD-1-4,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
MD,1,5,Black,MD-1-5,Tank_7,High_Temp,NONE,20240723,R2,TP2
MD,1,6,Black,MD-1-6,Tank_2,Low_pH,NONE,20240806,R2,TP3
MD,1,7,Black,MD-1-7,Tank_4,Control,High_Temp,20240815,R2,TP4
MD,1,8,Black,MD-1-8,Tank_3,Low_pH,NONE,20240806,R1,TP3
MD,1,9,Black,MD-1-9,Tank_5,Control,Control,20240815,R1,TP4
MD,1,10,Black,MD-1-10,Tank_3,Low_pH,Control,20240815,R2,TP4
MD,1,11,Black,MD-1-11,Tank_2,Low_pH,NONE,20240723,R2,TP2
MD,1,12,Black,MD-1-12,Tank_7,High_Temp,Control,20240815,R2,TP4
MD,1,13,Black,MD-1-13,Tank_2,Low_pH,High_Temp,20240815,R1,TP4
MD,1,14,Black,MD-1-14,Tank_5,Control,NONE,20240806,R2,TP3
MD,1,15,Black,MD-1-15,Tank_6,High_Temp,NONE,20240723,R1,TP2
MD,1,16,Black,MD-1-16,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
MD,1,17,Black,MD-1-17,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
MD,1,18,Black,MD-1-18,Tank_3,Low_pH,Control,20240815,R1,TP4
MD,1,19,Black,MD-1-19,Tank_5,Control,NONE,20240723,R2,TP2
MD,1,20,Black,MD-1-20,Tank_3,Low_pH,NONE,20240723,R1,TP2
MD,1,21,Black,MD-1-21,Tank_6,High_Temp,NONE,20240806,R2,TP3
MD,1,22,Black,MD-1-22,Tank_7,High_Temp,NONE,20240806,R1,TP3
MD,1,23,Black,MD-1-23,Acclimation,Acclimation,NONE,20240709,R2,TP1
MD,1,24,Black,MD-1-24,Tank_5,Control,Control,20240815,R2,TP4
MD,1,25,Black,MD-1-25,Tank_4,Control,High_Temp,20240815,R2,TP4
MD,1,26,Black,MD-1-26,Tank_7,High_Temp,Control,20240815,R2,TP4
MD,2,NA,NA,MD-2,NA,NA,NONE,20240620,NA,TP0
MD,2,1,Yellow,MD-2-1,Tank_7,High_Temp,NONE,20240723,R2,TP2
MD,2,2,Yellow,MD-2-2,Tank_2,Low_pH,NONE,20240806,R2,TP3
MD,2,3,Yellow,MD-2-3,Tank_6,High_Temp,High_Temp,20240815,R1,TP4
MD,2,4,Yellow,MD-2-4,Tank_6,High_Temp,NONE,20240723,R1,TP2
MD,2,5,Yellow,MD-2-5,Tank_5,Control,NONE,20240723,R2,TP2
MD,2,6,Yellow,MD-2-6,Tank_5,Control,Control,20240815,R1,TP4
MD,2,7,Yellow,MD-2-7,Tank_7,High_Temp,Control,20240815,R1,TP4
MD,2,8,Yellow,MD-2-8,Tank_5,Control,NONE,20240806,R2,TP3
MD,2,9,Yellow,MD-2-9,Tank_2,Low_pH,High_Temp,20240815,R2,TP3
MD,2,10,Yellow,MD-2-10,Tank_3,Low_pH,NONE,20240806,R1,TP3
MD,2,11,Yellow,MD-2-11,Acclimation,Acclimation,NONE,20240709,R1,TP1
MD,2,12,Yellow,MD-2-12,Tank_7,High_Temp,NONE,20240806,R1,TP3
MD,2,13,Yellow,MD-2-13,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
MD,2,14,Yellow,MD-2-14,Tank_6,High_Temp,NONE,20240806,R2,TP3
MD,2,15,Yellow,MD-2-15,Tank_4,Control,NONE,20240806,R1,TP3
MD,2,16,Yellow,MD-2-16,Acclimation,Acclimation,NONE,20240709,R2,TP1
MD,2,17,Yellow,MD-2-17,Tank_3,Low_pH,Control,20240815,R2,TP4
MD,2,18,Yellow,MD-2-18,Tank_5,Control,Control,20240815,R2,TP4
MD,2,19,Yellow,MD-2-19,Tank_4,Control,High_Temp,20240815,R2,TP4
MD,2,20,Yellow,MD-2-20,Tank_2,Low_pH,High_Temp,20240815,R2,TP4
MD,2,21,Yellow,MD-2-21,Tank_3,Low_pH,Control,20240815,R1,TP4
MD,2,22,Yellow,MD-2-22,Tank_4,Control,NONE,20240723,R1,TP2
MD,2,23,Yellow,MD-2-23,Tank_6,High_Temp,NONE,20240723,R1,TP2
MD,2,24,Yellow,MD-2-24,Tank_4,Control,High_Temp,20240815,R2,TP4
MD,2,25,Yellow,MD-2-25,Tank_2,Low_pH,NONE,20240723,R2,TP2
MD,2,26,Yellow,MD-2-26,Tank_7,High_Temp,Control,20240815,R2,TP4
NA,3,NA,NA,MD-4,NA,NA,NONE,20240620,NA,TP0
MD,3,1,Green,MD-4-1,Tank_4,Control,NONE,20240723,R1,TP2
MD,3,2,Green,MD-4-2,Tank_5,Control,Control,20240815,R1,TP4
MD,3,3,Green,MD-4-3,Tank_6,High_Temp,High_Temp,20240815,R2,TP4
