tank,treatment,temp.C_mean,temp.C_sd,sal.psu_mean,sal.psu_sd,par.avg_mean,par.avg_sd,pH.nbs_mean,pH.nbs_sd,pH.total_mean,pH.total_sd,flow.L.min_mean,flow.L.min_sd
1,Acclimation,26.944444444444443,0.13333333333333394,37.57555555555555,1.619221349222452,216.62962962666666,207.28572901737093,7.941111111111111,0.06071335200028996,7.9270695189840765,0.0600575647626592,7.199999999999999e-4,0
2,low_ph,36.262903225806454,4.779214156845166,30.565483870967743,4.6575600469986265,404.4692982526316,133.50233274090053,7.938064516129033,0.15784843690153574,7.903228291713132,0.13070645447165039,0.04086,0.02665224469661835
3,low_ph,36.62161290322581,4.470172328351704,29.456129032258065,4.606935118144785,398.5614035105263,194.4836802486951,7.941290322580645,0.1899252824223932,7.876581696071613,0.1438440941113554,0.047724,0.025018961735367627
4,control,36.74193548387097,4.688503257511818,30.267096774193547,4.445945114032476,378.92982455789473,142.3362207732459,8.028709677419355,0.09411843374117783,7.884421151596038,0.45880002759196653,0.059826000000000004,0.05472439698400667
5,control,36.928666666666665,4.2516436848574815,29.216666666666665,4.298195558309471,413.33333333157896,191.99250884846626,8.019,0.09121214377709688,7.786499749459554,0.6523320596085598,0.065184,0.037087339079529553
5,contrrol,26.4,NA,38.82,NA,NA,NA,8.19,NA,8.161874639356888,NA,NA,NA
6,heated,36.968333333333334,3.731750151792359,31.056666666666665,3.9922047606021804,380.57894736842104,170.03575666266195,8.061333333333334,0.37535944459101894,7.937876157936955,0.09583005060939394,0.043626,0.0477630542530411
6,low_ph,38.72,NA,31.7,NA,NA,NA,8,NA,7.948759512713012,NA,NA,NA
7,heated,37.036,3.7268324351921165,30.557333333333332,4.218414421306311,403.9649122842105,223.27436741918356,8.015333333333333,0.09493131213139601,7.866815581917475,0.468698606337677,0.038118,0.025277902894362936
7,low_ph,39.04,NA,28.7,NA,NA,NA,7.99,NA,7.922541873210781,NA,NA,NA
NA,Acclimation,27,NA,38.35,NA,45,NA,7.9,NA,7.893166312338436,NA,7.199999999999999e-4,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
