"","PrimingTreatment","variable","N","mean","sem"
"1","Acclimation","...1",2,14.5,0.5
"2","Acclimation","Time",2,35040,840
"3","Acclimation","Tank",2,1,0
"4","Acclimation","Salinity",2,37.005,0.625
"5","Acclimation","Temperature",2,27,0.100000000000001
"6","Acclimation","pH.Total",2,7.98328651067748,0.00192482454708465
"7","Acclimation","CO2",2,12.6193559362511,0.3768546644521
"8","Acclimation","pCO2",2,473.323246593701,13.7674321217585
"9","Acclimation","HCO3",2,1820.09162484468,41.7535229090651
"10","Acclimation","CO3",2,213.074328763688,1.80455866089551
"11","Acclimation","DIC",2,2045.78530954461,43.93493623441
"12","Acclimation","TA",2,2344.8521875,43.0892544999999
"13","Acclimation","AragSat",2,3.36411489769937,0.0467144043053549
"14","Control","...1",15,28,3.02056443795022
"15","Control","Time",15,41232,2986.43332421804
"16","Control","Tank",15,4.46666666666667,0.133333333333333
"17","Control","Salinity",15,38.7853333333333,0.0572452257661361
"18","Control","Temperature",15,27.66,0.345694607861855
"19","Control","pH.Total",15,8.06339371260657,0.0209940275864819
"20","Control","CO2",15,9.57778894264082,0.535600759172558
"21","Control","pCO2",15,369.200953875673,22.2824087833768
"22","Control","HCO3",15,1664.37610620178,21.0337064560414
"23","Control","CO3",15,250.813084410148,7.92132890475372
"24","Control","DIC",15,1924.76697955457,14.2428912968127
"25","Control","TA",15,2289.9602946,6.28833400299592
"26","Control","AragSat",15,3.91383652364602,0.123580333274385
"27","High Heat","...1",15,27,2.75335293432433
"28","High Heat","Time",15,43804,3141.2652591864
"29","High Heat","Tank",15,6.46666666666667,0.133333333333333
"30","High Heat","Salinity",15,38.482,0.204038278388196
"31","High Heat","Temperature",15,29.16,0.289136645896019
"32","High Heat","pH.Total",15,8.04950289604239,0.0194149202073992
"33","High Heat","CO2",15,9.67863285654709,0.514384816603262
"34","High Heat","pCO2",15,384.628196152444,20.3107958375042
"35","High Heat","HCO3",15,1672.25048435524,21.710346168118
"36","High Heat","CO3",15,256.148776539947,8.68980806150455
"37","High Heat","DIC",15,1938.07789375173,13.8158618916886
"38","High Heat","TA",15,2308.93386486667,4.2695080593271
"39","High Heat","AragSat",15,4.03838178656119,0.141538568848697
"40","Low pH","...1",15,18.2666666666667,4.4136872250574
"41","Low pH","Time",15,43520,3205.39545142249
"42","Low pH","Tank",15,2.53333333333333,0.133333333333333
"43","Low pH","Salinity",15,38.7853333333333,0.102951059416213
"44","Low pH","Temperature",15,27.56,0.25219040425837
"45","Low pH","pH.Total",15,7.97055220144004,0.0391441939659474
"46","Low pH","CO2",15,13.3904662590251,1.3961421585051
"47","Low pH","pCO2",15,512.915393424972,52.921899916617
"48","Low pH","HCO3",15,1766.84228371521,40.6728512132497
"49","Low pH","CO3",15,219.415897592238,15.3181890710877
"50","Low pH","DIC",15,1999.64864756647,26.7597635905451
"51","Low pH","TA",15,2312.74978806667,2.89056131581308
"52","Low pH","AragSat",15,3.42065578278506,0.237215326447496
