"","Tris.date","mVTris","Ttris"
"1",20240619,-81.5,21.8
"2",20240619,-80.3,20.4
"3",20240619,-79.8,22.8
"4",20240619,-78.7,23.8
"5",20240619,-77.1,24.8
"6",20240619,-76.1,25.8
"7",20240619,-73.3,26.8
"8",20240619,-72.9,27.8
"9",20240619,-72,28.8
"10",20240619,-70.8,29.8
"11",20240626,-88.3,18
"12",20240626,-86.7,18.4
"13",20240626,-86.2,18.8
"14",20240626,-85.5,19.2
"15",20240626,-84.6,19.6
"16",20240626,-84.5,20
"17",20240626,-84.3,20.4
"18",20240626,-83.7,20.8
"19",20240626,-83.1,21.2
"20",20240626,-82.9,21.6
"21",20240626,-82.3,22
"22",20240626,-81.5,22.4
"23",20240626,-80.9,22.8
"24",20240626,-80.7,23.2
"25",20240626,-80.2,23.6
"26",20240626,-79.7,24
"27",20240626,-79.1,24.4
"28",20240626,-78.3,25.2
"29",20240626,-77.9,25.6
"30",20240626,-77.1,26.1
"31",20240626,-76.5,26.4
"32",20240626,-76.3,26.9
"33",20240626,-75.9,27.2
"34",20240626,-74.9,27.6
"35",20240626,-74.8,28
"36",20240626,-73.8,28.4
"37",20240626,-73.3,28.8
"38",20240626,-72.5,29.2
"39",20240626,-72.2,29.6
"40",20240626,-71.3,30
"41",20240701,-85.1,16.3
"42",20240701,-84.9,16.7
"43",20240701,-84.9,17.1
"44",20240701,-84.8,15.5
"45",20240701,-84.7,17.9
"46",20240701,-84,18.3
"47",20240701,-83.6,18.7
"48",20240701,-83.2,19.1
"49",20240701,-82.8,19.5
"50",20240701,-82.3,19.9
"51",20240701,-82,20.3
"52",20240701,-81.5,20.7
"53",20240701,-81.5,21.1
"54",20240701,-80.6,21.5
"55",20240701,-80.2,21.9
"56",20240701,-79.8,22.3
"57",20240701,-79.2,22.7
"58",20240701,-79,23.1
"59",20240701,-78.6,23.5
"60",20240701,-78.1,23.9
"61",20240701,-77.9,24.3
"62",20240701,-77.7,24.7
"63",20240701,-76.7,25.1
"64",20240701,-76.5,25.5
"65",20240701,-75.8,25.9
"66",20240701,-75.5,26.3
"67",20240701,-74.9,26.7
"68",20240701,-74.3,27.1
"69",20240701,-73.9,27.5
"70",20240701,-73,28.7
"71",20240701,-72.7,29.1
"72",20240701,-72.5,29.5
"73",20240701,-72.4,28.3
"74",20240701,-71.8,27.9
"75",20240701,-71.7,29.9
"76",20240701,-71.5,30.3
"77",20240701,-70.5,30.7
"78",20240701,-69.5,31.1
"79",20240704,-80.4,23.4
"80",20240704,-80,23.4
"81",20240704,-80,23.8
"82",20240704,-79.7,24
"83",20240704,-79.4,24.2
"84",20240704,-79.3,24.4
"85",20240704,-79,24.6
"86",20240704,-78.8,24.8
"87",20240704,-78.6,25
"88",20240704,-78.1,25.2
"89",20240704,-77.7,25.4
"90",20240704,-77.5,25.6
"91",20240704,-77.2,25.8
"92",20240704,-77,26
"93",20240704,-76.7,26.2
"94",20240704,-76.5,26.4
"95",20240704,-76.2,26.6
"96",20240704,-76,26.8
"97",20240704,-75.6,27
"98",20240704,-75.4,27.2
"99",20240704,-75.2,27.4
"100",20240704,-74.9,27.6
"101",20240704,-74.5,27.8
"102",20240704,-74,28
"103",20240704,-73.9,28.2
"104",20240704,-73.6,28.4
"105",20240704,-73.4,28.6
"106",20240704,-73.1,28.8
"107",20240704,-72.7,29
"108",20240704,-72.4,29.2
"109",20240704,-71.8,30
"110",20240704,-71.2,30.2
"111",20240704,-71,30.6
"112",20240704,-70.9,30.4
"113",20240704,-70.2,30.8
"114",20240704,-70,31
"115",20240704,-69.9,31.2
"116",20240704,-69.6,31.4
"117",20240704,-69.4,41.6
"118",20240704,-69.2,31.8
"119",20240704,-68.9,32
"120",20240707,-82.3,22.7
"121",20240707,-81.8,23.1
"122",20240707,-81.4,23.5
"123",20240707,-81,23.9
"124",20240707,-80.5,24.3
"125",20240707,-80.1,24.7
"126",20240707,-79.4,25.1
"127",20240707,-78.9,25.5
"128",20240707,-78.3,25.9
"129",20240707,-77.7,26.3
"130",20240707,-77.3,26.7
"131",20240707,-76.5,27.1
"132",20240707,-75.9,27.5
"133",20240707,-75.3,27.9
"134",20240707,-74.5,28.3
"135",20240707,-74.1,28.7
"136",20240707,-73.3,29.1
"137",20240707,-72.5,29.5
"138",20240707,-72.1,29.9
"139",20240707,-71.5,30.3
"140",20240707,-70.6,30.7
"141",20240707,-69.7,31.1
"142",20240707,-68.4,31.5
"143",20240707,-68,31.9
"144",20240707,-67.9,32.3
"145",20240710,-88.8,18.4
"146",20240710,-88.6,18.6
"147",20240710,-87.2,18.8
"148",20240710,-87.1,19.2
"149",20240710,-87,19
"150",20240710,-86.3,19.6
"151",20240710,-85.6,20.2
"152",20240710,-85.6,20.4
"153",20240710,-85.4,19.8
"154",20240710,-85.1,20.8
"155",20240710,-85,20.6
"156",20240710,-84.9,21
"157",20240710,-84.9,21.4
"158",20240710,-84.6,20
"159",20240710,-84.6,21.8
"160",20240710,-84.5,21.2
"161",20240710,-84.4,22
"162",20240710,-84.2,21.6
"163",20240710,-83.9,22.2
"164",20240710,-83.7,22.4
"165",20240710,-83.6,22.6
"166",20240710,-83.2,22.8
"167",20240710,-83,23
"168",20240710,-82.9,23.2
"169",20240710,-82.6,23.4
"170",20240710,-82,23.6
"171",20240710,-81.8,23.8
"172",20240710,-81.5,24
"173",20240710,-81.3,24.2
"174",20240710,-81.1,24.4
"175",20240710,-80.8,25
"176",20240710,-80.5,24.8
"177",20240710,-80.4,24.6
"178",20240710,-79.9,25.2
"179",20240710,-79.5,25.4
"180",20240710,-79.2,25.6
"181",20240710,-78.9,25.8
"182",20240710,-78.8,26.4
"183",20240710,-78.7,26
"184",20240710,-78.5,26.2
"185",20240710,-78.5,26.6
"186",20240710,-78,26.8
"187",20240710,-77.5,27
"188",20240710,-77.4,27.2
"189",20240710,-77.2,27.4
"190",20240710,-76.6,27.6
"191",20240710,-76.3,27.8
"192",20240710,-75.5,28
"193",20240710,-75.2,28.4
"194",20240710,-75.1,28.2
"195",20240710,-74.5,28.6
"196",20240710,-74.4,29
"197",20240710,-74.3,28.8
"198",20240710,-74.2,29.2
"199",20240710,-73.3,29.4
"200",20240710,-73.3,29.6
"201",20240710,-73,29.8
"202",20240710,-72.8,30
"203",20240710,-72.2,30.2
"204",20240710,-72.1,30.4
"205",20240710,-71.7,30.6
"206",20240710,-71.2,30.8
"207",20240710,-70.6,31.2
"208",20240710,-70.2,31.4
"209",20240710,-70,31
"210",20240710,-69.9,31.6
"211",20240710,-69.7,31.8
"212",20240710,-69.4,32
"213",20240710,-69,32.2
"214",20240710,-68.6,32.4
"215",20240710,-68.3,32.6
"216",20240710,-67.9,32.8
"217",20240710,-67.5,33
"218",20240710,86.9,19.4
"219",20240715,-92.5,14.6
"220",20240715,-92,15
"221",20240715,-91.5,15.5
"222",20240715,-90.3,16.4
"223",20240715,-89.8,17
"224",20240715,-89.2,17.5
"225",20240715,-88.5,18
"226",20240715,-88,18.5
"227",20240715,-86.8,19
"228",20240715,-86,19.5
"229",20240715,-85.6,20.2
"230",20240715,-84.6,20.6
"231",20240715,-84.2,21
"232",20240715,-83.8,21.5
"233",20240715,-83.6,22
"234",20240715,-83.1,22.5
"235",20240715,-82.6,23
"236",20240715,-81.9,23.5
"237",20240715,-81.3,24
"238",20240715,-80.6,24.5
"239",20240715,-80.3,25
"240",20240715,-78.3,25.6
"241",20240715,-78.1,26
"242",20240715,-78,26.5
"243",20240715,-76.9,27
"244",20240715,-75.9,28
"245",20240715,-74.8,28.5
"246",20240715,-74.1,29
"247",20240715,-73.3,29.5
"248",20240715,-72.2,30
"249",20240715,76.1,27.5
"250",20240718,-90.3,16.4
"251",20240718,-89.5,17.5
"252",20240718,-88.5,18.4
"253",20240718,-87.5,19
"254",20240718,-87,19.5
"255",20240718,-86.2,20
"256",20240718,-85.4,20.7
"257",20240718,-84.9,21
"258",20240718,-84,21.5
"259",20240718,-83.6,22
"260",20240718,-83.1,22.5
"261",20240718,-82.5,23
"262",20240718,-81.9,23.5
"263",20240718,-81.4,24
"264",20240718,-80.7,24.5
"265",20240718,-80.2,25
"266",20240718,-79.6,25.5
"267",20240718,-78.9,26
"268",20240718,-78.1,26.5
"269",20240718,-77.8,27
"270",20240718,-76.6,27.5
"271",20240718,-76,28
"272",20240718,-75.3,28.5
"273",20240718,-74.2,29
"274",20240718,-73.6,29.5
"275",20240718,-72.6,30
"276",20240718,-71.9,30.5
"277",20240718,-70.5,31
"278",20240718,-69.8,31.5
"279",20240724,-86.5,18.5
"280",20240724,-86.3,19.5
"281",20240724,-86.2,19
"282",20240724,-85.9,17.5
"283",20240724,-85.9,18
"284",20240724,-85.5,20.5
"285",20240724,-85.3,20.3
"286",20240724,-84.5,21.1
"287",20240724,-83.5,21.5
"288",20240724,-82.6,22
"289",20240724,-81.8,22.5
"290",20240724,-81.2,23
"291",20240724,-80.8,23.5
"292",20240724,-79.8,24
"293",20240724,-79.3,25
"294",20240724,-79.2,24.5
"295",20240724,-78.9,25.5
"296",20240724,-78.6,26.5
"297",20240724,-78.5,26
"298",20240724,-77.1,27
"299",20240724,-76.8,27.5
"300",20240724,-76.3,28
"301",20240807,-83.3,22.5
"302",20240807,-83,23
"303",20240807,-82.8,20.1
"304",20240807,-82.7,23.5
"305",20240807,-82.5,19.5
"306",20240807,-82.5,20.5
"307",20240807,-82.5,21.5
"308",20240807,-82.5,22
"309",20240807,-82.2,21
"310",20240807,-82.1,24
"311",20240807,-81.9,19.1
"312",20240807,-81.4,24.5
"313",20240807,-80.9,25
"314",20240807,-79.6,25.6
"315",20240807,-78.5,26.5
"316",20240807,-78.4,27
"317",20240807,-77.8,27.5
"318",20240807,-77.1,28
"319",20240807,-76.6,28.5
"320",20240807,-75.8,29
