,sample.id,micromol.cm2.h,Treatment,Genotype,Species,Timepoint,measure
1,DL-1-1,0.414418055,acclimation,1,DL,Week1,Photo
2,DL-1-10,0.671143,acclimation,1,DL,Week1,Photo
3,DL-1-11,0.580875295,acclimation,1,DL,Week1,Photo
4,DL-1-12,0.395190742,acclimation,1,DL,Week1,Photo
5,DL-1-13,0.03528637,acclimation,1,DL,Week1,Photo
6,DL-1-14,0.541676737,acclimation,1,DL,Week1,Photo
7,DL-1-15,-0.080539553,acclimation,1,DL,Week1,Photo
8,DL-1-16,0.642403696,acclimation,1,DL,Week1,Photo
9,DL-1-17,0.315373744,acclimation,1,DL,Week1,Photo
10,DL-1-18,0.384347279,acclimation,1,DL,Week1,Photo
11,DL-1-19,0.513581164,acclimation,1,DL,Week1,Photo
12,DL-1-20,0.066059755,acclimation,1,DL,Week1,Photo
13,DL-1-21,0.605914464,acclimation,1,DL,Week1,Photo
14,DL-1-22,-0.125535626,acclimation,1,DL,Week1,Photo
15,DL-1-24,0.359343459,acclimation,1,DL,Week1,Photo
16,DL-1-25,0.417292561,acclimation,1,DL,Week1,Photo
17,DL-1-26,0.697866336,acclimation,1,DL,Week1,Photo
18,DL-1-28,0.246405247,acclimation,1,DL,Week1,Photo
19,DL-1-3,0.439525221,acclimation,1,DL,Week1,Photo
20,DL-1-4,0.234281374,acclimation,1,DL,Week1,Photo
21,DL-1-5,0.338890624,acclimation,1,DL,Week1,Photo
22,DL-1-6,0.090824207,acclimation,1,DL,Week1,Photo
23,DL-1-7,0.315739297,acclimation,1,DL,Week1,Photo
24,DL-1-8,0.433148837,acclimation,1,DL,Week1,Photo
25,DL-1-9,0.611880409,acclimation,1,DL,Week1,Photo
26,DL-2-1,0.060798361,acclimation,2,DL,Week1,Photo
27,DL-2-10,0.638748168,acclimation,2,DL,Week1,Photo
28,DL-2-11,0.970591202,acclimation,2,DL,Week1,Photo
29,DL-2-12,0.604302282,acclimation,2,DL,Week1,Photo
30,DL-2-13,0.831166725,acclimation,2,DL,Week1,Photo
31,DL-2-15,0.533758542,acclimation,2,DL,Week1,Photo
32,DL-2-16,0.633625964,acclimation,2,DL,Week1,Photo
33,DL-2-17,0.525490444,acclimation,2,DL,Week1,Photo
34,DL-2-2,0.757103601,acclimation,2,DL,Week1,Photo
35,DL-2-20,0.615366354,acclimation,2,DL,Week1,Photo
36,DL-2-21,0.565139329,acclimation,2,DL,Week1,Photo
37,DL-2-21,0.597481981,acclimation,2,DL,Week1,Photo
38,DL-2-21,0.509460411,acclimation,2,DL,Week1,Photo
39,DL-2-21,0.541803063,acclimation,2,DL,Week1,Photo
40,DL-2-22,0.85588695,acclimation,2,DL,Week1,Photo
41,DL-2-23,0.618479698,acclimation,2,DL,Week1,Photo
42,DL-2-24,0.080918567,acclimation,2,DL,Week1,Photo
43,DL-2-25,0.60382694,acclimation,2,DL,Week1,Photo
44,DL-2-3,0.482765044,acclimation,2,DL,Week1,Photo
45,DL-2-4,0.667090266,acclimation,2,DL,Week1,Photo
46,DL-2-5,0.815009364,acclimation,2,DL,Week1,Photo
47,DL-2-7,0.970383933,acclimation,2,DL,Week1,Photo
