"","sample.id","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-11",0.586084419565118,"Control","1","DL","Week5","Photo"
"2","DL-1-13",0.721673799002774,"Control","1","DL","Week5","Photo"
"3","DL-1-14",0.492116270737449,"Control","1","DL","Week5","Photo"
"4","DL-1-16",0.622322211004591,"Heat","1","DL","Week5","Photo"
"5","DL-1-17",0.213049406536532,"Heat","1","DL","Week5","Photo"
"6","DL-1-18",0.553587124461144,"Heat","1","DL","Week5","Photo"
"7","DL-1-19",0.442309804668636,"Heat","1","DL","Week5","Photo"
"8","DL-1-20",0.495348562500048,"Heat","1","DL","Week5","Photo"
"9","DL-1-24",0.0424539454158414,"Control","1","DL","Week5","Photo"
"10","DL-1-26",0.433898253438755,"Control","1","DL","Week5","Photo"
"11","DL-1-6",0.353579181751099,"Control","1","DL","Week5","Photo"
"12","DL-1-7",0.566253647738995,"Heat","1","DL","Week5","Photo"
"13","DL-2-10",0.915923283380477,"Heat","2","DL","Week5","Photo"
"14","DL-2-13",0.72360492596403,"Heat","2","DL","Week5","Photo"
"15","DL-2-19",0.261429560326644,"Heat","2","DL","Week5","Photo"
"16","DL-2-2",0.703742913889106,"Heat","2","DL","Week5","Photo"
"17","DL-2-20",0.591381736688045,"Control","2","DL","Week5","Photo"
"18","DL-2-23",0.503425095520533,"Control","2","DL","Week5","Photo"
"19","DL-2-24",0.587150499819932,"Control","2","DL","Week5","Photo"
"20","DL-2-25",0.745880724661635,"Control","2","DL","Week5","Photo"
"21","DL-2-26",0.230045001087166,"Control","2","DL","Week5","Photo"
"22","DL-2-3",0.349397909426627,"Control","2","DL","Week5","Photo"
"23","DL-2-4",0.783217206394163,"Heat","2","DL","Week5","Photo"
"24","DL-2-8",0.340026398723675,"Heat","2","DL","Week5","Photo"
"25","DL-3-10",0.794088992677467,"Control","3","DL","Week5","Photo"
"26","DL-3-11",0.531531466722523,"Control","3","DL","Week5","Photo"
"27","DL-3-14",0.74424503666877,"Control","3","DL","Week5","Photo"
"28","DL-3-18",0.53621096275456,"Heat","3","DL","Week5","Photo"
"29","DL-3-19",0.479264315571163,"Heat","3","DL","Week5","Photo"
"30","DL-3-2",0.760929240500923,"Control","3","DL","Week5","Photo"
"31","DL-3-22",0.436740922335108,"Heat","3","DL","Week5","Photo"
"32","DL-3-24",0.016083294389047,"Control","3","DL","Week5","Photo"
"33","DL-3-3",0.545015709351489,"Heat","3","DL","Week5","Photo"
"34","DL-3-7",0.814728738282707,"Heat","3","DL","Week5","Photo"
"35","DL-3-8",0.98480795556281,"Control","3","DL","Week5","Photo"
"36","DL-3-9",0.266026548677524,"Heat","3","DL","Week5","Photo"
"37","DL-4-1",0.564192808621625,"Heat","4","DL","Week5","Photo"
"38","DL-4-12",0.545493226996368,"Control","4","DL","Week5","Photo"
