"","sample.id","micromol.cm2.h","Treatment","Genotype","Species","Timepoint","measure"
"1","DL-1-1",-0.594533298937304,"pH","1","DL","Week5","Resp"
"2","DL-1-10",-0.54951843615471,"Control","1","DL","Week5","Resp"
"3","DL-1-11",-0.445408240078711,"Heat","1","DL","Week5","Resp"
"4","DL-1-13",-0.468111644500289,"pH","1","DL","Week5","Resp"
"5","DL-1-14",-0.496843462030465,"Control","1","DL","Week5","Resp"
"6","DL-1-16",-0.483440311683878,"pH","1","DL","Week5","Resp"
"7","DL-1-17",-0.329202816543382,"pH","1","DL","Week5","Resp"
"8","DL-1-18",0.0699808821525849,"Heat","1","DL","Week5","Resp"
"9","DL-1-19",-0.251974736492669,"Control","1","DL","Week5","Resp"
"10","DL-1-20",-0.44870458554774,"Heat","1","DL","Week5","Resp"
"11","DL-1-21",-0.389833136010441,"pH","1","DL","Week5","Resp"
"12","DL-1-23",-0.358381930823727,"Heat","1","DL","Week5","Resp"
"13","DL-1-24",-0.411799651672624,"Control","1","DL","Week5","Resp"
"14","DL-1-26",-0.502696186827867,"Heat","1","DL","Week5","Resp"
"15","DL-1-4",-0.445655524633192,"Control","1","DL","Week5","Resp"
"16","DL-1-5",-0.573050178926683,"Heat","1","DL","Week5","Resp"
"17","DL-1-6",-0.806820757163729,"pH","1","DL","Week5","Resp"
"18","DL-2-1",-0.657934955796788,"pH","2","DL","Week5","Resp"
"19","DL-2-10",-0.602164762623819,"Heat","2","DL","Week5","Resp"
"20","DL-2-11",-0.627846341465753,"Control","2","DL","Week5","Resp"
"21","DL-2-13",-0.434063711745151,"Heat","2","DL","Week5","Resp"
"22","DL-2-14",-0.497727014541311,"Control","2","DL","Week5","Resp"
"23","DL-2-16",-0.55645288511844,"pH","2","DL","Week5","Resp"
"24","DL-2-19",-0.353967970343218,"pH","2","DL","Week5","Resp"
"25","DL-2-2",-0.377257227227978,"Control","2","DL","Week5","Resp"
"26","DL-2-20",-0.389448637323287,"pH","2","DL","Week5","Resp"
"27","DL-2-22",-0.574886588404049,"Heat","2","DL","Week5","Resp"
"28","DL-2-23",-0.396621150422708,"Heat","2","DL","Week5","Resp"
"29","DL-2-24",-0.395639789612167,"Heat","2","DL","Week5","Resp"
"30","DL-2-25",-0.471446944815152,"Control","2","DL","Week5","Resp"
"31","DL-2-4",-0.495618149822405,"Control","2","DL","Week5","Resp"
"32","DL-2-7",-0.645991463755002,"Heat","2","DL","Week5","Resp"
"33","DL-2-8",-0.476400238267674,"pH","2","DL","Week5","Resp"
"34","DL-3-1",-0.560282503013947,"Control","3","DL","Week5","Resp"
"35","DL-3-11",-0.505366142242469,"pH","3","DL","Week5","Resp"
"36","DL-3-14",-0.535716875337197,"Control","3","DL","Week5","Resp"
"37","DL-3-16",-0.462366591358137,"pH","3","DL","Week5","Resp"
"38","DL-3-17",-0.66494375980284,"pH","3","DL","Week5","Resp"
"39","DL-3-18",-0.612970729716299,"pH","3","DL","Week5","Resp"
"40","DL-3-19",-0.357825354729525,"Control","3","DL","Week5","Resp"
"41","DL-3-20",-0.565738897471269,"Heat","3","DL","Week5","Resp"
"42","DL-3-24",-0.504602655455174,"Control","3","DL","Week5","Resp"
"43","DL-3-3",-0.389931334089272,"Control","3","DL","Week5","Resp"
"44","DL-3-4",-0.381855714604212,"Control","3","DL","Week5","Resp"
"45","DL-3-5",-0.397653195309328,"Heat","3","DL","Week5","Resp"
"46","DL-3-7",-0.540851398239499,"Heat","3","DL","Week5","Resp"
"47","DL-3-8",-0.632917162340323,"pH","3","DL","Week5","Resp"
"48","DL-3-9",-0.446001749502391,"pH","3","DL","Week5","Resp"
"49","DL-4-1",-0.495866152846142,"Control","4","DL","Week5","Resp"
"50","DL-4-10",-0.697801797483131,"pH","4","DL","Week5","Resp"
"51","DL-4-11",-0.76528423409188,"pH","4","DL","Week5","Resp"
"52","DL-4-12",-0.716833928095534,"pH","4","DL","Week5","Resp"
"53","DL-4-15",-0.464005784103888,"Heat","4","DL","Week5","Resp"
"54","DL-4-17",-0.752476063409121,"pH","4","DL","Week5","Resp"
"55","DL-4-18",-0.49304789757888,"Control","4","DL","Week5","Resp"
"56","DL-4-19",-0.568506695236008,"Heat","4","DL","Week5","Resp"
"57","DL-4-2",-0.561220475689646,"Control","4","DL","Week5","Resp"
"58","DL-4-20",-0.571967883611365,"Heat","4","DL","Week5","Resp"
"59","DL-4-21",-0.651115680811584,"Control","4","DL","Week5","Resp"
"60","DL-4-22",-0.754360179839542,"pH","4","DL","Week5","Resp"
"61","DL-4-23",-0.57728112323122,"Control","4","DL","Week5","Resp"
"62","DL-4-24",-0.426117171667462,"pH","4","DL","Week5","Resp"
"63","DL-4-25",-0.626152020240082,"Heat","4","DL","Week5","Resp"
"64","DL-4-3",-0.473168735981653,"Control","4","DL","Week5","Resp"
"65","DL-4-5",-0.545616877528212,"Heat","4","DL","Week5","Resp"
"66","DL-4-9",-0.457809079908567,"Heat","4","DL","Week5","Resp"
"67","MD-1-10",-0.401529154227484,"pH","1","MD","Week5","Resp"
"68","MD-1-12",-0.534479893301299,"Heat","1","MD","Week5","Resp"
"69","MD-1-12",-0.449092437569321,"Heat","1","MD","Week5","Resp"
"70","MD-1-13",-0.854650756527339,"pH","1","MD","Week5","Resp"
"71","MD-1-14",-0.399475502272138,"Control","1","MD","Week5","Resp"
"72","MD-1-16",-0.246538575933873,"Heat","1","MD","Week5","Resp"
"73","MD-1-17",-0.539782623204297,"Heat","1","MD","Week5","Resp"
"74","MD-1-18",-0.254717585287638,"pH","1","MD","Week5","Resp"
"75","MD-1-2",-0.29879213607245,"Control","1","MD","Week5","Resp"
"76","MD-1-21",-0.334479134268923,"Heat","1","MD","Week5","Resp"
"77","MD-1-22",-0.344643403759572,"Heat","1","MD","Week5","Resp"
"78","MD-1-24",-0.464166819103856,"Control","1","MD","Week5","Resp"
"79","MD-1-25",-0.529776234456838,"Control","1","MD","Week5","Resp"
"80","MD-1-26",-0.670991435142728,"Heat","1","MD","Week5","Resp"
"81","MD-1-4",-0.301673075189221,"pH","1","MD","Week5","Resp"
"82","MD-1-6",-0.988797079821641,"pH","1","MD","Week5","Resp"
"83","MD-1-7",-0.628441812781332,"Control","1","MD","Week5","Resp"
"84","MD-1-8",-1.29338534643692,"pH","1","MD","Week5","Resp"
"85","MD-2-10",-0.545058350396968,"pH","2","MD","Week5","Resp"
"86","MD-2-12",-0.44864307549352,"Heat","2","MD","Week5","Resp"
"87","MD-2-13",-0.613913320493035,"Heat","2","MD","Week5","Resp"
"88","MD-2-14",-0.499518000199974,"Heat","2","MD","Week5","Resp"
"89","MD-2-15",-0.524618428844068,"Control","2","MD","Week5","Resp"
"90","MD-2-17",-1.05847974022172,"pH","2","MD","Week5","Resp"
"91","MD-2-18",-0.275841802960319,"Control","2","MD","Week5","Resp"
"92","MD-2-19",-0.428585858116015,"Control","2","MD","Week5","Resp"
"93","MD-2-2",-0.37136159817377,"pH","2","MD","Week5","Resp"
"94","MD-2-20",-0.378396856368327,"pH","2","MD","Week5","Resp"
"95","MD-2-21",-0.65095302821058,"pH","2","MD","Week5","Resp"
"96","MD-2-24",-0.605353418701401,"Control","2","MD","Week5","Resp"
"97","MD-2-26",-0.397489338232647,"Heat","2","MD","Week5","Resp"
"98","MD-2-3",-0.383226908225408,"Heat","2","MD","Week5","Resp"
"99","MD-2-6",-0.739780770139438,"Control","2","MD","Week5","Resp"
"100","MD-2-7",-0.526104123800734,"Heat","2","MD","Week5","Resp"
"101","MD-2-8",-0.502622631449876,"Control","2","MD","Week5","Resp"
"102","MD-4-10",-0.318470400511495,"Control","4","MD","Week5","Resp"
"103","MD-4-11",-0.433216744370841,"Heat","4","MD","Week5","Resp"
"104","MD-4-15",-0.38783620687392,"pH","4","MD","Week5","Resp"
"105","MD-4-17",-0.427568104323193,"Control","4","MD","Week5","Resp"
"106","MD-4-18",-0.358294388333906,"Heat","4","MD","Week5","Resp"
"107","MD-4-19",-0.260103596054009,"Control","4","MD","Week5","Resp"
"108","MD-4-2",-0.320339024231927,"Control","4","MD","Week5","Resp"
"109","MD-4-20",-0.19308408725438,"Control","4","MD","Week5","Resp"
"110","MD-4-21",-0.323490895783907,"pH","4","MD","Week5","Resp"
"111","MD-4-23",-0.535400897515561,"Heat","4","MD","Week5","Resp"
"112","MD-4-24",-0.366093724538732,"pH","4","MD","Week5","Resp"
"113","MD-4-25",-1.38260324292319,"pH","4","MD","Week5","Resp"
"114","MD-4-26",-0.39378256475539,"Control","4","MD","Week5","Resp"
"115","MD-4-3",-0.539686435310356,"Heat","4","MD","Week5","Resp"
"116","MD-4-5",-0.604911702419699,"pH","4","MD","Week5","Resp"
"117","MD-4-7",-0.478426585236782,"Heat","4","MD","Week5","Resp"
"118","MD-5-1",-0.508902535507765,"pH","5","MD","Week5","Resp"
"119","MD-5-10",-0.387157067735305,"Heat","5","MD","Week5","Resp"
"120","MD-5-11",-0.516719322750187,"Heat","5","MD","Week5","Resp"
"121","MD-5-13",-0.489923551363034,"pH","5","MD","Week5","Resp"
"122","MD-5-15",-0.572119026833781,"Heat","5","MD","Week5","Resp"
"123","MD-5-18",-0.367568254264656,"Control","5","MD","Week5","Resp"
"124","MD-5-20",-0.36026675203755,"Heat","5","MD","Week5","Resp"
"125","MD-5-21",-0.481920736064166,"Control","5","MD","Week5","Resp"
"126","MD-5-22",-0.307999509922067,"pH","5","MD","Week5","Resp"
"127","MD-5-24",-0.325369831803741,"Control","5","MD","Week5","Resp"
"128","MD-5-25",-0.420278286775219,"pH","5","MD","Week5","Resp"
"129","MD-5-3",-0.282664970065721,"pH","5","MD","Week5","Resp"
"130","MD-5-4",-0.251438069118854,"Heat","5","MD","Week5","Resp"
"131","MD-5-6",-0.518160168316606,"Control","5","MD","Week5","Resp"
"132","MD-5-9",-0.291504827877725,"Control","5","MD","Week5","Resp"
