Colony_id,surface.area.cm2,Sample_date,Tank
DL-extra,26.175205495560107,20240815,4
DL-4-34,31.551125859637438,20240815,4
MD-1-36,49.22016067201355,20240815,3
DL-4-12,23.65143598473965,20240815,3
DL-4-16,44.25471698598151,20240723,7
DL-2-2,36.33119298139082,20240815,4
DL-1-13,30.98969969353675,20240815,3
DL-2-25,35.88893746,20240815,5
DL-3-13,24.644524721945984,20240723,7
MD-1-14,16.045965199718264,20240806,5
MD-1-20,9.017280353266317,20240723,3
MD-5-22,30.539499466003207,20240815,3
MD-4-23,9.136451001731064,20240806,6
DL-2-10,20.264341331707712,20240815,6
MD-4-27,17.314205723046655,20240815,5
DL-1-15,32.80374178683376,20240723,2
DL-3-14,17.348632799269822,20240815,5
MD-4-7,24.64187648531353,20240815,6
DL-2-21,43.90779798711747,20240723,3
MD-4-1,10.886935415846875,20240723,4
MD-2-2,11.869431206523066,20240806,2
DL-1-6,26.78694815767932,20240815,3
DL-3-30,22.64245782773805,20240815,5
MD-4-35,14.930792753751277,20240815,3
DL-3-6,26.19374315198801,20240723,4
DL-4-17,30.33028877203165,20240815,2
DL-3-11,24.54653996654166,20240815,3
DL-2-4,26.980269431855426,20240815,4
MD-1-5,16.477362947160714,20240723,7
DL-1-28,29.52257659910388,20240815,3
MD-4-22,41.961344062192964,20240815,3
MD-1-8,11.511919261128764,20240806,3
MD-4-10,30.362067611622273,20240815,4
DL-1-17,41.73624394842614,20240815,2
DL-2-24,32.207888544509906,20240815,7
DL-2-26,33.42078092221807,20240815,5
MD-1-2,30.58187125212396,20240806,4
MD-4-26,20.44442142272119,20240815,5
DL-1-19,32.13373791879848,20240815,4
MD-1-16,38.64310356160727,20240815,6
DL-3-19,31.453141104233026,20240815,4
MD-5-2,16.832226655922433,20240709,acclimation
DL-4-1,58.89681732735264,20240815,4
DL-2-19,33.902759989342144,20240815,2
DL-4-22,24.22345509737056,20240815,3
MD-2-18,21.704982059815144,20240815,5
MD-4-2,18.542987520549985,20240815,5
MD-4-24,9.817047816296524,20240815,3
DL-3-9,20.343788430684256,20240815,2
DL-3-8,23.64613951147456,20240815,3
MD-2-35,18.71247466503324,20240815,2
DL-4-24,44.220289909758435,20240815,2
DL-2-3,31.061202082615637,20240815,3
DL-2-22,26.159316075764842,20240806,7
MD-2-21,5.603703334,20240815,3
DL-1-16,29.268345882379073,20240815,2
DL-1-30,24.482982287360507,20240815,3
DL-2-20,29.99661095633033,20240815,3
DL-2-31,22.22138820316249,20240815,3
MD-2-7,9.459535870902211,20240815,7
DL-4-33,35.85451038753183,20240815,3
DL-2-13,24.059264426152396,20240815,6
DL-4-25,27.67410743,20240815,7
DL-1-11,29.935701513781716,20240815,7
MD-5-17,6.602088544380361,20240815,2
DL-3-18,23.317758169038328,20240815,2
MD-2-20,18.026581377202668,20240815,2
MD-5-3,52.22061278,20240815,3
MD-2-17,14.218417099595241,20240815,3
MD-1-31,10.092464426081756,20240815,2
MD-1-24,19.71880458540234,20240815,5
MD-2-32,10.720096507996214,20240815,3
MD-2-19,19.451332685514764,20240815,4
DL-2-8,20.862842810664112,20240815,2
MD-1-13,13.543116758294916,20240815,2
MD-5-23,16.085423925543274,20240723,3
DL-3-1,35.98162574589414,20240806,5
DL-3-15,31.88480367533876,20240723,5
MD-5-9,27.136515393175955,20240815,5
DL-2-11,19.207694915320133,20240806,5
DL-3-12,17.534009363548293,20240723,3
MD-1-10,24.04867147962222,20240815,3
DL-3-2,23.352185245261495,20240815,7
DL-1-14,15.860323811776501,20240815,5
DL-3-27,25.971291274853826,20240815,6
MD-4-25,5.632833936866938,20240806,3
DL-2-7,21.048219374942683,20240806,4
MD-1-4,15.333324721898936,20240815,2
MD-4-5,17.592270569464407,20240806,2
MD-2-8,8.153955211054885,20240806,5
MD-5-24,45.18954451727187,20240806,5
MD-1-22,20.23256249211714,20240806,7
Dl-3-30,32.45947102460217,20240815,3
MD-5-8,10.87369423268413,20240723,7
MD-2-9,29.97807329990252,20240815,2
MD-2-16,24.79017773673634,20240709,acclimation
MD-2-12,18.09543552964898,20240806,7
DL-1-18,30.412384107640705,20240815,6
MD-1-6,10.113650319142133,20240806,6
MD-1-7,13.559006178090183,20240815,4
DL-2-18,26.659832799316916,20240806,5
DL-2-12,36.63838843076661,20240723,7
DL-2-17,29.68941550695454,20240709,acclimation
DL-4-13,64.48459662203389,20240723,7
DL-1-21,29.443129500127363,20240806,2
DL-3-5,24.68160003480179,20240806,6
DL-1-12,31.998677850538442,20240723,4
DL-4-10,31.50875407351664,20240806,2
MD-4-6,17.067919716219457,20240723,6
DL-1-3,45.72448831704712,20240723,7
DL-3-21,42.673719716348955,20240709,acclimation
DL-4-5,37.21835225,20240806,7
MD-4-20,26.559199807280002,20240806,5
DL-1-7,34.951461695832094,20240815,4
DL-3-17,28.86581391423141,20240806,3
MD-1-29,16.201946337375457,20240815,7
DL-4-6,33.56113746,20240709,acclimation
DL-2-9,25.497256917627283,20240723,5
DL-4-26,27.07560595,20240723,2
DL-4-7,51.52412654233246,20240723,4
DL-2-14,29.138582287384025,20240806,4
MD-5-12,26.00571835107695,20240709,acclimation
MD-1-23,14.671265563761358,20240709,acclimation
MD-5-7,32.33235566623977,20240815,6
MD-2-11,8.259884676356911,20240709,acclimation
MD-4-4,9.973293777617009,20240723,7
DL-1-27,37.61823598481031,20240815,5
MD-2-15,13.132640080249624,20240806,4
DL-4-11,32.58658638296467,20240806,3
MD-4-15,12.444098555786486,20240815,2
MD-4-14,16.080127452278187,20240709,acclimation
MD-4-11,24.347922219100468,20240815,7
DL-3-25,32.11520026237067,20240723,2
MD-2-5,11.686702878877105,20240723,5
DL-4-14,32.981173641214696,20240723,3
MD-1-9,14.933440990383868,20240815,5
MD-2-4,19.194453732157413,20240723,6
MD-5-26,19.427498555821863,20240723,2
MD-2-25,13.220031889123772,20240723,2
DL-4-4,29.99661095633033,20240723,5
DL-1-25,33.37046442619954,20240709,acclimation
DL-4-23,28.773125632092082,20240815,5
DL-1-10,30.12637455132537,20240806,5
MD-1-11,8.323442355538113,20240723,2
MD-5-20,33.95572472199313,20240815,7
DL-2-16,23.023803902825215,20240806,2
DL-3-24,33.77299639,20240815,5
DL-4-19,30.45475589,20240815,7
DL-3-4,28.142845313545152,20240806,4
DL-3-3,33.75181050128685,20240815,4
MD-2-24,7.211182969866963,20240815,4
MD-1-1,4.650338146190751,20240709,acclimation
DL-2-1,25.243026200902477,20240806,3
MD-4-21,19.496352708268113,20240815,2
MD-2-3,15.028777509155693,20240815,6
MD-2-10,33.092399579781834,20240806,3
DL-2-23,24.657765905108796,20240815,7
MD-4-13,8.797476712764643,20240723,5
DL-1-4,43.48143188927681,20240806,4
DL-3-16,29.925108567251442,20240806,2
MD-5-13,13.3365543,20240806,3
MD-1-25,15.309490592205991,20240815,4
DL-3-7,19.210343151952678,20240815,6
MD-2-13,14.986405723034894,20240815,6
MD-5-1,10.823377736665673,20240806,2
MD-5-21,15.926529727590248,20240815,5
MD-2-6,7.428338373736081,20240815,5
MD-1-17,8.270477622887112,20240815,6
MD-4-9,15.902695597897303,20240723,2
DL-1-26,24.678951798169244,20240815,7
DL-3-22,30.04163097908367,20240815,6
DL-4-9,32.34030038,20240815,6
MD-1-12,15.83648968208351,20240815,7
MD-5-16,20.272286041605348,20240723,6
MD-5-4,21.01114406208697,20240815,7
DL-3-10,22.12605168439066,20240815,7
MD-4-8,14.093949977865357,20240709,acclimation
DL-1-20,35.39901369,20240815,6
DL-2-5,40.21350788470975,20240723,2
DL-1-22,37.34811584829015,20240723,3
DL-1-24,42.07257000076001,20240815,5
MD-2-23,15.010239852727791,20240723,3
DL-4-18,36.68870492678523,20240806,4
MD-2-1,17.438672844776512,20240723,2
MD-1-26,12.407023242930796,20240815,7
MD-5-11,13.116750660454265,20240815,6
MD-4-31,8.951074437452547,20240815,2
MD-2-22,12.015084221313337,20240723,4
MD-2-14,13.845015734405662,20240806,6
MD-4-19,20.333195484154054,20240806,4
MD-1-15,13.921814596749584,20240723,6
