Fragment_ID,Species,Sample_date,Tank,chla.ug.cm2,chlc2.ug.cm2,timepoint,Inital.Treatment,Secondary.Treatment,Colony
DL-1-12,Diploria labrinthiformis,20240723,4,0.8491478075991797,0.23297000512574928,TP2,Control,NONE,1
DL-1-14,Diploria labrinthiformis,20240815,5,0.9394210109069993,0.2647090613278703,TP4,Control,Control,1
DL-1-21,Diploria labrinthiformis,20240806,2,0.7668524405392453,0.21630804273907644,TP3,Low_pH,NONE,1
DL-1-3,Diploria labrinthiformis,20240723,7,0.4825271524062403,0.16617533454222022,TP2,High_Temp,NONE,1
DL-1-7,Diploria labrinthiformis,20240815,4,0.42853429508460567,0.13314464615237917,TP4,Control,High_Temp,1
DL-2-12,Diploria labrinthiformis,20240723,7,0.7732581089344643,0.2495924268883828,TP2,High_Temp,NONE,2
DL-3-15,Diploria labrinthiformis,20240723,5,1.3769213420192157,0.45092954456923606,TP2,Control,NONE,3
DL-3-17,Diploria labrinthiformis,20240806,3,0.7086463878234774,0.2046260135301195,TP3,Low_pH,NONE,3
DL-3-2,Diploria labrinthiformis,20240815,7,0.6908926936480373,0.18595690100913184,TP4,High_Temp,Control,3
DL-3-21,Diploria labrinthiformis,20240709,acclimation,0.523678778815474,0.13746332561499316,TP1,Acclimation,NONE,3
DL-3-5,Diploria labrinthiformis,20240806,6,0.9310457015203862,0.2741440699214632,TP3,High_Temp,NONE,3
DL-4-11,Diploria labrinthiformis,20240806,3,1.2341809106512471,0.42841378636827787,TP3,Low_pH,NONE,4
DL-4-26,Diploria labrinthiformis,20240723,2,1.4521935028980966,0.40049004754723533,TP2,Low_pH,NONE,4
DL-4-5,Diploria labrinthiformis,20240806,7,1.158952052056139,0.3388593248183284,TP3,High_Temp,NONE,4
DL-4-7,Diploria labrinthiformis,20240723,4,0.8820209131642248,0.27665524094126365,TP2,Control,NONE,4
MD-1-4,Madracis decactis,20240815,2,0.2321225682517815,0.07282247878641615,TP4,Low_pH,High_Temp,1
MD-1-6,Madracis decactis,20240806,6,1.109338758181028,0.35265721803369837,TP3,High_Temp,NONE,1
MD-1-7,Madracis decactis,20240815,4,0.8728656304703807,0.3223950992751051,TP4,Control,High_Temp,1
MD-2-11,Madracis decactis,20240709,acclimation,2.3529023881631494,0.41044437629860453,TP1,Acclimation,NONE,2
MD-2-12,Madracis decactis,20240806,7,0.4687309054847002,0.10098738498399444,TP3,High_Temp,NONE,2
MD-2-15,Madracis decactis,20240806,4,1.1093882372122772,0.37886109709608784,TP3,Control,NONE,2
MD-2-8,Madracis decactis,20240806,5,1.474829106233795,0.5286829558509977,TP3,Control,NONE,2
MD-2-9,Madracis decactis,20240815,2,0.24600033489985998,0.06457398219234019,TP4,Low_pH,High_Temp,2
MD-4-15,Madracis decactis,20240815,2,0.3513220097612289,0.12300494948860312,TP4,Low_pH,High_Temp,4
MD-4-4,Madracis decactis,20240723,7,0.4611810451168761,0.11028560261147,TP2,High_Temp,NONE,4
MD-4-5,Madracis decactis,20240806,2,0.9006158988328326,0.21505061307977327,TP3,Low_pH,NONE,4
MD-4-6,Madracis decactis,20240723,6,2.2555430316659324,0.5862788717465428,TP2,High_Temp,NONE,4
MD-5-24,Madracis decactis,20240806,5,0.7544000631620735,0.22371665126132362,TP3,Control,NONE,3
MD-5-8,Madracis decactis,20240723,7,0.4541473047612484,0.13614935245479914,TP2,High_Temp,NONE,3
MD-5-9,Madracis decactis,20240815,5,0.4368427671878428,0.13113906082989707,TP4,Control,Control,3
DL-1-18,Diploria labrinthiformis,20240815,6,-0.007231155107350412,-0.0360132897218286,TP4,High_Temp,High_Temp,1
DL-2-11,Diploria labrinthiformis,20240806,5,0.9982978220205875,0.2428714127627658,TP3,Control,NONE,2
DL-2-14,Diploria labrinthiformis,20240806,4,1.0438737101210818,0.3086178802835412,TP3,Control,NONE,2
DL-2-17,Diploria labrinthiformis,20240709,acclimation,-0.015142882594910702,-0.03292419144361493,TP1,Acclimation,NONE,2
DL-2-18,Diploria labrinthiformis,20240806,5,-0.019636282190539985,-0.06940216069349876,TP3,Control,NONE,2
DL-2-7,Diploria labrinthiformis,20240806,4,0.5397598310315157,0.1564431623094941,TP3,Control,NONE,2
DL-2-9,Diploria labrinthiformis,20240723,5,0.8317169203146355,0.26310673425273995,TP2,Control,NONE,2
DL-3-1,Diploria labrinthiformis,20240806,5,-0.017242828447538872,-0.03748996806109934,TP3,Control,NONE,3
DL-3-12,Diploria labrinthiformis,20240723,3,-0.02076892355019857,-0.04515652886817965,TP2,Low_pH,NONE,3
DL-4-10,Diploria labrinthiformis,20240806,2,-0.025683338608433956,-0.055841624073573744,TP3,Low_pH,NONE,4
DL-4-13,Diploria labrinthiformis,20240723,7,-0.009202972974746428,-0.02000942965593616,TP2,High_Temp,NONE,4
DL-4-6,Diploria labrinthiformis,20240709,acclimation,4.7674188692405973e-4,-0.020179590182459947,TP1,Acclimation,NONE,4
MD-1-10,Madracis decactis,20240815,3,0.015670893379120927,0.020551135243324567,TP4,Low_pH,Control,1
MD-1-22,Madracis decactis,20240806,7,-4.934004462844127e-17,-1.0727687182421058e-16,TP3,High_Temp,NONE,1
MD-1-23,Madracis decactis,20240709,acclimation,0.7108282482296179,0.18658922013938173,TP1,Acclimation,NONE,1
MD-2-16,Madracis decactis,20240709,acclimation,-0.00580034835545307,-0.028887449198832536,TP1,Acclimation,NONE,2
MD-4-14,Madracis decactis,20240709,acclimation,1.6715559881663262,0.4166322698549776,TP1,Acclimation,NONE,4
MD-4-20,Madracis decactis,20240806,5,0.005247553930263,0.011409417535122337,TP3,Control,NONE,4
MD-4-25,Madracis decactis,20240806,3,0.5403903613675044,0.17841596455069433,TP3,Low_pH,NONE,4
MD-5-12,Madracis decactis,20240709,acclimation,2.320955883054869,0.6198636693045796,TP1,Acclimation,NONE,3
MD-5-23,Madracis decactis,20240723,3,-0.003912962876080455,-0.00850770241638994,TP2,Low_pH,NONE,3
MD-5-7,Madracis decactis,20240815,6,-0.012514553661875451,-0.027209585626283415,TP4,High_Temp,High_Temp,3
DL-1-10,Diploria labrinthiformis,20240806,5,0.42929932112552066,0.12980676238339797,TP3,Control,NONE,1
DL-1-25,Diploria labrinthiformis,20240709,acclimation,0.29165600766797173,0.096427229404847,TP1,Acclimation,NONE,1
DL-1-4,Diploria labrinthiformis,20240806,4,0.40263245605311404,0.11394888574282692,TP3,Control,NONE,1
DL-2-1,Diploria labrinthiformis,20240806,3,0.379213315807771,0.13342001759993388,TP3,Low_pH,NONE,2
DL-2-16,Diploria labrinthiformis,20240806,2,0.7564138092814751,0.27046945589740623,TP3,Low_pH,NONE,2
DL-2-23,Diploria labrinthiformis,20240815,7,0.8534871243110239,0.2616816843471142,TP4,High_Temp,Control,2
DL-3-24,Diploria labrinthiformis,20240815,5,0.6135231249972691,0.1645372007133977,TP4,Control,Control,3
DL-3-25,Diploria labrinthiformis,20240723,2,0.6864245690483736,0.20687906180627855,TP2,Low_pH,NONE,3
DL-3-3,Diploria labrinthiformis,20240815,4,0.6666865463508264,0.23825520834061767,TP4,Control,High_Temp,3
DL-4-14,Diploria labrinthiformis,20240723,3,0.7657518834251885,0.25442924170272035,TP2,Low_pH,NONE,4
DL-4-19,Diploria labrinthiformis,20240815,7,1.113871301216612,0.4345028612024962,TP4,High_Temp,Control,4
DL-4-23,Diploria labrinthiformis,20240815,5,0.3650705718552716,0.10331850861748991,TP4,Control,Control,4
DL-4-4,Diploria labrinthiformis,20240723,5,0.6061776454170633,0.19694058134101652,TP2,Control,NONE,4
MD-1-1,Madracis decactis,20240709,acclimation,0.10569507887194743,0.01289268764078342,TP1,Acclimation,NONE,1
MD-1-9,Madracis decactis,20240815,5,0.3901755991446491,0.09020956968871087,TP4,Control,Control,1
